순,이름,팀/포지션,정렬용,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살상황,병살%,희번,희번실패,희번%,<2&3B_N,<2&3B_%,0&2B_N,0&2_%,ADV_N,ADV_%
,김강현,23롯, 75.0 , 2 , 3.0 , 3.00 , 1.00 , 25.0 , 75.0 , 0 , 2 , 0.0 , 1 , 0 , 100.0 , 1 , 100.0 , 0 ,  , 1 , 33.3 
,심창민,23N, 75.0 , 5 , 3.1 , 2.70 , 2.10 , 12.5 , 75.0 , 0 , 10 , 0.0 , 0 , 1 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 
,조현우,23K, 75.0 , 5 , 3.0 , 6.00 , 2.67 , 25.0 , 75.0 , 0 , 0 ,  , 0 , 0 ,  , 2 , 100.0 , 1 , 100.0 , 1 , 33.3 
,양지율,23키, 75.0 , 1 , 0.2 , 13.50 , 6.00 , 25.0 , 75.0 , 0 , 0 ,  , 0 , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 
77,이재익,23삼, 74.8 , 51 , 41.0 , 3.95 , 1.54 , 28.6 , 74.8 , 5 , 39 , 12.8 , 3 , 2 , 60.0 , 11 , 68.8 , 6 , 75.0 , 22 , 30.1 
78,이우찬,23L, 74.6 , 38 , 38.1 , 3.52 , 1.38 , 27.3 , 74.6 , 9 , 38 , 23.7 , 1 , 1 , 50.0 , 3 , 42.9 , 3 , 60.0 , 10 , 14.7 
79,엘리아스,23S, 74.6 , 22 , 131.1 , 3.77 , 1.32 , 30.7 , 74.6 , 11 , 98 , 11.2 , 2 , 3 , 40.0 , 15 , 51.7 , 6 , 50.0 , 47 , 22.8 
80,반즈,23롯, 74.5 , 30 , 170.1 , 3.28 , 1.33 , 25.6 , 74.5 , 13 , 157 , 8.3 , 9 , 7 , 56.3 , 27 , 71.1 , 10 , 55.6 , 61 , 21.3 
81,조민석,23N, 74.2 , 35 , 31.0 , 4.06 , 1.52 , 28.0 , 74.2 , 5 , 40 , 12.5 , 3 , 1 , 75.0 , 8 , 61.5 , 5 , 71.4 , 14 , 21.5 
82,임찬규,23L, 73.8 , 30 , 144.2 , 3.42 , 1.36 , 27.4 , 73.8 , 9 , 143 , 6.3 , 7 , 6 , 53.9 , 22 , 62.9 , 5 , 45.5 , 52 , 19.3 
83,홍건희,23두, 73.8 , 64 , 61.2 , 3.06 , 1.48 , 23.1 , 73.8 , 3 , 52 , 5.8 , 6 , 1 , 85.7 , 13 , 56.5 , 7 , 63.6 , 18 , 17.3 
84,박승주,23키, 73.7 , 18 , 18.0 , 3.50 , 1.78 , 20.6 , 73.7 , 0 , 22 , 0.0 , 1 , 0 , 100.0 , 4 , 57.1 , 1 , 50.0 , 1 , 2.9 
85,고우석,23L, 73.5 , 44 , 44.0 , 3.68 , 1.36 , 28.1 , 73.5 , 5 , 37 , 13.5 , 2 , 3 , 40.0 , 4 , 40.0 , 2 , 40.0 , 20 , 26.0 
86,후라도,23키, 73.5 , 30 , 183.2 , 2.65 , 1.12 , 25.2 , 73.5 , 9 , 133 , 6.8 , 4 , 2 , 66.7 , 21 , 65.6 , 13 , 68.4 , 69 , 25.4 
87,주권,23K, 73.0 , 42 , 47.0 , 4.40 , 1.45 , 32.9 , 73.0 , 2 , 33 , 6.1 , 5 , 1 , 83.3 , 14 , 82.4 , 3 , 100.0 , 26 , 42.6 
88,최성영,23N, 72.9 , 18 , 66.2 , 4.86 , 1.64 , 31.6 , 72.9 , 5 , 63 , 7.9 , 7 , 4 , 63.6 , 18 , 72.0 , 5 , 55.6 , 28 , 23.3 
89,김원중,23롯, 72.9 , 63 , 63.2 , 2.97 , 1.19 , 25.9 , 72.9 , 2 , 43 , 4.7 , 1 , 1 , 50.0 , 9 , 75.0 , 2 , 33.3 , 21 , 25.9 
90,김윤식,23L, 72.9 , 17 , 74.2 , 4.22 , 1.49 , 30.7 , 72.9 , 10 , 75 , 13.3 , 3 , 5 , 37.5 , 9 , 64.3 , 6 , 60.0 , 25 , 20.0 
91,김광현,23S, 72.9 , 30 , 168.1 , 3.53 , 1.38 , 28.1 , 72.9 , 19 , 155 , 12.3 , 6 , 9 , 40.0 , 29 , 72.5 , 12 , 44.4 , 67 , 21.9 
92,전사민,23N, 72.8 , 9 , 17.0 , 4.76 , 1.82 , 27.3 , 72.8 , 4 , 19 , 21.1 , 4 , 1 , 80.0 , 9 , 90.0 , 0 , 0.0 , 7 , 22.6 
93,문용익,23삼, 72.7 , 14 , 13.0 , 4.15 , 1.54 , 27.3 , 72.7 , 1 , 12 , 8.3 , 1 , 2 , 33.3 , 2 , 66.7 , 0 , 0.0 , 5 , 20.0 
94,최동환,23L, 72.6 , 45 , 42.1 , 3.19 , 1.39 , 24.2 , 72.6 , 4 , 47 , 8.5 , 4 , 1 , 80.0 , 6 , 40.0 , 7 , 70.0 , 16 , 18.2 
95,윤중현,23K, 72.6 , 31 , 28.0 , 3.86 , 1.39 , 30.0 , 72.6 , 8 , 30 , 26.7 , 2 , 1 , 66.7 , 5 , 45.5 , 3 , 100.0 , 10 , 17.5 
96,심재민,23K롯, 72.4 , 33 , 47.2 , 3.78 , 1.57 , 26.3 , 72.4 , 5 , 53 , 9.4 , 4 , 2 , 66.7 , 15 , 71.4 , 1 , 50.0 , 26 , 25.5 
97,김유성,23두, 72.4 , 7 , 6.1 , 9.95 , 2.84 , 38.9 , 72.4 , 0 , 11 , 0.0 , 0 , 0 ,  , 4 , 80.0 , 2 , 66.7 , 7 , 50.0 
98,태너,23N, 72.3 , 11 , 64.2 , 2.92 , 1.10 , 29.2 , 72.3 , 3 , 54 , 5.6 , 5 , 1 , 83.3 , 10 , 62.5 , 3 , 75.0 , 15 , 15.5 
,이승현,23삼, 72.3 , 48 , 43.1 , 4.98 , 1.62 , 33.3 , 72.3 , 4 , 43 , 9.3 , 4 , 0 , 100.0 , 7 , 63.6 , 3 , 100.0 , 20 , 25.6 
100,구창모,23N, 72.3 , 11 , 51.2 , 2.96 , 1.05 , 31.5 , 72.3 , 7 , 34 , 20.6 , 0 , 0 ,  , 5 , 83.3 , 1 , 25.0 , 12 , 18.2 
101,김재윤,23K, 72.1 , 59 , 65.2 , 2.60 , 1.02 , 27.9 , 72.1 , 3 , 46 , 6.5 , 8 , 1 , 88.9 , 15 , 75.0 , 3 , 50.0 , 29 , 30.5 
102,정철원,23두, 72.1 , 67 , 72.2 , 3.96 , 1.35 , 32.0 , 72.1 , 9 , 60 , 15.0 , 5 , 3 , 62.5 , 14 , 66.7 , 5 , 45.5 , 27 , 22.3 
103,윌커슨,23롯, 71.9 , 13 , 79.2 , 2.26 , 1.09 , 22.5 , 71.9 , 4 , 61 , 6.6 , 5 , 3 , 62.5 , 10 , 90.9 , 1 , 14.3 , 14 , 13.9 
104,맥카티,23S, 71.8 , 24 , 130.0 , 3.39 , 1.30 , 28.8 , 71.8 , 13 , 120 , 10.8 , 3 , 5 , 37.5 , 14 , 63.6 , 7 , 46.7 , 37 , 17.6 
105,구승민,23롯, 71.7 , 67 , 63.2 , 3.96 , 1.48 , 28.3 , 71.7 , 0 , 66 , 0.0 , 8 , 2 , 80.0 , 13 , 68.4 , 2 , 33.3 , 27 , 22.7 
106,박신지,23두, 71.7 , 15 , 26.0 , 5.54 , 1.92 , 30.2 , 71.7 , 0 , 27 , 0.0 , 0 , 0 ,  , 2 , 66.7 , 4 , 50.0 , 14 , 25.0 
107,윤영철,23K, 71.7 , 25 , 122.2 , 4.04 , 1.40 , 31.8 , 71.7 , 9 , 105 , 8.6 , 3 , 6 , 33.3 , 20 , 71.4 , 7 , 50.0 , 44 , 22.9 
108,나균안,23롯, 71.7 , 23 , 130.1 , 3.80 , 1.40 , 29.4 , 71.7 , 9 , 119 , 7.6 , 6 , 3 , 66.7 , 26 , 63.4 , 10 , 47.6 , 55 , 25.0 
109,양현종,23K, 71.6 , 29 , 171.0 , 3.53 , 1.33 , 29.3 , 71.6 , 11 , 138 , 8.0 , 12 , 5 , 70.6 , 34 , 73.9 , 11 , 47.8 , 54 , 20.5 
110,임기영,23K, 71.6 , 64 , 82.0 , 2.96 , 0.92 , 33.3 , 71.6 , 5 , 58 , 8.6 , 4 , 1 , 80.0 , 13 , 76.5 , 3 , 50.0 , 21 , 21.4 
