순,이름,팀/포지션,정렬용,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살상황,병살%,희번,희번실패,희번%,<2&3B_N,<2&3B_%,0&2B_N,0&2_%,ADV_N,ADV_%
174,김대우,23삼, 66.5 , 44 , 64.0 , 4.50 , 1.38 , 35.2 , 66.5 , 2 , 58 , 3.5 , 5 , 3 , 62.5 , 14 , 66.7 , 4 , 50.0 , 26 , 22.8 
175,한승혁,23한, 66.4 , 21 , 36.1 , 6.44 , 1.90 , 36.1 , 66.4 , 1 , 33 , 3.0 , 0 , 0 ,  , 7 , 87.5 , 3 , 42.9 , 20 , 31.3 
176,김정우,23두, 66.3 , 7 , 6.2 , 9.45 , 2.70 , 38.9 , 66.3 , 0 , 14 , 0.0 , 0 , 0 ,  , 3 , 50.0 , 0 , 0.0 , 7 , 25.0 
177,김재웅,23키, 66.1 , 67 , 59.2 , 4.22 , 1.34 , 35.0 , 66.1 , 6 , 56 , 10.7 , 2 , 2 , 50.0 , 8 , 57.1 , 7 , 58.3 , 22 , 22.5 
178,황동재,23삼, 65.9 , 7 , 31.2 , 7.11 , 1.93 , 39.7 , 65.9 , 2 , 29 , 6.9 , 1 , 1 , 50.0 , 4 , 50.0 , 2 , 33.3 , 12 , 20.7 
179,켈리,23L, 65.9 , 30 , 178.2 , 3.83 , 1.24 , 33.3 , 65.9 , 17 , 146 , 11.6 , 6 , 5 , 54.6 , 29 , 64.4 , 14 , 70.0 , 55 , 20.5 
180,김진욱,23롯, 65.7 , 50 , 36.1 , 6.44 , 1.82 , 38.2 , 65.7 , 0 , 41 , 0.0 , 3 , 4 , 42.9 , 10 , 83.3 , 3 , 60.0 , 23 , 35.4 
181,오석주,23L, 65.6 , 9 , 10.0 , 6.30 , 1.50 , 46.7 , 65.6 , 0 , 6 , 0.0 , 0 , 1 , 0.0 , 0 , 0.0 , 0 , 0.0 , 4 , 23.5 
182,벤자민,23K, 65.5 , 29 , 160.0 , 3.54 , 1.21 , 32.0 , 65.5 , 4 , 120 , 3.3 , 9 , 6 , 60.0 , 23 , 57.5 , 6 , 42.9 , 50 , 22.2 
183,박정수,23두, 65.4 , 25 , 36.2 , 4.17 , 1.50 , 27.9 , 65.4 , 3 , 45 , 6.7 , 3 , 2 , 60.0 , 5 , 35.7 , 4 , 80.0 , 17 , 20.5 
184,요키시,23키, 65.4 , 12 , 65.2 , 4.39 , 1.46 , 32.3 , 65.4 , 10 , 77 , 13.0 , 1 , 8 , 11.1 , 16 , 76.2 , 7 , 58.3 , 37 , 25.3 
185,오원석,23S, 65.3 , 28 , 144.2 , 5.23 , 1.57 , 35.6 , 65.3 , 17 , 151 , 11.3 , 5 , 14 , 26.3 , 30 , 66.7 , 16 , 61.5 , 64 , 22.9 
186,하영민,23키, 65.2 , 57 , 52.1 , 4.64 , 1.76 , 29.0 , 65.2 , 6 , 56 , 10.7 , 3 , 4 , 42.9 , 14 , 56.0 , 4 , 33.3 , 32 , 26.5 
187,박상원,23한, 65.1 , 55 , 61.2 , 3.65 , 1.49 , 26.3 , 65.1 , 6 , 58 , 10.3 , 4 , 5 , 44.4 , 15 , 68.2 , 2 , 33.3 , 35 , 28.2 
188,김도규,23롯, 64.9 , 36 , 29.2 , 4.85 , 1.42 , 37.2 , 64.9 , 2 , 30 , 6.7 , 3 , 1 , 75.0 , 9 , 81.8 , 1 , 33.3 , 13 , 24.1 
189,최지강,23두, 64.9 , 25 , 22.0 , 5.32 , 1.68 , 35.1 , 64.9 , 2 , 26 , 7.7 , 1 , 0 , 100.0 , 4 , 66.7 , 1 , 100.0 , 8 , 19.5 
190,앤더슨,23K, 64.9 , 14 , 79.0 , 3.76 , 1.29 , 31.7 , 64.9 , 10 , 74 , 13.5 , 3 , 5 , 37.5 , 11 , 57.9 , 8 , 61.5 , 31 , 22.8 
191,조이현,23K, 64.8 , 18 , 35.0 , 6.69 , 1.91 , 37.7 , 64.8 , 2 , 38 , 5.3 , 1 , 0 , 100.0 , 12 , 66.7 , 7 , 58.3 , 25 , 30.9 
192,김서준,23삼, 64.7 , 8 , 7.2 , 7.04 , 1.96 , 35.3 , 64.7 , 0 , 11 , 0.0 , 0 , 0 ,  , 0 , 0.0 , 2 , 50.0 , 2 , 8.7 
193,우규민,23삼, 64.6 , 56 , 43.0 , 4.81 , 1.40 , 36.5 , 64.6 , 1 , 45 , 2.2 , 2 , 2 , 50.0 , 10 , 76.9 , 3 , 60.0 , 16 , 18.8 
194,정성종,23롯, 64.6 , 12 , 22.0 , 5.32 , 1.64 , 35.1 , 64.6 , 4 , 18 , 22.2 , 3 , 1 , 75.0 , 5 , 83.3 , 4 , 100.0 , 12 , 38.7 
195,장원준,23두, 64.6 , 11 , 41.0 , 5.27 , 1.56 , 36.4 , 64.6 , 7 , 46 , 15.2 , 5 , 1 , 83.3 , 13 , 76.5 , 3 , 60.0 , 14 , 17.5 
196,이채호,23K, 64.2 , 25 , 24.2 , 6.93 , 1.42 , 50.0 , 64.2 , 1 , 17 , 5.9 , 1 , 0 , 100.0 , 7 , 77.8 , 3 , 60.0 , 11 , 36.7 
197,메디나,23K, 64.1 , 12 , 58.0 , 6.05 , 1.60 , 38.2 , 64.1 , 6 , 55 , 10.9 , 3 , 1 , 75.0 , 10 , 76.9 , 5 , 71.4 , 20 , 21.3 
198,박준표,23K, 64.0 , 33 , 28.0 , 4.50 , 1.32 , 37.8 , 64.0 , 5 , 26 , 19.2 , 1 , 0 , 100.0 , 2 , 50.0 , 3 , 50.0 , 7 , 14.6 
199,황동하,23K, 64.0 , 13 , 31.1 , 6.61 , 1.79 , 40.4 , 64.0 , 2 , 30 , 6.7 , 3 , 4 , 42.9 , 5 , 62.5 , 5 , 71.4 , 15 , 30.0 
200,김영현,23K, 63.9 , 31 , 33.0 , 5.45 , 1.52 , 39.2 , 63.9 , 0 , 38 , 0.0 , 2 , 0 , 100.0 , 7 , 70.0 , 3 , 60.0 , 13 , 25.0 
201,장필준,23삼, 63.8 , 17 , 19.1 , 7.91 , 2.07 , 40.5 , 63.8 , 2 , 24 , 8.3 , 0 , 0 ,  , 4 , 57.1 , 0 , 0.0 , 10 , 23.3 
202,최이준,23롯, 63.6 , 28 , 29.0 , 6.83 , 2.00 , 37.9 , 63.6 , 0 , 37 , 0.0 , 1 , 2 , 33.3 , 6 , 85.7 , 3 , 60.0 , 8 , 12.5 
203,신헌민,23S, 63.6 , 11 , 12.0 , 6.00 , 2.08 , 32.0 , 63.6 , 1 , 17 , 5.9 , 1 , 1 , 50.0 , 2 , 33.3 , 2 , 66.7 , 6 , 22.2 
,진승현,23롯, 63.6 , 24 , 27.2 , 5.86 , 1.81 , 36.0 , 63.6 , 3 , 32 , 9.4 , 0 , 1 , 0.0 , 5 , 55.6 , 5 , 62.5 , 12 , 20.0 
205,오상원,23키, 63.3 , 11 , 15.0 , 6.60 , 1.80 , 36.7 , 63.3 , 2 , 20 , 10.0 , 0 , 0 ,  , 2 , 40.0 , 2 , 66.7 , 12 , 30.0 
206,김서현,23한, 63.2 , 20 , 22.1 , 7.25 , 2.02 , 34.6 , 63.2 , 3 , 36 , 8.3 , 1 , 0 , 100.0 , 7 , 77.8 , 3 , 33.3 , 11 , 19.0 
207,양창섭,23삼, 63.2 , 15 , 28.2 , 9.10 , 2.13 , 46.8 , 63.2 , 5 , 34 , 14.7 , 0 , 1 , 0.0 , 2 , 66.7 , 1 , 33.3 , 15 , 21.1 
208,와이드너,23N삼, 62.8 , 21 , 115.0 , 4.54 , 1.32 , 36.7 , 62.8 , 11 , 85 , 12.9 , 4 , 3 , 57.1 , 16 , 80.0 , 9 , 69.2 , 52 , 27.8 
209,이진하,23롯, 62.5 , 9 , 8.0 , 3.38 , 0.88 , 37.5 , 62.5 , 1 , 9 , 11.1 , 0 , 0 ,  , 1 , 50.0 , 0 ,  , 2 , 11.8 
,채지선,23LN, 62.5 , 3 , 3.1 , 8.10 , 2.40 , 37.5 , 62.5 , 1 , 8 , 12.5 , 0 , 0 ,  , 1 , 25.0 , 1 , 50.0 , 2 , 14.3 
,김대현,23L, 62.5 , 5 , 3.1 , 10.80 , 3.00 , 36.4 , 62.5 , 0 , 6 , 0.0 , 0 , 1 , 0.0 , 0 , 0.0 , 1 , 100.0 , 2 , 20.0 
212,임준섭,23S, 62.3 , 41 , 32.2 , 5.79 , 1.93 , 32.8 , 62.3 , 7 , 43 , 16.3 , 3 , 0 , 100.0 , 10 , 76.9 , 2 , 40.0 , 22 , 31.0 
213,이민호,23L, 62.1 , 5 , 19.2 , 5.03 , 1.63 , 34.4 , 62.1 , 2 , 22 , 9.1 , 3 , 0 , 100.0 , 8 , 80.0 , 3 , 100.0 , 7 , 22.6 
214,이준호,23N, 62.0 , 17 , 31.2 , 4.83 , 1.48 , 33.3 , 62.0 , 4 , 35 , 11.4 , 0 , 0 ,  , 5 , 71.4 , 3 , 60.0 , 11 , 18.6 
215,임정호,23N, 61.9 , 65 , 50.0 , 4.68 , 1.36 , 36.1 , 61.9 , 11 , 46 , 23.9 , 2 , 2 , 50.0 , 9 , 64.3 , 4 , 66.7 , 16 , 20.5 
216,맥키니,23키, 61.9 , 12 , 59.1 , 6.52 , 1.64 , 43.9 , 61.9 , 3 , 61 , 4.9 , 0 , 5 , 0.0 , 10 , 66.7 , 7 , 53.9 , 25 , 24.0 
217,전용주,23K, 61.5 , 15 , 10.1 , 4.35 , 1.16 , 38.5 , 61.5 , 1 , 3 , 33.3 , 0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 
218,이형범,23두, 61.3 , 23 , 27.2 , 6.51 , 1.88 , 36.4 , 61.3 , 6 , 30 , 20.0 , 2 , 0 , 100.0 , 10 , 71.4 , 7 , 100.0 , 24 , 33.8 
219,손주영,23L, 61.1 , 3 , 8.2 , 5.19 , 2.08 , 27.8 , 61.1 , 0 , 13 , 0.0 , 0 , 0 ,  , 1 , 33.3 , 0 ,  , 11 , 36.7 
220,이영하,23두, 61.1 , 36 , 39.1 , 5.49 , 1.55 , 36.9 , 61.1 , 1 , 39 , 2.6 , 3 , 1 , 75.0 , 8 , 53.3 , 2 , 33.3 , 19 , 32.2 
221,김민,23K, 60.9 , 16 , 29.0 , 6.83 , 1.93 , 36.7 , 60.9 , 4 , 39 , 10.3 , 1 , 0 , 100.0 , 7 , 77.8 , 3 , 60.0 , 20 , 28.6 
222,김태훈,23키삼, 60.7 , 71 , 63.1 , 7.11 , 1.85 , 41.7 , 60.7 , 4 , 70 , 5.7 , 8 , 4 , 66.7 , 13 , 54.2 , 5 , 71.4 , 28 , 23.0 
223,주승우,23키, 60.1 , 11 , 16.0 , 9.56 , 2.56 , 39.5 , 60.1 , 1 , 18 , 5.6 , 2 , 1 , 66.7 , 5 , 71.4 , 3 , 75.0 , 5 , 20.0 
224,김민우,23한, 60.0 , 12 , 51.2 , 6.97 , 1.80 , 42.1 , 60.0 , 5 , 61 , 8.2 , 3 , 2 , 60.0 , 20 , 80.0 , 9 , 64.3 , 23 , 21.7 
225,고봉재,23두, 60.0 , 10 , 11.1 , 6.35 , 1.68 , 40.0 , 60.0 , 1 , 9 , 11.1 , 1 , 0 , 100.0 , 6 , 100.0 , 2 , 100.0 , 6 , 33.3 
226,정우영,23L, 59.8 , 60 , 51.2 , 4.70 , 1.55 , 28.4 , 59.8 , 9 , 48 , 18.8 , 1 , 3 , 25.0 , 8 , 61.5 , 5 , 71.4 , 31 , 32.0 
227,이충호,23한, 59.2 , 11 , 8.2 , 9.35 , 1.96 , 50.0 , 59.2 , 2 , 12 , 16.7 , 1 , 1 , 50.0 , 4 , 80.0 , 1 , 100.0 , 5 , 27.8 
228,최채흥,23삼, 59.1 , 15 , 63.1 , 6.68 , 1.67 , 43.1 , 59.1 , 8 , 60 , 13.3 , 0 , 2 , 0.0 , 11 , 78.6 , 6 , 42.9 , 33 , 29.5 
229,산체스,23K, 59.0 , 12 , 63.2 , 5.94 , 1.48 , 42.9 , 59.0 , 4 , 52 , 7.7 , 1 , 4 , 20.0 , 8 , 57.1 , 5 , 55.6 , 24 , 22.0 
230,송영진,23S, 58.8 , 17 , 47.1 , 5.70 , 1.63 , 38.0 , 58.8 , 3 , 58 , 5.2 , 4 , 1 , 80.0 , 16 , 69.6 , 6 , 54.6 , 16 , 17.6 
231,윤석원,23키, 58.5 , 21 , 24.0 , 4.50 , 1.54 , 32.4 , 58.5 , 2 , 24 , 8.3 , 4 , 1 , 80.0 , 12 , 92.3 , 4 , 100.0 , 15 , 35.7 
232,김민규,23두, 58.3 , 6 , 8.1 , 4.32 , 1.20 , 33.3 , 58.3 , 0 , 6 , 0.0 , 1 , 1 , 50.0 , 4 , 80.0 , 0 , 0.0 , 4 , 36.4 
233,김민수,23K, 58.3 , 14 , 13.0 , 6.92 , 1.69 , 45.5 , 58.3 , 2 , 7 , 28.6 , 3 , 0 , 100.0 , 6 , 100.0 , 0 , 0.0 , 4 , 26.7 
234,김시현,23삼, 57.7 , 2 , 3.0 , 12.00 , 2.67 , 50.0 , 57.7 , 1 , 5 , 20.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 1 , 14.3 
,김건희,23키, 57.7 , 3 , 2.0 , 22.50 , 4.00 , 62.5 , 57.7 , 0 , 4 , 0.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 1 , 20.0 
,곽도규,23K, 57.7 , 14 , 11.2 , 8.49 , 2.06 , 42.3 , 57.7 , 0 , 14 , 0.0 , 4 , 0 , 100.0 , 7 , 63.6 , 2 , 50.0 , 5 , 16.1 
237,남지민,23한, 57.5 , 16 , 37.2 , 6.45 , 1.78 , 37.0 , 57.5 , 3 , 50 , 6.0 , 0 , 2 , 0.0 , 11 , 61.1 , 6 , 46.2 , 23 , 25.6 
238,정찬헌,23키, 57.2 , 14 , 72.0 , 4.75 , 1.17 , 44.2 , 57.2 , 2 , 42 , 4.8 , 3 , 4 , 42.9 , 13 , 86.7 , 4 , 80.0 , 32 , 40.0 
239,김태오,23K, 57.1 , 5 , 7.1 , 7.36 , 1.91 , 42.9 , 57.1 , 1 , 9 , 11.1 , 0 , 0 ,  , 3 , 75.0 , 3 , 100.0 , 13 , 52.0 
,허윤동,23삼, 57.1 , 7 , 10.2 , 10.13 , 2.63 , 42.9 , 57.1 , 0 , 21 , 0.0 , 0 , 1 , 0.0 , 6 , 100.0 , 0 ,  , 8 , 20.5 
241,이인복,23롯, 57.1 , 10 , 33.1 , 6.48 , 1.92 , 34.8 , 57.1 , 4 , 45 , 8.9 , 5 , 2 , 71.4 , 15 , 83.3 , 9 , 90.0 , 23 , 34.3 
242,이지강,23L, 56.9 , 22 , 68.0 , 3.97 , 1.29 , 30.9 , 56.9 , 7 , 73 , 9.6 , 2 , 2 , 50.0 , 11 , 64.7 , 5 , 45.5 , 30 , 23.6 
243,강재민,23한, 56.4 , 43 , 43.1 , 6.44 , 1.25 , 50.0 , 56.4 , 1 , 40 , 2.5 , 1 , 3 , 25.0 , 10 , 76.9 , 2 , 40.0 , 12 , 17.7 
244,김재영,23한, 56.3 , 6 , 8.0 , 10.13 , 1.88 , 52.9 , 56.3 , 1 , 7 , 14.3 , 0 , 1 , 0.0 , 2 , 66.7 , 2 , 100.0 , 5 , 38.5 
245,이태연,23롯, 56.1 , 15 , 5.2 , 15.88 , 3.71 , 47.6 , 56.1 , 1 , 12 , 8.3 , 0 , 0 ,  , 1 , 100.0 , 1 , 100.0 , 4 , 22.2 
246,이상민,23삼, 55.9 , 23 , 18.0 , 8.50 , 1.94 , 48.6 , 55.9 , 4 , 22 , 18.2 , 0 , 1 , 0.0 , 5 , 83.3 , 6 , 75.0 , 9 , 20.5 
247,강효종,23L, 55.9 , 7 , 21.2 , 6.23 , 1.71 , 38.5 , 55.9 , 3 , 28 , 10.7 , 3 , 0 , 100.0 , 6 , 85.7 , 3 , 75.0 , 15 , 37.5 
248,김동혁,23키, 55.7 , 35 , 39.1 , 7.55 , 1.75 , 44.0 , 55.7 , 4 , 50 , 8.0 , 4 , 3 , 57.1 , 13 , 68.4 , 2 , 40.0 , 30 , 31.9 
249,이종민,23키, 55.2 , 11 , 13.2 , 7.24 , 2.05 , 37.9 , 55.2 , 1 , 21 , 4.8 , 0 , 1 , 0.0 , 7 , 63.6 , 3 , 60.0 , 10 , 27.0 
250,홍정우,23삼, 54.7 , 36 , 36.0 , 7.50 , 1.58 , 50.0 , 54.7 , 3 , 51 , 5.9 , 3 , 3 , 50.0 , 10 , 66.7 , 7 , 70.0 , 20 , 22.5 
251,우강훈,23롯, 54.5 , 3 , 6.0 , 6.00 , 1.67 , 36.4 , 54.5 , 1 , 11 , 9.1 , 1 , 0 , 100.0 , 2 , 100.0 , 1 , 100.0 , 2 , 15.4 
252,원종현,23키, 54.3 , 20 , 18.2 , 5.79 , 1.55 , 40.0 , 54.3 , 1 , 11 , 9.1 , 1 , 2 , 33.3 , 3 , 42.9 , 1 , 33.3 , 6 , 25.0 
253,김준형,23키, 53.8 , 8 , 7.2 , 7.04 , 1.30 , 46.2 , 53.8 , 0 , 9 , 0.0 , 1 , 0 , 100.0 , 3 , 100.0 , 0 ,  , 1 , 16.7 
254,김호준,23두, 53.6 , 3 , 3.0 , 12.00 , 2.33 , 57.1 , 53.6 , 0 , 6 , 0.0 , 0 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 11.1 
255,김재열,23K, 53.0 , 9 , 11.2 , 13.11 , 2.83 , 51.5 , 53.0 , 1 , 22 , 4.6 , 0 , 0 ,  , 7 , 70.0 , 5 , 100.0 , 10 , 23.8 
256,소형준,23K, 52.6 , 3 , 11.0 , 11.45 , 2.27 , 50.0 , 52.6 , 3 , 18 , 16.7 , 1 , 1 , 50.0 , 3 , 75.0 , 5 , 100.0 , 11 , 33.3 
257,김선기,23키, 50.6 , 17 , 43.2 , 5.98 , 1.63 , 40.3 , 50.6 , 2 , 35 , 5.7 , 2 , 3 , 40.0 , 10 , 83.3 , 1 , 25.0 , 30 , 39.0 
258,류원석,23한, 50.0 , 1 , 2.0 , 4.50 , 0.50 , 50.0 , 50.0 , 0 , 2 , 0.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 1 , 25.0 
,김영준,23L, 50.0 , 1 , 0.1 , 27.00 , 6.00 , 50.0 , 50.0 , 0 , 0 ,  , 0 , 0 ,  , 0 ,  , 1 , 100.0 , 0 , 0.0 
,스미스,23한, 50.0 , 1 , 2.2 , 6.75 , 1.13 , 50.0 , 50.0 , 0 , 4 , 0.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 2 , 28.6 
,서상준,23S, 50.0 , 2 , 2.0 , 0.00 , 3.00 , 0.0 , 50.0 , 0 , 4 , 0.0 , 0 , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 12.5 
,이원재,23두, 50.0 , 1 , 1.0 , 27.00 , 6.00 , 50.0 , 50.0 , 0 , 4 , 0.0 , 0 , 0 ,  , 1 , 100.0 , 2 , 100.0 , 1 , 16.7 
263,정성곤,23S, 49.2 , 6 , 4.1 , 10.38 , 3.46 , 33.3 , 49.2 , 1 , 6 , 16.7 , 1 , 1 , 50.0 , 3 , 60.0 , 1 , 50.0 , 5 , 55.6 
,딜런,23두, 49.2 , 2 , 9.0 , 8.00 , 1.67 , 53.3 , 49.2 , 0 , 11 , 0.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 4 , 30.8 
265,김건국,23K, 47.8 , 6 , 16.0 , 6.75 , 1.38 , 52.2 , 47.8 , 1 , 6 , 16.7 , 1 , 0 , 100.0 , 4 , 80.0 , 2 , 66.7 , 13 , 81.3 
266,류희운,23한, 45.5 , 3 , 4.0 , 11.25 , 2.00 , 62.5 , 45.5 , 0 , 4 , 0.0 , 0 , 0 ,  , 0 , 0.0 , 1 , 50.0 , 2 , 18.2 
267,김동규,23L키, 43.0 , 4 , 4.1 , 22.85 , 4.15 , 55.0 , 43.0 , 2 , 13 , 15.4 , 0 , 1 , 0.0 , 2 , 66.7 , 1 , 33.3 , 4 , 26.7 
268,제환유,23두, 42.9 , 1 , 2.0 , 13.50 , 3.50 , 42.9 , 42.9 , 0 , 8 , 0.0 , 0 , 0 ,  , 2 , 50.0 , 1 , 50.0 , 2 , 15.4 
269,최영환,23롯, 39.1 , 8 , 10.0 , 9.90 , 2.20 , 47.8 , 39.1 , 1 , 17 , 5.9 , 1 , 1 , 50.0 , 4 , 66.7 , 3 , 75.0 , 7 , 25.0 
270,나원탁,23롯, 38.5 , 1 , 0.2 , 40.50 , 6.00 , 75.0 , 38.5 , 0 , 0 ,  , 0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 
,배민서,23N, 38.5 , 6 , 6.2 , 6.75 , 1.80 , 38.5 , 38.5 , 0 , 3 , 0.0 , 0 , 0 ,  , 4 , 100.0 , 4 , 80.0 , 4 , 57.1 
,최하늘,23삼, 38.5 , 3 , 6.1 , 19.89 , 3.00 , 66.7 , 38.5 , 0 , 13 , 0.0 , 1 , 0 , 100.0 , 4 , 100.0 , 1 , 33.3 , 4 , 21.1 
273,최성훈,23L, 37.5 , 5 , 3.0 , 15.00 , 2.67 , 62.5 , 37.5 , 0 , 7 , 0.0 , 0 , 0 ,  , 1 , 100.0 , 0 , 0.0 , 5 , 31.3 
274,송윤준,23한, 33.3 , 4 , 4.1 , 8.31 , 1.39 , 66.7 , 33.3 , 0 , 5 , 0.0 , 0 , 0 ,  , 2 , 100.0 , 1 , 100.0 , 4 , 57.1 
,배재준,23L, 33.3 , 1 , 1.0 , 18.00 , 3.00 , 66.7 , 33.3 , 0 , 3 , 0.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 1 , 25.0 
276,박윤철,23한, 27.8 , 3 , 3.1 , 21.60 , 3.00 , 80.0 , 27.8 , 0 , 7 , 0.0 , 0 , 0 ,  , 2 , 100.0 , 0 , 0.0 , 3 , 42.9 
277,김주온,23S, 25.0 , 1 , 0.1 , 81.00 , 9.00 , 75.0 , 25.0 , 0 , 4 , 0.0 , 0 , 0 ,  , 1 , 100.0 , 0 , 0.0 , 0 , 0.0 
278,이영준,23키, 20.0 , 2 , 1.2 , 21.60 , 3.00 , 80.0 , 20.0 , 0 , 3 , 0.0 , 0 , 0 ,  , 1 , 100.0 , 0 ,  , 2 , 25.0 
279,장지수,23한, 16.7 , 1 , 2.0 , 18.00 , 3.00 , 66.7 , 16.7 , 1 , 5 , 20.0 , 0 , 0 ,  , 1 , 50.0 , 2 , 100.0 , 5 , 62.5 
280,박준영,23한, 10.0 , 4 , 4.1 , 18.69 , 2.31 , 90.0 , 10.0 , 0 , 5 , 0.0 , 0 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 50.0 
281,변시원,23키, 9.4 , 4 , 2.1 , 42.43 , 4.29 , 91.7 , 9.4 , 0 , 5 , 0.0 , 0 , 2 , 0.0 , 0 ,  , 0 , 0.0 , 2 , 33.3 
282,김주한,23S, 0.0 , 1 , 0.0 ,  ,  , 100.0 , 0.0 , 0 , 2 , 0.0 , 0 , 0 ,  , 0 ,  , 1 , 100.0 , 0 , 0.0 
,문경찬,23롯, 0.0 , 2 , 2.0 , 27.00 , 3.00 , 100.0 , 0.0 , 0 , 4 , 0.0 , 0 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 33.3 
284,이승진,23두, -33.3 , 1 , 0.2 , 0.00 , 3.00 , 0.0 , -33.3 , 0 , 4 , 0.0 , 0 , 0 ,  , 0 , 0.0 , 0 ,  , 1 , 14.3 
285,김태욱,23롯,  , 1 , 1.0 , 0.00 , 0.00 ,  ,  , 0 , 0 ,  , 0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  
