순,이름,팀/포지션,정렬용,출장,이닝,RE24타격,RE24주루,RE24,REW,WPA타격,WPA주루,WPAPlus,WPAMinus,WPA,pLI,WPA/LI,Clutch
230,김유신,23K, -0.64 , 27 , 30.1 , -8.69 , 0.33 , -8.36 , -0.84 , -0.69 , 0.05 , 1.00 , -1.64 , -0.64 , 0.52 , -0.64 , -0.60 
231,이선우,23K, -0.66 , 22 , 37.1 , -0.72 , 0.00 , -0.72 , -0.07 , -0.66 , 0.00 , 1.64 , -2.30 , -0.66 , 0.64 , -0.06 , -0.97 
232,이정용,23L, -0.67 , 37 , 86.2 , 2.79 , -1.68 , 1.12 , 0.11 , -0.55 , -0.12 , 7.63 , -8.30 , -0.67 , 1.20 , -0.37 , -0.18 
233,최지광,23삼, -0.69 , 22 , 17.1 , -6.77 , -0.47 , -7.23 , -0.73 , -0.66 , -0.03 , 0.70 , -1.39 , -0.69 , 0.72 , -0.33 , -0.63 
234,문성현,23키, -0.70 , 32 , 28.1 , -2.19 , -2.55 , -4.74 , -0.48 , -0.30 , -0.41 , 2.65 , -3.36 , -0.70 , 1.42 , -0.27 , -0.23 
235,최하늘,23삼, -0.71 , 3 , 6.1 , -11.02 , 0.00 , -11.02 , -1.11 , -0.71 , 0.00 , 0.42 , -1.13 , -0.71 , 0.90 , -0.76 , -0.04 
236,이종민,23키, -0.71 , 11 , 13.2 , -5.98 , -0.22 , -6.20 , -0.63 , -0.71 , -0.00 , 0.39 , -1.10 , -0.71 , 0.56 , -0.59 , -0.69 
237,이재익,23삼, -0.71 , 51 , 41.0 , -2.71 , -0.24 , -2.95 , -0.30 , -0.65 , -0.06 , 2.42 , -3.13 , -0.71 , 0.93 , 0.17 , -0.94 
238,최성영,23N, -0.73 , 18 , 66.2 , -0.56 , 0.68 , 0.12 , 0.01 , -0.79 , 0.06 , 5.82 , -6.55 , -0.73 , 1.12 , -1.21 , 0.56 
239,고우석,23L, -0.75 , 44 , 44.0 , 6.49 , -1.91 , 4.58 , 0.46 , -0.10 , -0.64 , 7.00 , -7.75 , -0.75 , 2.14 , 0.57 , -0.92 
240,김진욱,23롯, -0.76 , 50 , 36.1 , -7.39 , -0.86 , -8.25 , -0.83 , -0.70 , -0.06 , 2.39 , -3.16 , -0.76 , 0.88 , -0.86 , -0.01 
241,한승주,23한, -0.76 , 47 , 70.2 , 1.05 , -0.38 , 0.67 , 0.07 , -0.70 , -0.07 , 3.95 , -4.71 , -0.76 , 0.75 , -0.64 , -0.39 
242,박승주,23키, -0.77 , 18 , 18.0 , -2.37 , -1.46 , -3.82 , -0.39 , -0.74 , -0.03 , 0.85 , -1.61 , -0.77 , 0.70 , -0.68 , -0.42 
243,장재영,23키, -0.78 , 23 , 71.2 , -4.06 , -1.61 , -5.67 , -0.57 , -0.65 , -0.13 , 5.83 , -6.61 , -0.78 , 1.03 , -1.32 , 0.56 
