순,이름,팀/포지션,정렬용,출장,이닝,RE24타격,RE24주루,RE24,REW,WPA타격,WPA주루,WPAPlus,WPAMinus,WPA,pLI,WPA/LI,Clutch
50,이상동,23K, 0.43 , 36 , 40.2 , 5.61 , 0.28 , 5.89 , 0.60 , 0.36 , 0.08 , 2.25 , -1.82 , 0.43 , 0.71 , -0.21 , 0.82 
51,최지강,23두, 0.41 , 25 , 22.0 , -0.39 , 0.10 , -0.29 , -0.03 , 0.43 , -0.02 , 1.23 , -0.82 , 0.41 , 0.68 , -0.07 , 0.68 
52,김윤식,23L, 0.40 , 17 , 74.2 , 3.55 , 1.31 , 4.86 , 0.49 , 0.26 , 0.15 , 6.36 , -5.96 , 0.40 , 1.05 , 0.08 , 0.31 
53,임기영,23K, 0.38 , 64 , 82.0 , 16.01 , -0.69 , 15.32 , 1.55 , 0.47 , -0.09 , 6.03 , -5.65 , 0.38 , 1.04 , 1.67 , -1.31 
54,벤자민,23K, 0.37 , 29 , 160.0 , 14.57 , -4.53 , 10.04 , 1.01 , 0.80 , -0.44 , 12.07 , -11.71 , 0.37 , 1.02 , 0.73 , -0.37 
55,켈리,23L, 0.35 , 30 , 178.2 , 17.43 , -0.54 , 16.88 , 1.71 , 0.43 , -0.08 , 12.86 , -12.51 , 0.35 , 0.98 , 1.48 , -1.13 
,이우찬,23L, 0.35 , 38 , 38.1 , 12.26 , 0.40 , 12.66 , 1.28 , 0.30 , 0.04 , 1.87 , -1.52 , 0.35 , 0.59 , 0.16 , 0.43 
57,김진호,23N, 0.27 , 19 , 16.1 , 2.39 , -0.67 , 1.71 , 0.17 , 0.39 , -0.12 , 1.76 , -1.48 , 0.27 , 1.39 , -0.04 , 0.24 
58,최지민,23K, 0.25 , 58 , 59.1 , 9.52 , -3.48 , 6.04 , 0.61 , 0.72 , -0.46 , 5.44 , -5.19 , 0.25 , 1.18 , 0.35 , -0.13 
59,김동주,23두, 0.25 , 18 , 78.1 , 5.30 , 3.40 , 8.70 , 0.88 , -0.05 , 0.29 , 5.79 , -5.54 , 0.25 , 1.00 , 0.30 , -0.05 
60,정우람,23한, 0.24 , 52 , 40.1 , 2.04 , -0.42 , 1.62 , 0.16 , 0.23 , 0.01 , 2.94 , -2.70 , 0.24 , 0.94 , -0.07 , 0.33 
61,최이준,23롯, 0.23 , 28 , 29.0 , -2.69 , -0.83 , -3.52 , -0.36 , 0.34 , -0.11 , 1.15 , -0.92 , 0.23 , 0.48 , -0.67 , 1.15 
62,정철원,23두, 0.20 , 67 , 72.2 , 8.28 , -3.63 , 4.64 , 0.47 , 0.70 , -0.50 , 9.81 , -9.60 , 0.20 , 1.75 , 0.03 , 0.09 
63,김기중,23한, 0.20 , 37 , 56.1 , 0.61 , 2.78 , 3.39 , 0.34 , -0.09 , 0.29 , 3.59 , -3.39 , 0.20 , 0.79 , -0.12 , 0.37 
64,윤중현,23K, 0.20 , 31 , 28.0 , 6.22 , -0.81 , 5.42 , 0.55 , 0.29 , -0.09 , 1.63 , -1.43 , 0.20 , 0.74 , 0.06 , 0.21 
65,조영건,23키, 0.20 , 6 , 7.2 , 3.33 , 0.66 , 3.99 , 0.40 , 0.16 , 0.04 , 0.31 , -0.11 , 0.20 , 0.43 , 0.34 , 0.11 
66,백승건,23S, 0.18 , 25 , 38.0 , -3.39 , 0.92 , -2.48 , -0.25 , 0.19 , -0.01 , 2.63 , -2.45 , 0.18 , 0.91 , -0.61 , 0.82 
67,최동환,23L, 0.18 , 45 , 42.1 , 4.67 , -0.18 , 4.48 , 0.45 , 0.23 , -0.05 , 2.02 , -1.84 , 0.18 , 0.68 , -0.02 , 0.29 
68,이상규,23L, 0.17 , 8 , 7.2 , 2.34 , -0.15 , 2.19 , 0.22 , 0.17 , -0.00 , 0.30 , -0.13 , 0.17 , 0.34 , 0.07 , 0.43 
69,김강률,23두, 0.15 , 32 , 25.2 , 5.04 , -0.69 , 4.35 , 0.44 , 0.23 , -0.08 , 1.82 , -1.67 , 0.15 , 0.98 , 0.23 , -0.08 
70,박민호,23S, 0.14 , 10 , 10.0 , 2.37 , -0.15 , 2.22 , 0.22 , 0.15 , -0.01 , 0.41 , -0.27 , 0.14 , 0.44 , -0.04 , 0.35 
71,박정수,23두, 0.13 , 25 , 36.2 , 1.79 , -0.58 , 1.20 , 0.12 , 0.16 , -0.03 , 0.95 , -0.81 , 0.13 , 0.31 , -0.05 , 0.47 
72,이호성,23삼, 0.13 , 5 , 17.0 , 4.26 , 0.18 , 4.43 , 0.45 , 0.18 , -0.05 , 0.90 , -0.77 , 0.13 , 0.77 , 0.06 , 0.12 
73,김태오,23K, 0.11 , 5 , 7.1 , -2.42 , -0.48 , -2.90 , -0.29 , 0.15 , -0.04 , 0.31 , -0.19 , 0.11 , 0.35 , -0.22 , 0.53 
74,심재민,23K롯, 0.11 , 33 , 47.2 , 4.42 , -0.83 , 3.58 , 0.36 , 0.16 , -0.05 , 3.10 , -2.98 , 0.11 , 0.88 , -0.05 , 0.17 
75,스미스,23한, 0.11 , 1 , 2.2 , 1.20 , 0.00 , 1.20 , 0.12 , 0.11 , 0.00 , 0.23 , -0.13 , 0.11 , 1.14 , 0.04 , 0.05 
76,이민석,23롯, 0.10 , 1 , 1.1 , 1.03 , -0.15 , 0.88 , 0.09 , 0.12 , -0.01 , 0.15 , -0.04 , 0.10 , 1.40 , 0.07 , 0.01 
77,조민석,23N, 0.10 , 35 , 31.0 , 3.09 , 0.21 , 3.30 , 0.33 , 0.21 , -0.11 , 1.70 , -1.59 , 0.10 , 0.61 , -0.01 , 0.18 
78,김창훈,23롯, 0.10 , 3 , 4.1 , 1.91 , 0.00 , 1.91 , 0.19 , 0.10 , 0.00 , 0.14 , -0.04 , 0.10 , 0.21 , 0.04 , 0.43 
79,신헌민,23S, 0.09 , 11 , 12.0 , -2.64 , 0.00 , -2.64 , -0.27 , 0.09 , 0.00 , 0.14 , -0.05 , 0.09 , 0.14 , -0.10 , 0.75 
80,고효준,23S, 0.08 , 73 , 58.0 , 8.69 , -0.31 , 8.38 , 0.85 , 0.19 , -0.11 , 4.99 , -4.91 , 0.08 , 1.17 , 0.23 , -0.16 
81,이민우,23한, 0.07 , 17 , 13.2 , 2.76 , -0.28 , 2.48 , 0.25 , 0.14 , -0.07 , 0.85 , -0.79 , 0.07 , 0.97 , 0.17 , -0.10 
82,심창민,23N, 0.05 , 5 , 3.1 , -1.03 , 0.47 , -0.56 , -0.06 , 0.04 , 0.02 , 0.20 , -0.15 , 0.05 , 0.66 , -0.01 , 0.09 
83,최성훈,23L, 0.05 , 5 , 3.0 , -5.38 , 0.00 , -5.38 , -0.54 , 0.05 , 0.00 , 0.14 , -0.09 , 0.05 , 0.38 , -0.29 , 0.42 
84,이의리,23K, 0.05 , 28 , 131.2 , 16.01 , -2.98 , 13.03 , 1.32 , 0.32 , -0.27 , 10.06 , -10.01 , 0.05 , 1.08 , 0.87 , -0.82 
85,전용주,23K, 0.04 , 15 , 10.1 , 3.90 , -0.75 , 3.15 , 0.32 , 0.10 , -0.06 , 0.34 , -0.30 , 0.04 , 0.42 , 0.16 , -0.06 
86,파노니,23K, 0.04 , 16 , 82.1 , 8.08 , -0.39 , 7.69 , 0.78 , 0.07 , -0.03 , 5.99 , -5.95 , 0.04 , 0.99 , 0.65 , -0.61 
87,윤호솔,23L, 0.04 , 4 , 3.2 , 0.70 , 0.00 , 0.70 , 0.07 , 0.04 , 0.00 , 0.05 , -0.02 , 0.04 , 0.16 , 0.04 , 0.20 
88,이준호,23N, 0.03 , 17 , 31.2 , -3.58 , -0.61 , -4.19 , -0.42 , 0.04 , -0.01 , 1.31 , -1.27 , 0.03 , 0.56 , -0.41 , 0.47 
89,김규연,23한, 0.02 , 23 , 19.2 , 5.37 , -1.03 , 4.34 , 0.44 , 0.06 , -0.04 , 1.06 , -1.03 , 0.02 , 0.69 , 0.14 , -0.11 
90,조현우,23K, 0.01 , 5 , 3.0 , -0.42 , -0.57 , -1.00 , -0.10 , 0.01 , -0.00 , 0.03 , -0.02 , 0.01 , 0.10 , -0.13 , 0.23 
91,홍원표,23삼, 0.01 , 3 , 3.2 , 2.03 , -0.15 , 1.88 , 0.19 , 0.02 , -0.00 , 0.03 , -0.02 , 0.01 , 0.09 , 0.13 , -0.00 
92,박영완,23롯, 0.01 , 1 , 1.0 , 0.56 , 0.00 , 0.56 , 0.06 , 0.01 , 0.00 , 0.02 , -0.01 , 0.01 , 0.22 , 0.02 , 0.02 
93,김건희,23키, 0.00 , 3 , 2.0 , -2.82 , 0.00 , -2.82 , -0.28 , 0.00 , 0.00 , 0.02 , -0.01 , 0.00 , 0.08 , -0.12 , 0.17 
94,박치국,23두, 0.00 , 62 , 52.2 , 6.63 , -0.82 , 5.81 , 0.59 , 0.13 , -0.13 , 5.34 , -5.34 , 0.00 , 1.31 , 0.37 , -0.36 
95,김호준,23두, 0.00 , 3 , 3.0 , -2.18 , -0.15 , -2.34 , -0.24 , 0.00 , 0.00 , 0.00 , -0.00 , 0.00 , 0.02 , -0.05 , 0.11 
96,산체스,23한, 0.00 , 24 , 126.0 , 8.68 , -1.33 , 7.35 , 0.74 , 0.17 , -0.17 , 8.34 , -8.34 , 0.00 , 0.87 , 0.13 , -0.13 
97,유승철,23K, 0.00 , 1 , 1.0 , 0.56 , 0.00 , 0.56 , 0.06 , 0.00 , 0.00 , 0.00 , -0.00 , 0.00 , 0.02 , 0.05 , -0.01 
,임지민,23N, 0.00 , 2 , 1.1 , -0.90 , -1.05 , -1.96 , -0.20 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.01 , 0.04 , 0.13 
99,하준수,23N, 0.00 , 1 , 1.0 , 0.56 , 0.00 , 0.56 , 0.06 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 ,  
,송승기,23L, 0.00 , 1 , 1.0 , 0.56 , 0.00 , 0.56 , 0.06 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 ,  
,김태욱,23롯, 0.00 , 1 , 1.0 , 0.56 , 0.00 , 0.56 , 0.06 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 ,  
,류원석,23한, 0.00 , 1 , 2.0 , 0.15 , -0.04 , 0.11 , 0.01 , 0.00 , 0.00 , 0.00 , -0.00 , 0.00 , 0.01 , -0.07 , 0.07 
,이우석,23N, 0.00 , 1 , 0.2 , 0.44 , 0.00 , 0.44 , 0.04 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 ,  
104,배재준,23L, -0.00 , 1 , 1.0 , -1.28 , -0.17 , -1.44 , -0.15 , -0.00 , 0.00 , 0.00 , -0.00 , -0.00 , 0.01 , -0.16 , 0.05 
,김주온,23S, -0.00 , 1 , 0.1 , -1.82 , -0.27 , -2.09 , -0.21 , -0.00 , 0.00 , 0.00 , -0.00 , -0.00 , 0.01 , -0.04 , -0.13 
106,박윤철,23한, -0.00 , 3 , 3.1 , -6.35 , -0.15 , -6.50 , -0.66 , 0.00 , -0.00 , 0.01 , -0.01 , -0.00 , 0.02 , -0.22 , 0.18 
107,손주영,23L, -0.00 , 3 , 8.2 , -4.53 , 0.30 , -4.22 , -0.43 , -0.02 , 0.02 , 0.60 , -0.60 , -0.00 , 0.78 , -0.22 , 0.22 
108,이승진,23두, -0.00 , 1 , 0.2 , -1.26 , 0.00 , -1.26 , -0.13 , -0.00 , 0.00 , 0.00 , -0.01 , -0.00 , 0.05 , -0.11 , 0.07 
109,성동현,23L, -0.00 , 1 , 1.0 , -0.21 , -0.24 , -0.45 , -0.04 , -0.00 , -0.00 , 0.00 , -0.00 , -0.00 , 0.03 , -0.07 , -0.02 
110,나원탁,23롯, -0.00 , 1 , 0.2 , -2.70 , 0.00 , -2.70 , -0.27 , -0.00 , 0.00 , 0.00 , -0.00 , -0.00 , 0.02 , -0.10 , -0.07 
111,김강현,23롯, -0.00 , 2 , 3.0 , 0.67 , 0.00 , 0.67 , 0.07 , -0.00 , 0.00 , 0.03 , -0.04 , -0.00 , 0.17 , 0.06 , -0.08 
112,서상준,23S, -0.01 , 2 , 2.0 , -1.65 , -0.24 , -1.89 , -0.19 , -0.00 , -0.00 , 0.00 , -0.01 , -0.01 , 0.02 , -0.09 , -0.19 
113,김주한,23S, -0.01 , 1 , 0.0 , -3.00 , 0.00 , -3.00 , -0.30 , -0.01 , 0.00 , 0.00 , -0.01 , -0.01 , 0.03 , -0.17 , -0.01 
,이기순,23S, -0.01 , 2 , 3.0 , -1.34 , 0.00 , -1.34 , -0.13 , -0.01 , 0.00 , 0.00 , -0.01 , -0.01 , 0.01 , -0.17 , -0.52 
115,한두솔,23S, -0.01 , 1 , 1.0 , -0.35 , -0.09 , -0.45 , -0.04 , -0.01 , -0.00 , 0.00 , -0.01 , -0.01 , 0.06 , -0.07 , -0.04 
,장지수,23한, -0.01 , 1 , 2.0 , -2.92 , -0.97 , -3.89 , -0.39 , -0.01 , -0.00 , 0.01 , -0.01 , -0.01 , 0.04 , -0.15 , -0.01 
117,제환유,23두, -0.01 , 1 , 2.0 , -2.17 , -0.24 , -2.41 , -0.24 , -0.01 , 0.00 , 0.00 , -0.01 , -0.01 , 0.03 , -0.15 , -0.14 
118,류희운,23한, -0.01 , 3 , 4.0 , -2.14 , 0.00 , -2.14 , -0.22 , -0.01 , 0.00 , 0.03 , -0.04 , -0.01 , 0.07 , -0.05 , -0.10 
119,김태현,23N, -0.01 , 16 , 20.1 , -0.18 , 0.15 , -0.02 , -0.00 , -0.02 , 0.00 , 0.19 , -0.20 , -0.01 , 0.12 , -0.47 , 0.38 
120,채지선,23LN, -0.01 , 3 , 3.1 , 0.15 , -0.09 , 0.06 , 0.01 , -0.01 , 0.00 , 0.00 , -0.02 , -0.01 , 0.03 , -0.07 , -0.30 
121,홍성민,23키, -0.01 , 2 , 2.0 , -0.74 , -0.15 , -0.89 , -0.09 , -0.01 , -0.00 , 0.01 , -0.02 , -0.01 , 0.05 , -0.07 , -0.18 
122,석상호,23롯, -0.01 , 5 , 5.1 , 2.76 , -0.15 , 2.60 , 0.26 , -0.01 , -0.00 , 0.03 , -0.04 , -0.01 , 0.15 , 0.13 , -0.22 
123,김시현,23삼, -0.01 , 2 , 3.0 , -3.34 , 0.00 , -3.34 , -0.34 , -0.01 , 0.00 , 0.00 , -0.02 , -0.01 , 0.02 , -0.24 , -0.54 
124,김승현,23K, -0.02 , 10 , 12.2 , 2.08 , -0.09 , 1.99 , 0.20 , -0.02 , -0.00 , 0.08 , -0.09 , -0.02 , 0.11 , 0.06 , -0.22 
125,박권후,23삼, -0.02 , 4 , 2.2 , -0.16 , -0.09 , -0.26 , -0.03 , -0.02 , 0.00 , 0.01 , -0.03 , -0.02 , 0.13 , -0.13 , -0.00 
126,이준영,23K, -0.02 , 64 , 33.2 , 7.03 , -0.35 , 6.67 , 0.67 , 0.04 , -0.06 , 2.95 , -2.97 , -0.02 , 1.16 , 0.41 , -0.43 
127,장세진,23롯, -0.02 , 2 , 1.1 , -2.46 , 0.00 , -2.46 , -0.25 , -0.02 , 0.00 , 0.03 , -0.05 , -0.02 , 0.49 , -0.10 , 0.06 
128,윤석원,23키, -0.03 , 21 , 24.0 , -5.87 , -0.33 , -6.19 , -0.63 , -0.02 , -0.00 , 0.60 , -0.62 , -0.03 , 0.37 , -0.36 , 0.29 
129,앤더슨,23K, -0.03 , 14 , 79.0 , 4.04 , -3.32 , 0.72 , 0.07 , 0.35 , -0.38 , 5.48 , -5.51 , -0.03 , 0.90 , -0.29 , 0.26 
130,김준형,23키, -0.03 , 8 , 7.2 , -0.59 , -0.15 , -0.74 , -0.08 , -0.03 , -0.00 , 0.03 , -0.06 , -0.03 , 0.08 , -0.01 , -0.38 
131,양현종,23K, -0.03 , 29 , 171.0 , 14.95 , 1.69 , 16.64 , 1.68 , -0.10 , 0.07 , 12.33 , -12.36 , -0.03 , 0.99 , 0.97 , -1.00 
132,김영준,23L, -0.03 , 1 , 0.1 , -0.86 , -0.24 , -1.10 , -0.11 , -0.03 , -0.00 , 0.01 , -0.04 , -0.03 , 0.29 , -0.08 , -0.03 
133,최충연,23삼, -0.03 , 7 , 9.1 , -2.76 , -0.63 , -3.38 , -0.34 , -0.02 , -0.02 , 0.21 , -0.25 , -0.03 , 0.24 , -0.37 , 0.24 
134,양지율,23키, -0.04 , 1 , 0.2 , -1.26 , 0.00 , -1.26 , -0.13 , -0.04 , 0.00 , 0.01 , -0.05 , -0.04 , 0.36 , -0.06 , -0.05 
135,송윤준,23한, -0.04 , 4 , 4.1 , -1.40 , -0.15 , -1.55 , -0.16 , -0.03 , -0.00 , 0.12 , -0.16 , -0.04 , 0.42 , -0.02 , -0.07 
136,임준섭,23S, -0.04 , 41 , 32.2 , -5.64 , -0.93 , -6.57 , -0.66 , 0.01 , -0.05 , 1.72 , -1.75 , -0.04 , 0.66 , -0.91 , 0.84 
137,이진하,23롯, -0.04 , 9 , 8.0 , 2.34 , -0.50 , 1.85 , 0.19 , -0.01 , -0.03 , 0.10 , -0.14 , -0.04 , 0.18 , 0.04 , -0.27 
138,이로운,23S, -0.04 , 50 , 57.2 , -9.92 , -0.04 , -9.96 , -1.01 , -0.16 , 0.13 , 2.46 , -2.50 , -0.04 , 0.55 , -1.02 , 0.96 
139,이승현,23삼, -0.04 , 60 , 60.0 , -1.23 , -0.23 , -1.46 , -0.15 , -0.05 , 0.01 , 4.85 , -4.89 , -0.04 , 1.09 , -0.14 , 0.11 
140,김정운,23K, -0.04 , 5 , 7.0 , -1.24 , 0.00 , -1.24 , -0.13 , -0.04 , 0.00 , 0.02 , -0.06 , -0.04 , 0.06 , -0.07 , -0.71 
141,서동민,23S, -0.05 , 2 , 1.0 , -0.23 , -0.24 , -0.46 , -0.05 , -0.03 , -0.02 , 0.00 , -0.05 , -0.05 , 0.20 , -0.08 , -0.17 
142,이승호,23키, -0.05 , 4 , 5.0 , -0.59 , 0.00 , -0.59 , -0.06 , -0.05 , 0.00 , 0.45 , -0.50 , -0.05 , 1.11 , -0.07 , 0.03 
143,박준영,23한, -0.05 , 4 , 4.1 , -3.50 , -0.24 , -3.74 , -0.38 , -0.05 , 0.00 , 0.02 , -0.07 , -0.05 , 0.11 , 0.02 , -0.48 
144,이재희,23삼, -0.06 , 2 , 8.0 , 1.59 , -0.15 , 1.44 , 0.15 , -0.04 , -0.02 , 0.49 , -0.54 , -0.06 , 0.81 , 0.10 , -0.17 
145,김정우,23두, -0.06 , 7 , 6.2 , -6.01 , 0.25 , -5.76 , -0.58 , -0.06 , 0.00 , 0.03 , -0.09 , -0.06 , 0.07 , -0.65 , -0.17 
146,박진,23롯, -0.07 , 4 , 5.0 , -1.39 , -0.99 , -2.38 , -0.24 , -0.05 , -0.01 , 0.04 , -0.11 , -0.07 , 0.14 , -0.25 , -0.23 
147,곽도규,23K, -0.07 , 14 , 11.2 , -3.61 , -0.59 , -4.19 , -0.42 , -0.06 , -0.01 , 0.18 , -0.25 , -0.07 , 0.23 , -0.08 , -0.21 
148,김서현,23한, -0.08 , 20 , 22.1 , -6.47 , -0.37 , -6.84 , -0.69 , -0.08 , -0.00 , 1.45 , -1.53 , -0.08 , 0.84 , -0.88 , 0.78 
149,문동주,23한, -0.08 , 23 , 118.2 , 13.10 , -0.20 , 12.90 , 1.30 , 0.02 , -0.11 , 8.60 , -8.68 , -0.08 , 1.00 , 1.54 , -1.62 
150,오석주,23L, -0.08 , 9 , 10.0 , 1.51 , -1.09 , 0.41 , 0.04 , -0.06 , -0.03 , 0.11 , -0.19 , -0.08 , 0.15 , -0.15 , -0.40 
151,이건욱,23S, -0.09 , 27 , 38.2 , 6.27 , -0.74 , 5.53 , 0.56 , -0.02 , -0.06 , 1.13 , -1.22 , -0.09 , 0.41 , 0.33 , -0.54 
152,조성훈,23S, -0.10 , 2 , 7.0 , -1.56 , 0.44 , -1.12 , -0.11 , -0.15 , 0.05 , 0.63 , -0.72 , -0.10 , 1.12 , -0.15 , 0.06 
153,백승우,23두, -0.10 , 6 , 4.0 , 0.51 , 0.00 , 0.51 , 0.05 , -0.10 , 0.00 , 0.12 , -0.22 , -0.10 , 0.54 , 0.06 , -0.24 
154,송은범,23L, -0.10 , 4 , 3.2 , 0.24 , 0.00 , 0.24 , 0.02 , -0.10 , 0.00 , 0.05 , -0.16 , -0.10 , 0.40 , -0.04 , -0.21 
155,강건,23K, -0.10 , 4 , 6.2 , 1.71 , -0.25 , 1.47 , 0.15 , -0.09 , -0.01 , 0.17 , -0.27 , -0.10 , 0.45 , -0.07 , -0.16 
156,정성곤,23S, -0.10 , 6 , 4.1 , -8.05 , -0.44 , -8.49 , -0.86 , -0.10 , -0.01 , 0.09 , -0.19 , -0.10 , 0.19 , -0.82 , 0.28 
157,유영찬,23L, -0.12 , 67 , 68.0 , 10.52 , -2.17 , 8.35 , 0.84 , 0.24 , -0.36 , 5.65 , -5.77 , -0.12 , 1.19 , 0.26 , -0.37 
158,김민규,23두, -0.12 , 6 , 8.1 , 1.56 , -0.98 , 0.58 , 0.06 , -0.08 , -0.04 , 0.28 , -0.41 , -0.12 , 0.64 , -0.08 , -0.11 
159,윤정현,23키, -0.12 , 5 , 6.0 , 1.08 , -0.15 , 0.93 , 0.09 , -0.12 , 0.00 , 0.02 , -0.14 , -0.12 , 0.17 , -0.05 , -0.67 
160,문용익,23삼, -0.13 , 14 , 13.0 , 2.78 , -1.91 , 0.87 , 0.09 , -0.04 , -0.09 , 0.25 , -0.38 , -0.13 , 0.34 , 0.21 , -0.57 
161,배민서,23N, -0.13 , 6 , 6.2 , -4.65 , -0.31 , -4.97 , -0.50 , -0.13 , -0.00 , 0.02 , -0.15 , -0.13 , 0.09 , -0.42 , -1.02 
162,요키시,23키, -0.13 , 12 , 65.2 , -0.20 , -0.51 , -0.71 , -0.07 , -0.05 , -0.08 , 4.56 , -4.69 , -0.13 , 0.93 , -0.38 , 0.24 
163,진승현,23롯, -0.14 , 24 , 27.2 , 0.85 , -0.43 , 0.42 , 0.04 , -0.13 , -0.00 , 1.28 , -1.41 , -0.14 , 0.68 , -0.14 , -0.06 
164,이상영,23L, -0.14 , 6 , 11.0 , 0.44 , 0.25 , 0.69 , 0.07 , -0.17 , 0.02 , 0.63 , -0.78 , -0.14 , 0.85 , -0.09 , -0.08 
165,하준호,23K, -0.15 , 12 , 13.0 , -1.18 , -1.54 , -2.72 , -0.27 , -0.00 , -0.14 , 0.43 , -0.58 , -0.15 , 0.45 , -0.41 , 0.09 
166,정찬헌,23키, -0.15 , 14 , 72.0 , 0.61 , -0.04 , 0.58 , 0.06 , -0.12 , -0.03 , 4.52 , -4.68 , -0.15 , 0.90 , 0.53 , -0.69 
167,전사민,23N, -0.17 , 9 , 17.0 , -0.30 , 0.04 , -0.27 , -0.03 , -0.28 , 0.11 , 1.35 , -1.52 , -0.17 , 1.12 , -0.23 , 0.08 
168,정성종,23롯, -0.17 , 12 , 22.0 , -1.78 , -0.57 , -2.36 , -0.24 , -0.11 , -0.06 , 1.12 , -1.29 , -0.17 , 0.71 , -0.33 , 0.09 
169,와이드너,23N삼, -0.19 , 21 , 115.0 , 2.10 , -3.85 , -1.75 , -0.18 , 0.17 , -0.37 , 7.73 , -7.92 , -0.19 , 0.88 , 0.03 , -0.25 
170,박준표,23K, -0.20 , 33 , 28.0 , -1.48 , -0.90 , -2.37 , -0.24 , -0.11 , -0.10 , 1.35 , -1.55 , -0.20 , 0.61 , 0.39 , -0.72 
171,박세진,23K, -0.20 , 16 , 11.2 , -2.67 , -0.57 , -3.24 , -0.33 , -0.16 , -0.05 , 0.39 , -0.59 , -0.20 , 0.44 , -0.40 , -0.06 
172,고봉재,23두, -0.21 , 10 , 11.1 , -4.45 , -0.12 , -4.57 , -0.46 , -0.18 , -0.03 , 0.11 , -0.32 , -0.21 , 0.18 , -0.24 , -0.95 
173,김원중,23롯, -0.21 , 63 , 63.2 , 5.37 , -0.34 , 5.03 , 0.51 , -0.04 , -0.17 , 8.18 , -8.40 , -0.21 , 1.80 , 1.08 , -1.19 
174,최준용,23롯, -0.22 , 47 , 47.2 , 11.89 , -0.85 , 11.04 , 1.12 , -0.13 , -0.10 , 4.25 , -4.48 , -0.22 , 1.21 , 0.34 , -0.53 
175,이재학,23N, -0.23 , 15 , 67.1 , 2.66 , -0.58 , 2.08 , 0.21 , -0.21 , -0.02 , 4.68 , -4.91 , -0.23 , 0.97 , 0.35 , -0.59 
176,김민수,23K, -0.23 , 14 , 13.0 , -0.49 , -0.24 , -0.73 , -0.07 , -0.17 , -0.07 , 0.38 , -0.62 , -0.23 , 0.56 , -0.42 , -0.00 
177,김건국,23K, -0.24 , 6 , 16.0 , -3.04 , -0.82 , -3.86 , -0.39 , -0.16 , -0.08 , 0.96 , -1.20 , -0.24 , 0.84 , -0.01 , -0.27 
178,김유성,23두, -0.24 , 7 , 6.1 , -3.84 , -0.74 , -4.58 , -0.46 , -0.19 , -0.05 , 0.03 , -0.26 , -0.24 , 0.18 , -0.29 , -1.04 
179,한재승,23N, -0.24 , 11 , 9.2 , 0.00 , -0.81 , -0.81 , -0.08 , -0.14 , -0.09 , 0.26 , -0.50 , -0.24 , 0.35 , -0.26 , -0.41 
180,이충호,23한, -0.24 , 11 , 8.2 , -3.85 , -0.20 , -4.04 , -0.41 , -0.25 , 0.00 , 0.19 , -0.43 , -0.24 , 0.30 , -0.36 , -0.45 
181,우강훈,23롯, -0.26 , 3 , 6.0 , -0.53 , 0.00 , -0.53 , -0.05 , -0.26 , 0.00 , 0.35 , -0.61 , -0.26 , 0.97 , -0.09 , -0.18 
182,정구범,23N, -0.26 , 4 , 12.2 , -4.19 , -0.08 , -4.27 , -0.43 , -0.25 , -0.01 , 0.70 , -0.97 , -0.26 , 0.72 , -0.43 , 0.07 
183,우규민,23삼, -0.26 , 56 , 43.0 , -1.39 , 1.04 , -0.36 , -0.04 , -0.40 , 0.14 , 3.70 , -3.96 , -0.26 , 1.17 , -0.13 , -0.10 
184,스트레일리,23롯, -0.27 , 16 , 80.1 , 0.77 , 0.63 , 1.41 , 0.14 , -0.34 , 0.07 , 5.75 , -6.02 , -0.27 , 0.97 , -0.45 , 0.17 
185,페냐,23한, -0.27 , 32 , 177.1 , 21.18 , -4.63 , 16.54 , 1.67 , 0.28 , -0.54 , 13.30 , -13.57 , -0.27 , 1.02 , 0.80 , -1.06 
186,임정호,23N, -0.29 , 65 , 50.0 , 4.84 , -1.32 , 3.52 , 0.36 , -0.19 , -0.09 , 4.69 , -4.97 , -0.29 , 1.17 , -0.42 , 0.18 
187,박세웅,23삼, -0.30 , 2 , 0.2 , -2.22 , 0.00 , -2.22 , -0.22 , -0.30 , 0.00 , 0.00 , -0.30 , -0.30 , 0.59 , -0.15 , -0.36 
188,최원준,23두, -0.31 , 26 , 107.2 , -1.43 , 2.89 , 1.46 , 0.15 , -0.54 , 0.23 , 8.47 , -8.77 , -0.31 , 1.01 , -0.37 , 0.06 
189,김재영,23한, -0.31 , 6 , 8.0 , -3.72 , -0.24 , -3.96 , -0.40 , -0.31 , -0.00 , 0.17 , -0.48 , -0.31 , 0.36 , -0.50 , -0.37 
190,이원재,23두, -0.31 , 1 , 1.0 , -3.31 , 0.00 , -3.31 , -0.33 , -0.31 , 0.00 , 0.07 , -0.38 , -0.31 , 1.40 , -0.19 , -0.04 
191,김범수,23한, -0.32 , 76 , 62.1 , 3.54 , 0.94 , 4.48 , 0.45 , -0.34 , 0.02 , 8.24 , -8.56 , -0.32 , 1.71 , 0.12 , -0.31 
