순,이름,팀/포지션,정렬용,출장,이닝,타구방향%좌,타구방향%중,타구방향%우,타구방향%밀,타구방향%당,타구방향N좌,타구방향N중,타구방향N우,타구방향N밀,타구방향N당,안타방향N좌,안타방향N중,안타방향N우,안타방향밀,안타방향N당,방향별타율좌,방향별타율중,방향별타율우,방향별타율밀,방향별타율당,BABIP
185,나균안,23롯, .335 , 23 , 130.1 , 40.7 , 23.2 , 36.1 , 35.1 , 41.7 , 160 , 91 , 142 , 138 , 164 , 54 , 37 , 49 , 40 , 63 , .338 , .407 , .345 , .290 , .384 , .335 
186,한현희,23롯, .335 , 38 , 104.0 , 40.9 , 27.1 , 32.1 , 33.8 , 39.1 , 139 , 92 , 109 , 115 , 133 , 49 , 41 , 33 , 37 , 45 , .353 , .446 , .303 , .322 , .338 , .335 
187,심재민,23K롯, .335 , 33 , 47.2 , 49.1 , 16.6 , 34.4 , 52.2 , 31.3 , 80 , 27 , 56 , 85 , 51 , 24 , 12 , 21 , 25 , 20 , .300 , .444 , .375 , .294 , .392 , .335 
188,박상원,23한, .337 , 55 , 61.2 , 39.1 , 26.8 , 34.1 , 36.3 , 36.9 , 70 , 48 , 61 , 65 , 66 , 17 , 21 , 25 , 27 , 15 , .243 , .438 , .410 , .415 , .227 , .337 
189,김윤식,23L, .337 , 17 , 74.2 , 42.2 , 17.6 , 40.2 , 38.1 , 44.3 , 103 , 43 , 98 , 93 , 108 , 40 , 18 , 28 , 27 , 41 , .388 , .419 , .286 , .290 , .380 , .337 
190,김기중,23한, .338 , 37 , 56.1 , 47.2 , 22.1 , 30.7 , 37.4 , 40.5 , 77 , 36 , 50 , 61 , 66 , 28 , 19 , 11 , 14 , 25 , .364 , .528 , .220 , .230 , .379 , .338 
191,한승주,23한, .338 , 47 , 70.2 , 42.7 , 18.5 , 38.8 , 44.5 , 37.0 , 97 , 42 , 88 , 101 , 84 , 32 , 19 , 30 , 29 , 33 , .330 , .452 , .341 , .287 , .393 , .338 
192,강효종,23L, .338 , 7 , 21.2 , 44.3 , 24.3 , 31.4 , 40.0 , 35.7 , 31 , 17 , 22 , 28 , 25 , 10 , 9 , 6 , 7 , 9 , .323 , .529 , .273 , .250 , .360 , .338 
193,주승우,23키, .339 , 11 , 16.0 , 43.9 , 15.8 , 40.4 , 45.6 , 38.6 , 25 , 9 , 23 , 26 , 22 , 10 , 3 , 7 , 10 , 7 , .400 , .333 , .304 , .385 , .318 , .339 
194,임정호,23N, .340 , 65 , 50.0 , 45.8 , 22.2 , 31.9 , 44.4 , 33.3 , 66 , 32 , 46 , 64 , 48 , 20 , 14 , 17 , 20 , 17 , .303 , .438 , .370 , .313 , .354 , .340 
195,이로운,23S, .341 , 50 , 57.2 , 40.6 , 25.0 , 34.4 , 40.0 , 35.0 , 73 , 45 , 62 , 72 , 63 , 25 , 23 , 19 , 24 , 20 , .343 , .511 , .307 , .333 , .318 , .341 
196,박세진,23K, .342 , 16 , 11.2 , 35.7 , 23.8 , 40.5 , 52.4 , 23.8 , 15 , 10 , 17 , 22 , 10 , 8 , 3 , 4 , 8 , 4 , .533 , .300 , .235 , .364 , .400 , .342 
197,손주영,23L, .343 , 3 , 8.2 , 37.1 , 22.9 , 40.0 , 37.1 , 40.0 , 13 , 8 , 14 , 13 , 14 , 6 , 2 , 4 , 5 , 5 , .462 , .250 , .286 , .385 , .357 , .343 
198,구승민,23롯, .345 , 67 , 63.2 , 39.4 , 27.8 , 32.8 , 33.3 , 38.9 , 71 , 50 , 59 , 60 , 70 , 29 , 19 , 17 , 21 , 25 , .409 , .380 , .288 , .350 , .357 , .345 
199,하준영,23N, .345 , 57 , 49.0 , 46.1 , 22.0 , 31.9 , 38.3 , 39.7 , 65 , 31 , 45 , 54 , 56 , 22 , 14 , 16 , 19 , 19 , .339 , .452 , .356 , .352 , .339 , .345 
200,신정락,23롯, .346 , 34 , 29.0 , 33.7 , 20.5 , 45.8 , 44.6 , 34.9 , 28 , 17 , 38 , 37 , 29 , 10 , 9 , 13 , 8 , 15 , .357 , .529 , .342 , .216 , .517 , .346 
201,최채흥,23삼, .346 , 15 , 63.1 , 35.8 , 24.6 , 39.6 , 39.2 , 36.3 , 86 , 59 , 95 , 94 , 87 , 28 , 23 , 39 , 35 , 32 , .326 , .390 , .411 , .372 , .368 , .346 
202,황동재,23삼, .347 , 7 , 31.2 , 49.0 , 20.2 , 30.8 , 40.4 , 39.4 , 51 , 21 , 32 , 42 , 41 , 21 , 7 , 12 , 16 , 17 , .412 , .333 , .375 , .381 , .415 , .347 
203,홍건희,23두, .348 , 64 , 61.2 , 38.6 , 22.8 , 38.6 , 44.6 , 32.6 , 71 , 42 , 71 , 82 , 60 , 26 , 16 , 25 , 24 , 27 , .366 , .381 , .352 , .293 , .450 , .348 
204,박민호,23S, .350 , 10 , 10.0 , 50.0 , 30.0 , 20.0 , 50.0 , 20.0 , 20 , 12 , 8 , 20 , 8 , 8 , 5 , 1 , 8 , 1 , .400 , .417 , .125 , .400 , .125 , .350 
,하준호,23K, .350 , 12 , 13.0 , 35.0 , 25.0 , 40.0 , 35.0 , 40.0 , 14 , 10 , 16 , 14 , 16 , 5 , 4 , 5 , 5 , 5 , .357 , .400 , .313 , .357 , .313 , .350 
,원종현,23키, .350 , 20 , 18.2 , 43.6 , 12.9 , 43.6 , 30.7 , 56.5 , 27 , 8 , 27 , 19 , 35 , 14 , 5 , 5 , 5 , 14 , .519 , .625 , .185 , .263 , .400 , .350 
207,김시훈,23N, .351 , 61 , 52.2 , 43.6 , 26.3 , 30.1 , 47.4 , 26.3 , 68 , 41 , 47 , 74 , 41 , 22 , 19 , 16 , 28 , 10 , .324 , .463 , .340 , .378 , .244 , .351 
208,장현식,23K, .351 , 56 , 51.0 , 42.8 , 28.3 , 29.0 , 37.5 , 34.2 , 65 , 43 , 44 , 57 , 52 , 27 , 16 , 15 , 23 , 19 , .415 , .372 , .341 , .404 , .365 , .351 
209,최민준,23S, .352 , 53 , 60.0 , 41.4 , 22.7 , 35.9 , 37.9 , 39.4 , 82 , 45 , 71 , 75 , 78 , 24 , 25 , 26 , 22 , 28 , .293 , .556 , .366 , .293 , .359 , .352 
210,문승원,23S, .353 , 50 , 105.0 , 40.1 , 24.8 , 35.2 , 38.4 , 36.8 , 147 , 91 , 129 , 141 , 135 , 47 , 41 , 50 , 50 , 47 , .320 , .451 , .388 , .355 , .348 , .353 
211,우규민,23삼, .354 , 56 , 43.0 , 40.4 , 30.8 , 28.8 , 39.0 , 30.1 , 59 , 45 , 42 , 57 , 44 , 20 , 25 , 10 , 16 , 14 , .339 , .556 , .238 , .281 , .318 , .354 
212,김민수,23K, .356 , 14 , 13.0 , 29.6 , 29.6 , 40.9 , 36.4 , 34.1 , 13 , 13 , 18 , 16 , 15 , 4 , 8 , 5 , 5 , 4 , .308 , .615 , .278 , .313 , .267 , .356 
213,조민석,23N, .356 , 35 , 31.0 , 45.5 , 23.9 , 30.7 , 44.3 , 31.8 , 40 , 21 , 27 , 39 , 28 , 15 , 10 , 8 , 17 , 6 , .375 , .476 , .296 , .436 , .214 , .356 
214,고우석,23L, .356 , 44 , 44.0 , 36.9 , 26.2 , 36.9 , 35.0 , 38.8 , 38 , 27 , 38 , 36 , 40 , 16 , 12 , 10 , 10 , 16 , .421 , .444 , .263 , .278 , .400 , .356 
215,오석주,23L, .357 , 9 , 10.0 , 46.7 , 20.0 , 33.3 , 43.3 , 36.7 , 14 , 6 , 10 , 13 , 11 , 7 , 1 , 4 , 5 , 6 , .500 , .167 , .400 , .385 , .546 , .357 
,김태오,23K, .357 , 5 , 7.1 , 34.6 , 34.6 , 30.8 , 34.6 , 30.8 , 9 , 9 , 8 , 9 , 8 , 3 , 5 , 2 , 3 , 2 , .333 , .556 , .250 , .333 , .250 , .357 
217,김선기,23키, .358 , 17 , 43.2 , 36.2 , 24.3 , 39.5 , 42.1 , 33.6 , 55 , 37 , 60 , 64 , 51 , 15 , 12 , 29 , 22 , 22 , .273 , .324 , .483 , .344 , .431 , .358 
218,장원준,23두, .358 , 11 , 41.0 , 39.6 , 18.0 , 42.5 , 41.0 , 41.0 , 55 , 25 , 59 , 57 , 57 , 22 , 12 , 19 , 22 , 19 , .400 , .480 , .322 , .386 , .333 , .358 
219,양현,23키, .359 , 54 , 57.0 , 39.2 , 20.7 , 40.1 , 47.0 , 32.3 , 85 , 45 , 87 , 102 , 70 , 36 , 23 , 24 , 41 , 19 , .424 , .511 , .276 , .402 , .271 , .359 
220,이상동,23K, .360 , 36 , 40.2 , 32.2 , 27.1 , 40.7 , 33.1 , 39.8 , 38 , 32 , 48 , 39 , 47 , 10 , 19 , 16 , 10 , 16 , .263 , .594 , .333 , .256 , .340 , .360 
221,김동혁,23키, .360 , 35 , 39.1 , 43.2 , 22.3 , 34.5 , 47.5 , 30.2 , 60 , 31 , 48 , 66 , 42 , 19 , 16 , 16 , 15 , 20 , .317 , .516 , .333 , .227 , .476 , .360 
222,최이준,23롯, .360 , 28 , 29.0 , 36.6 , 23.8 , 39.6 , 38.6 , 37.6 , 37 , 24 , 40 , 39 , 38 , 11 , 11 , 15 , 15 , 11 , .297 , .458 , .375 , .385 , .290 , .360 
223,산체스,23K, .362 , 12 , 63.2 , 40.2 , 22.1 , 37.8 , 38.7 , 39.2 , 82 , 45 , 77 , 79 , 80 , 28 , 21 , 30 , 31 , 27 , .342 , .467 , .390 , .392 , .338 , .362 
224,양창섭,23삼, .362 , 15 , 28.2 , 36.0 , 25.2 , 38.7 , 38.7 , 36.0 , 40 , 28 , 43 , 43 , 40 , 20 , 12 , 13 , 18 , 15 , .500 , .429 , .302 , .419 , .375 , .362 
225,수아레즈,23삼, .362 , 19 , 108.0 , 40.7 , 20.9 , 38.4 , 39.0 , 40.1 , 140 , 72 , 132 , 134 , 138 , 52 , 35 , 42 , 51 , 43 , .371 , .486 , .318 , .381 , .312 , .362 
226,채지선,23LN, .364 , 3 , 3.1 , 60.0 , 30.0 , 10.0 , 60.0 , 10.0 , 6 , 3 , 1 , 6 , 1 , 2 , 2 , 0 , 2 , 0 , .333 , .667 , .000 , .333 , .000 , .364 
,김시현,23삼, .364 , 2 , 3.0 , 46.2 , 23.1 , 30.8 , 38.5 , 38.5 , 6 , 3 , 4 , 5 , 5 , 1 , 2 , 3 , 1 , 3 , .167 , .667 , .750 , .200 , .600 , .364 
228,정우영,23L, .365 , 60 , 51.2 , 43.3 , 18.7 , 38.0 , 39.8 , 41.5 , 74 , 32 , 65 , 68 , 71 , 19 , 17 , 27 , 21 , 25 , .257 , .531 , .415 , .309 , .352 , .365 
229,김민우,23한, .367 , 12 , 51.2 , 38.8 , 24.9 , 36.4 , 41.8 , 33.3 , 64 , 41 , 60 , 69 , 55 , 24 , 21 , 20 , 25 , 19 , .375 , .512 , .333 , .362 , .346 , .367 
230,요키시,23키, .369 , 12 , 65.2 , 37.9 , 24.8 , 37.4 , 40.7 , 34.6 , 81 , 53 , 80 , 87 , 74 , 28 , 26 , 28 , 32 , 24 , .346 , .491 , .350 , .368 , .324 , .369 
231,배민서,23N, .370 , 6 , 6.2 , 38.5 , 19.2 , 42.3 , 50.0 , 30.8 , 10 , 5 , 11 , 13 , 8 , 3 , 3 , 4 , 4 , 3 , .300 , .600 , .364 , .308 , .375 , .370 
232,한승혁,23한, .372 , 21 , 36.1 , 36.7 , 20.0 , 43.3 , 41.7 , 38.3 , 44 , 24 , 52 , 50 , 46 , 18 , 13 , 17 , 18 , 17 , .409 , .542 , .327 , .360 , .370 , .372 
233,진승현,23롯, .372 , 24 , 27.2 , 31.8 , 29.4 , 38.8 , 29.4 , 41.2 , 27 , 25 , 33 , 25 , 35 , 10 , 12 , 12 , 11 , 11 , .370 , .480 , .364 , .440 , .314 , .372 
234,이형범,23두, .373 , 23 , 27.2 , 35.3 , 25.5 , 39.2 , 35.3 , 39.2 , 36 , 26 , 40 , 36 , 40 , 10 , 19 , 11 , 9 , 12 , .278 , .731 , .275 , .250 , .300 , .373 
235,김민,23K, .374 , 16 , 29.0 , 45.5 , 19.8 , 34.7 , 32.7 , 47.5 , 46 , 20 , 35 , 33 , 48 , 16 , 11 , 13 , 11 , 18 , .348 , .550 , .371 , .333 , .375 , .374 
236,김진호,23N, .375 , 19 , 16.1 , 50.0 , 17.5 , 32.5 , 50.0 , 32.5 , 20 , 7 , 13 , 20 , 13 , 8 , 3 , 4 , 9 , 3 , .400 , .429 , .308 , .450 , .231 , .375 
,슐서,23K, .375 , 9 , 49.2 , 37.4 , 27.6 , 35.0 , 38.0 , 34.4 , 61 , 45 , 57 , 62 , 56 , 17 , 31 , 18 , 20 , 15 , .279 , .689 , .316 , .323 , .268 , .375 
,윤산흠,23한, .375 , 5 , 3.0 , 25.0 , 50.0 , 25.0 , 25.0 , 25.0 , 2 , 4 , 2 , 2 , 2 , 1 , 2 , 0 , 0 , 1 , .500 , .500 , .000 , .000 , .500 , .375 
,제환유,23두, .375 , 1 , 2.0 , 75.0 , 25.0 , 0.0 , 0.0 , 75.0 , 6 , 2 , 0 , 0 , 6 , 2 , 1 , 0 , 0 , 2 , .333 , .500 ,  ,  , .333 , .375 
,정성곤,23S, .375 , 6 , 4.1 , 33.3 , 22.2 , 44.4 , 38.9 , 38.9 , 6 , 4 , 8 , 7 , 7 , 1 , 3 , 4 , 2 , 3 , .167 , .750 , .500 , .286 , .429 , .375 
,김서현,23한, .375 , 20 , 22.1 , 31.6 , 21.1 , 47.4 , 33.3 , 45.6 , 18 , 12 , 27 , 19 , 26 , 4 , 6 , 12 , 7 , 9 , .222 , .500 , .444 , .368 , .346 , .375 
,남지민,23한, .375 , 16 , 37.2 , 47.9 , 20.7 , 31.4 , 42.1 , 37.1 , 67 , 29 , 44 , 59 , 52 , 20 , 19 , 15 , 19 , 16 , .299 , .655 , .341 , .322 , .308 , .375 
243,장필준,23삼, .377 , 17 , 19.1 , 37.7 , 24.6 , 37.7 , 42.0 , 33.3 , 26 , 17 , 26 , 29 , 23 , 9 , 8 , 11 , 9 , 11 , .346 , .471 , .423 , .310 , .478 , .377 
244,김재영,23한, .379 , 6 , 8.0 , 35.5 , 32.3 , 32.3 , 35.5 , 32.3 , 11 , 10 , 10 , 11 , 10 , 4 , 6 , 3 , 4 , 3 , .364 , .600 , .300 , .364 , .300 , .379 
245,박신지,23두, .384 , 15 , 26.0 , 38.4 , 30.3 , 31.3 , 43.4 , 26.3 , 38 , 30 , 31 , 43 , 26 , 15 , 13 , 11 , 16 , 10 , .395 , .433 , .355 , .372 , .385 , .384 
246,류희운,23한, .385 , 3 , 4.0 , 28.6 , 28.6 , 42.9 , 21.4 , 50.0 , 4 , 4 , 6 , 3 , 7 , 2 , 0 , 4 , 0 , 6 , .500 , .000 , .667 , .000 , .857 , .385 
247,하영민,23키, .387 , 57 , 52.1 , 42.8 , 21.1 , 36.1 , 36.1 , 42.8 , 71 , 35 , 60 , 60 , 71 , 24 , 17 , 26 , 23 , 27 , .338 , .486 , .433 , .383 , .380 , .387 
248,신헌민,23S, .391 , 11 , 12.0 , 51.1 , 12.8 , 36.2 , 40.4 , 46.8 , 24 , 6 , 17 , 19 , 22 , 10 , 2 , 7 , 9 , 8 , .417 , .333 , .412 , .474 , .364 , .391 
,김재열,23K, .391 , 9 , 11.2 , 41.3 , 19.6 , 39.1 , 37.0 , 43.5 , 19 , 9 , 18 , 17 , 20 , 8 , 5 , 7 , 9 , 6 , .421 , .556 , .389 , .529 , .300 , .391 
250,이인복,23롯, .392 , 10 , 33.1 , 38.6 , 18.1 , 43.3 , 45.7 , 36.2 , 49 , 23 , 55 , 58 , 46 , 15 , 13 , 26 , 24 , 17 , .306 , .565 , .473 , .414 , .370 , .392 
251,최영환,23롯, .395 , 8 , 10.0 , 35.1 , 27.0 , 37.8 , 35.1 , 37.8 , 13 , 10 , 14 , 13 , 14 , 5 , 5 , 5 , 4 , 6 , .385 , .500 , .357 , .308 , .429 , .395 
252,배재준,23L, .400 , 1 , 1.0 , 0.0 , 40.0 , 60.0 , 60.0 , 0.0 , 0 , 2 , 3 , 3 , 0 , 0 , 1 , 1 , 1 , 0 ,  , .500 , .333 , .333 ,  , .400 
,김건희,23키, .400 , 3 , 2.0 , 50.0 , 16.7 , 33.3 , 33.3 , 50.0 , 6 , 2 , 4 , 4 , 6 , 4 , 0 , 2 , 2 , 4 , .667 , .000 , .500 , .500 , .667 , .400 
,이충호,23한, .400 , 11 , 8.2 , 44.4 , 18.5 , 37.0 , 51.9 , 29.6 , 12 , 5 , 10 , 14 , 8 , 5 , 2 , 5 , 5 , 5 , .417 , .400 , .500 , .357 , .625 , .400 
,허윤동,23삼, .400 , 7 , 10.2 , 51.4 , 24.3 , 24.3 , 51.4 , 24.3 , 19 , 9 , 9 , 19 , 9 , 8 , 4 , 4 , 9 , 3 , .421 , .444 , .444 , .474 , .333 , .400 
,이종민,23키, .400 , 11 , 13.2 , 41.5 , 30.2 , 28.3 , 37.7 , 32.1 , 22 , 16 , 15 , 20 , 17 , 6 , 9 , 7 , 5 , 8 , .273 , .563 , .467 , .250 , .471 , .400 
257,윤명준,23롯, .403 , 21 , 19.1 , 41.4 , 27.1 , 31.4 , 38.6 , 34.3 , 29 , 19 , 22 , 27 , 24 , 13 , 10 , 8 , 10 , 11 , .448 , .526 , .364 , .370 , .458 , .403 
258,임준섭,23S, .410 , 41 , 32.2 , 49.5 , 13.3 , 37.1 , 48.6 , 38.1 , 52 , 14 , 39 , 51 , 40 , 19 , 10 , 15 , 19 , 15 , .365 , .714 , .385 , .373 , .375 , .410 
259,조이현,23K, .411 , 18 , 35.0 , 43.6 , 19.3 , 37.1 , 41.4 , 39.3 , 61 , 27 , 52 , 58 , 55 , 24 , 13 , 24 , 23 , 25 , .393 , .482 , .462 , .397 , .455 , .411 
260,조성훈,23S, .417 , 2 , 7.0 , 33.3 , 25.0 , 41.7 , 33.3 , 41.7 , 8 , 6 , 10 , 8 , 10 , 2 , 2 , 6 , 2 , 6 , .250 , .333 , .600 , .250 , .600 , .417 
,김정우,23두, .417 , 7 , 6.2 , 40.0 , 8.0 , 52.0 , 44.0 , 48.0 , 10 , 2 , 13 , 11 , 12 , 3 , 1 , 7 , 4 , 6 , .300 , .500 , .539 , .364 , .500 , .417 
262,조현우,23K, .429 , 5 , 3.0 , 28.6 , 28.6 , 42.9 , 28.6 , 42.9 , 4 , 4 , 6 , 4 , 6 , 1 , 1 , 4 , 1 , 4 , .250 , .250 , .667 , .250 , .667 , .429 
,문경찬,23롯, .429 , 2 , 2.0 , 20.0 , 10.0 , 70.0 , 40.0 , 50.0 , 2 , 1 , 7 , 4 , 5 , 0 , 1 , 5 , 2 , 3 , .000 , 1.000 , .714 , .500 , .600 , .429 
264,노건우,23삼, .432 , 16 , 12.1 , 44.7 , 38.3 , 17.0 , 34.0 , 27.7 , 21 , 18 , 8 , 16 , 13 , 13 , 7 , 2 , 8 , 7 , .619 , .389 , .250 , .500 , .539 , .432 
265,홍성민,23키, .444 , 2 , 2.0 , 60.0 , 10.0 , 30.0 , 30.0 , 60.0 , 6 , 1 , 3 , 3 , 6 , 2 , 1 , 2 , 2 , 2 , .333 , 1.000 , .667 , .667 , .333 , .444 
,장지수,23한, .444 , 1 , 2.0 , 44.4 , 22.2 , 33.3 , 33.3 , 44.4 , 4 , 2 , 3 , 3 , 4 , 2 , 1 , 1 , 1 , 2 , .500 , .500 , .333 , .333 , .500 , .444 
,이영준,23키, .444 , 2 , 1.2 , 33.3 , 33.3 , 33.3 , 33.3 , 33.3 , 3 , 3 , 3 , 3 , 3 , 1 , 2 , 1 , 1 , 1 , .333 , .667 , .333 , .333 , .333 , .444 
,최하늘,23삼, .444 , 3 , 6.1 , 41.4 , 31.0 , 27.6 , 41.4 , 27.6 , 12 , 9 , 8 , 12 , 8 , 7 , 5 , 2 , 7 , 2 , .583 , .556 , .250 , .583 , .250 , .444 
269,소형준,23K, .447 , 3 , 11.0 , 41.7 , 29.2 , 29.2 , 31.3 , 39.6 , 20 , 14 , 14 , 15 , 19 , 3 , 10 , 9 , 7 , 5 , .150 , .714 , .643 , .467 , .263 , .447 
270,곽도규,23K, .452 , 14 , 11.2 , 38.7 , 25.8 , 35.5 , 45.2 , 29.0 , 12 , 8 , 11 , 14 , 9 , 6 , 5 , 3 , 6 , 3 , .500 , .625 , .273 , .429 , .333 , .452 
271,김대현,23L, .467 , 5 , 3.1 , 62.5 , 18.8 , 18.8 , 56.3 , 25.0 , 10 , 3 , 3 , 9 , 4 , 6 , 1 , 1 , 6 , 1 , .600 , .333 , .333 , .667 , .250 , .467 
272,이태연,23롯, .478 , 15 , 5.2 , 34.8 , 17.4 , 47.8 , 26.1 , 56.5 , 8 , 4 , 11 , 6 , 13 , 2 , 3 , 7 , 3 , 6 , .250 , .750 , .636 , .500 , .462 , .478 
273,이상민,23삼, .492 , 23 , 18.0 , 33.9 , 24.2 , 41.9 , 41.9 , 33.9 , 21 , 15 , 26 , 26 , 21 , 9 , 7 , 16 , 12 , 13 , .429 , .467 , .615 , .462 , .619 , .492 
274,송은범,23L, .500 , 4 , 3.2 , 50.0 , 16.7 , 33.3 , 50.0 , 33.3 , 6 , 2 , 4 , 6 , 4 , 2 , 2 , 2 , 2 , 2 , .333 , 1.000 , .500 , .333 , .500 , .500 
,한두솔,23S, .500 , 1 , 1.0 , 50.0 , 0.0 , 50.0 , 50.0 , 50.0 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , .000 ,  , 1.000 , 1.000 , .000 , .500 
,성동현,23L, .500 , 1 , 1.0 , 0.0 , 50.0 , 50.0 , 50.0 , 0.0 , 0 , 2 , 2 , 2 , 0 , 0 , 2 , 0 , 0 , 0 ,  , 1.000 , .000 , .000 ,  , .500 
,김영준,23L, .500 , 1 , 0.1 , 0.0 , 50.0 , 50.0 , 0.0 , 50.0 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 ,  , 1.000 , .000 ,  , .000 , .500 
,이원재,23두, .500 , 1 , 1.0 , 83.3 , 0.0 , 16.7 , 16.7 , 83.3 , 5 , 0 , 1 , 1 , 5 , 3 , 0 , 0 , 0 , 3 , .600 ,  , .000 , .000 , .600 , .500 
,최성훈,23L, .500 , 5 , 3.0 , 35.7 , 21.4 , 42.9 , 64.3 , 14.3 , 5 , 3 , 6 , 9 , 2 , 2 , 2 , 3 , 4 , 1 , .400 , .667 , .500 , .444 , .500 , .500 
,변시원,23키, .500 , 4 , 2.1 , 18.2 , 27.3 , 54.6 , 45.5 , 27.3 , 2 , 3 , 6 , 5 , 3 , 2 , 2 , 2 , 2 , 2 , 1.000 , .667 , .333 , .400 , .667 , .500 
281,임지민,23N, .667 , 2 , 1.1 , 33.3 , 0.0 , 66.7 , 100.0 , 0.0 , 1 , 0 , 2 , 3 , 0 , 0 , 0 , 2 , 2 , 0 , .000 ,  , 1.000 , .667 ,  , .667 
,나원탁,23롯, .667 , 1 , 0.2 , 0.0 , 50.0 , 50.0 , 50.0 , 0.0 , 0 , 2 , 2 , 2 , 0 , 0 , 1 , 2 , 2 , 0 ,  , .500 , 1.000 , 1.000 ,  , .667 
283,김주한,23S, 1.000 , 1 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 2 , 0 , 0 , 0 , 2 , 2 , 0 , 0 , 0 , 2 , 1.000 ,  ,  ,  , 1.000 , 1.000 
,양지율,23키, 1.000 , 1 , 0.2 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1.000 ,  ,  ,  , 1.000 , 1.000 
,김주온,23S, 1.000 , 1 , 0.1 , 50.0 , 0.0 , 50.0 , 50.0 , 50.0 , 1 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1.000 ,  , 1.000 , 1.000 , 1.000 , 1.000 
