순,이름,팀/포지션,정렬용,출장,이닝,타구방향%좌,타구방향%중,타구방향%우,타구방향%밀,타구방향%당,타구방향N좌,타구방향N중,타구방향N우,타구방향N밀,타구방향N당,안타방향N좌,안타방향N중,안타방향N우,안타방향밀,안타방향N당,방향별타율좌,방향별타율중,방향별타율우,방향별타율밀,방향별타율당,BABIP
118,문동주,23한, .302 , 23 , 118.2 , 40.7 , 22.0 , 37.3 , 36.5 , 41.5 , 146 , 79 , 134 , 131 , 149 , 38 , 37 , 38 , 40 , 36 , .260 , .468 , .284 , .305 , .242 , .302 
,정구범,23N, .302 , 4 , 12.2 , 63.0 , 15.2 , 21.7 , 52.2 , 32.6 , 29 , 7 , 10 , 24 , 15 , 12 , 2 , 2 , 7 , 7 , .414 , .286 , .200 , .292 , .467 , .302 
120,송영진,23S, .303 , 17 , 47.1 , 34.8 , 22.7 , 42.6 , 43.3 , 34.0 , 49 , 32 , 60 , 61 , 48 , 14 , 16 , 16 , 16 , 14 , .286 , .500 , .267 , .262 , .292 , .303 
121,박세웅,23롯, .304 , 27 , 154.0 , 43.1 , 22.0 , 35.0 , 41.1 , 36.9 , 196 , 100 , 159 , 187 , 168 , 57 , 41 , 47 , 52 , 52 , .291 , .410 , .296 , .278 , .310 , .304 
122,이상규,23L, .304 , 8 , 7.2 , 52.2 , 26.1 , 21.7 , 52.2 , 21.7 , 12 , 6 , 5 , 12 , 5 , 5 , 1 , 1 , 3 , 3 , .417 , .167 , .200 , .250 , .600 , .304 
123,김재웅,23키, .307 , 67 , 59.2 , 37.5 , 20.5 , 42.1 , 39.2 , 40.3 , 66 , 36 , 74 , 69 , 71 , 16 , 22 , 18 , 21 , 13 , .242 , .611 , .243 , .304 , .183 , .307 
,윤석원,23키, .307 , 21 , 24.0 , 37.5 , 25.0 , 37.5 , 35.2 , 39.8 , 33 , 22 , 33 , 31 , 35 , 13 , 5 , 11 , 13 , 11 , .394 , .227 , .333 , .419 , .314 , .307 
125,노경은,23S, .307 , 76 , 83.0 , 35.4 , 25.9 , 38.7 , 34.2 , 39.9 , 86 , 63 , 94 , 83 , 97 , 28 , 23 , 27 , 27 , 28 , .326 , .365 , .287 , .325 , .289 , .307 
126,장재영,23키, .307 , 23 , 71.2 , 37.5 , 23.4 , 39.1 , 39.6 , 37.0 , 72 , 45 , 75 , 76 , 71 , 21 , 18 , 24 , 20 , 25 , .292 , .400 , .320 , .263 , .352 , .307 
127,김규연,23한, .308 , 23 , 19.2 , 48.1 , 21.2 , 30.8 , 32.7 , 46.2 , 25 , 11 , 16 , 17 , 24 , 7 , 3 , 6 , 3 , 10 , .280 , .273 , .375 , .177 , .417 , .308 
,석상호,23롯, .308 , 5 , 5.1 , 38.5 , 23.1 , 38.5 , 38.5 , 38.5 , 5 , 3 , 5 , 5 , 5 , 1 , 1 , 2 , 3 , 0 , .200 , .333 , .400 , .600 , .000 , .308 
,김유신,23K, .308 , 27 , 30.1 , 43.7 , 20.4 , 35.9 , 35.9 , 43.7 , 45 , 21 , 37 , 37 , 45 , 18 , 6 , 10 , 14 , 14 , .400 , .286 , .270 , .378 , .311 , .308 
,김기훈,23K, .308 , 29 , 31.1 , 33.7 , 22.5 , 43.8 , 34.8 , 42.7 , 30 , 20 , 39 , 31 , 38 , 13 , 7 , 8 , 14 , 7 , .433 , .350 , .205 , .452 , .184 , .308 
131,김대우,23삼, .309 , 44 , 64.0 , 35.8 , 26.9 , 37.3 , 34.2 , 38.9 , 69 , 52 , 72 , 66 , 75 , 21 , 23 , 22 , 21 , 22 , .304 , .442 , .306 , .318 , .293 , .309 
132,박영현,23K, .309 , 68 , 75.1 , 38.5 , 21.0 , 40.5 , 41.5 , 37.4 , 75 , 41 , 79 , 81 , 73 , 21 , 15 , 27 , 23 , 25 , .280 , .366 , .342 , .284 , .343 , .309 
133,와이드너,23N삼, .310 , 21 , 115.0 , 39.8 , 21.6 , 38.6 , 41.5 , 36.8 , 136 , 74 , 132 , 142 , 126 , 37 , 29 , 46 , 39 , 44 , .272 , .392 , .349 , .275 , .349 , .310 
134,맥카티,23S, .310 , 24 , 130.0 , 43.4 , 22.9 , 33.8 , 43.6 , 33.5 , 163 , 86 , 127 , 164 , 126 , 46 , 40 , 38 , 47 , 37 , .282 , .465 , .299 , .287 , .294 , .310 
