순,이름,팀/포지션,정렬용,출장,이닝,평균구속_직구,평균구속_슬라,평균구속_커브,평균구속_첸졉,평균구속_스플,평균구속_싱커,평균구속_너클,평균구속_기타,직구구사율,슬라구사율,커브구사율,첸졉구사율,스플구사율,싱커구사율,너클구사율,기타구사율,Swing%IZ,Swing%OZ,Swing%All,Contact%IZ,Contact%OZ,Contact%All,Zone%
,남지민,23한, 145.5 , 16 , 37.2 , 145.5 , 130.3 , 117.9 , 135.0 , 134.5 ,  ,  ,  , 51.8 , 35.5 , 11.4 , 0.1 , 1.2 , 0.0 , 0.0 , 0.0 , 69.3 , 27.6 , 47.6 , 89.8 , 79.4 , 86.7 , 48.1 
66,김규연,23한, 145.4 , 23 , 19.2 , 145.4 , 134.0 , 129.0 , 133.6 , 130.3 ,  ,  ,  , 49.0 , 16.0 , 0.3 , 2.0 , 32.7 , 0.0 , 0.0 , 0.0 , 68.6 , 30.9 , 44.2 , 84.3 , 60.9 , 73.7 , 35.2 
,김강률,23두, 145.4 , 32 , 25.2 , 145.4 , 134.0 , 120.8 ,  , 134.8 ,  ,  ,  , 52.1 , 24.5 , 16.6 , 0.0 , 6.7 , 0.0 , 0.0 , 0.0 , 67.7 , 23.1 , 44.0 , 89.7 , 71.7 , 84.7 , 46.8 
,와이드너,23N삼, 145.4 , 21 , 115.0 , 145.4 , 129.4 , 144.0 , 133.7 ,  , 143.7 ,  ,  , 40.3 , 23.8 , 0.1 , 19.6 , 0.0 , 16.2 , 0.0 , 0.0 , 64.3 , 29.1 , 45.9 , 84.8 , 69.1 , 79.6 , 47.7 
,장필준,23삼, 145.4 , 17 , 19.1 , 145.4 , 135.2 , 121.3 , 128.0 , 131.8 , 144.9 ,  ,  , 51.4 , 14.7 , 13.7 , 11.6 , 4.9 , 3.6 , 0.0 , 0.0 , 71.2 , 27.2 , 44.6 , 93.6 , 75.0 , 86.7 , 39.4 
70,우강훈,23롯, 145.3 , 3 , 6.0 , 145.3 , 132.0 , 120.4 , 126.2 ,  ,  ,  ,  , 69.8 , 2.6 , 17.2 , 10.3 , 0.0 , 0.0 , 0.0 , 0.0 , 75.6 , 30.3 , 46.2 , 90.3 , 73.9 , 83.3 , 35.0 
,송영진,23S, 145.3 , 17 , 47.1 , 145.3 , 131.8 , 117.3 ,  , 133.3 , 144.5 ,  ,  , 53.0 , 27.8 , 13.9 , 0.0 , 3.9 , 1.4 , 0.0 , 0.0 , 62.7 , 22.4 , 39.7 , 88.9 , 61.3 , 80.1 , 43.1 
72,문승원,23S, 145.2 , 50 , 105.0 , 145.2 , 135.8 , 121.4 , 129.7 , 132.6 , 141.7 ,  ,  , 41.2 , 36.3 , 6.5 , 10.7 , 3.4 , 1.9 , 0.0 , 0.0 , 67.4 , 30.5 , 45.8 , 87.6 , 69.7 , 80.6 , 41.4 
,김승현,23K, 145.2 , 10 , 12.2 , 145.2 , 136.9 , 144.0 ,  ,  ,  ,  ,  , 64.9 , 34.6 , 0.4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 73.6 , 20.3 , 41.0 , 88.1 , 75.9 , 84.4 , 38.9 
,임지민,23N, 145.2 , 2 , 1.1 , 145.2 , 130.8 ,  ,  , 127.9 ,  ,  ,  , 59.6 , 8.5 , 0.0 , 0.0 , 31.9 , 0.0 , 0.0 , 0.0 , 50.0 , 10.0 , 25.0 , 88.9 , 33.3 , 75.0 , 37.5 
75,주현상,23한, 145.1 , 55 , 59.2 , 145.1 , 135.5 , 122.4 , 131.5 ,  ,  ,  ,  , 54.0 , 25.9 , 8.0 , 12.2 , 0.0 , 0.0 , 0.0 , 0.0 , 70.5 , 28.5 , 48.5 , 84.4 , 69.4 , 79.8 , 47.6 
,김태현,23N, 145.1 , 16 , 20.1 , 145.1 , 134.7 ,  ,  , 134.9 ,  ,  ,  , 53.6 , 23.5 , 0.0 , 0.0 , 22.9 , 0.0 , 0.0 , 0.0 , 71.3 , 28.4 , 45.7 , 87.6 , 61.4 , 77.9 , 40.4 
,윤호솔,23L, 145.1 , 4 , 3.2 , 145.1 , 135.3 , 121.0 ,  , 127.7 ,  ,  ,  , 76.9 , 7.7 , 2.2 , 0.0 , 13.2 , 0.0 , 0.0 , 0.0 , 59.4 , 25.4 , 37.4 , 73.7 , 86.7 , 79.4 , 35.2 
,채지선,23LN, 145.1 , 3 , 3.1 , 145.1 , 132.7 , 119.0 , 131.8 ,  ,  ,  ,  , 63.3 , 28.3 , 1.7 , 6.7 , 0.0 , 0.0 , 0.0 , 0.0 , 68.8 , 25.0 , 36.7 , 90.9 , 72.7 , 81.8 , 26.7 
79,김영규,23N, 145.0 , 63 , 61.2 , 145.0 , 135.2 , 145.0 ,  , 134.4 ,  ,  ,  , 47.3 , 36.8 , 0.1 , 0.0 , 15.8 , 0.0 , 0.0 , 0.0 , 66.8 , 28.7 , 45.6 , 87.9 , 65.1 , 79.9 , 44.4 
,이건욱,23S, 145.0 , 27 , 38.2 , 145.0 , 135.5 , 131.8 , 134.5 ,  ,  ,  ,  , 58.2 , 27.0 , 0.7 , 14.1 , 0.0 , 0.0 , 0.0 , 0.0 , 71.5 , 26.7 , 43.4 , 83.8 , 61.7 , 75.2 , 37.3 
,원종현,23키, 145.0 , 20 , 18.2 , 145.0 , 132.7 , 149.0 ,  , 133.9 , 142.4 ,  ,  , 52.3 , 29.9 , 0.3 , 0.0 , 9.3 , 8.1 , 0.0 , 0.0 , 68.8 , 28.5 , 48.1 , 87.0 , 48.9 , 75.5 , 48.8 
82,김성진,23키, 144.9 , 55 , 47.0 , 144.9 , 129.5 , 125.0 , 130.8 ,  , 143.2 ,  ,  , 5.4 , 47.3 , 0.6 , 6.8 , 0.0 , 40.0 , 0.0 , 0.0 , 69.8 , 31.0 , 46.7 , 85.8 , 61.8 , 76.4 , 40.5 
,김동규,23L키, 144.9 , 4 , 4.1 , 144.9 , 130.6 , 117.9 ,  , 129.8 ,  ,  ,  , 76.2 , 7.7 , 5.6 , 0.0 , 10.5 , 0.0 , 0.0 , 0.0 , 65.9 , 17.2 , 32.2 , 93.1 , 64.7 , 82.6 , 30.8 
84,이병헌,23두, 144.8 , 36 , 27.0 , 144.8 , 132.8 ,  , 135.0 , 133.6 ,  ,  ,  , 68.2 , 28.9 , 0.0 , 1.4 , 1.6 , 0.0 , 0.0 , 0.0 , 68.1 , 24.3 , 41.9 , 80.1 , 61.3 , 73.6 , 40.1 
,한두솔,23S, 144.8 , 1 , 1.0 , 144.8 , 130.8 , 111.0 ,  ,  ,  ,  ,  , 15.4 , 80.8 , 3.8 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 62.5 , 27.8 , 38.5 , 60.0 , 20.0 , 40.0 , 30.8 
86,최지강,23두, 144.7 , 25 , 22.0 , 144.7 , 134.2 ,  , 132.1 ,  ,  ,  ,  , 46.0 , 42.7 , 0.0 , 11.4 , 0.0 , 0.0 , 0.0 , 0.0 , 59.1 , 25.2 , 36.8 , 88.9 , 71.2 , 81.0 , 34.3 
87,윌커슨,23롯, 144.6 , 13 , 79.2 , 144.6 , 136.4 , 122.1 , 134.3 ,  ,  ,  ,  , 35.5 , 38.2 , 15.2 , 11.1 , 0.0 , 0.0 , 0.0 , 0.0 , 67.8 , 34.4 , 49.4 , 83.8 , 59.2 , 74.4 , 45.0 
