순,이름,팀/포지션,정렬용,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2루타,3루타,홈런,볼넷,고의4구,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
11,페냐,23한, 3.53 , 32 , 0 , 0 , 32 , 11 , 11 , 0 , 0 , 177.1 , 82 , 71 , 751 , 149 , 28 , 5 , 14 , 59 , 1 , 18 , 147 , 4 , 16 , 3.60 , 4.10 , 1.17 , 115.2 , 101.3 , 3.53 , -0.27 
12,원태인,23삼, 3.47 , 26 , 0 , 0 , 26 , 7 , 7 , 0 , 0 , 150.0 , 61 , 53 , 633 , 156 , 26 , 1 , 15 , 34 , 2 , 6 , 102 , 2 , 6 , 3.18 , 4.14 , 1.27 , 133.2 , 101.5 , 3.47 , 0.67 
13,김광현,23S, 3.30 , 30 , 0 , 0 , 30 , 9 , 8 , 0 , 0 , 168.1 , 75 , 66 , 713 , 163 , 30 , 0 , 11 , 70 , 0 , 2 , 119 , 0 , 5 , 3.53 , 4.16 , 1.38 , 118.6 , 101.3 , 3.30 , 0.92 
14,브랜든,23두, 3.19 , 18 , 0 , 0 , 18 , 11 , 3 , 0 , 0 , 104.2 , 34 , 29 , 427 , 80 , 13 , 0 , 4 , 30 , 0 , 12 , 100 , 0 , 3 , 2.49 , 3.23 , 1.05 , 163.3 , 126.3 , 3.19 , 1.88 
15,박세웅,23롯, 3.11 , 27 , 0 , 0 , 27 , 9 , 7 , 0 , 0 , 154.0 , 70 , 59 , 657 , 145 , 24 , 0 , 8 , 59 , 1 , 4 , 129 , 0 , 10 , 3.45 , 3.65 , 1.33 , 120.7 , 112.8 , 3.11 , 0.84 
16,양현종,23K, 2.80 , 29 , 0 , 0 , 29 , 9 , 11 , 0 , 0 , 171.0 , 78 , 67 , 729 , 180 , 32 , 1 , 13 , 48 , 1 , 1 , 133 , 0 , 5 , 3.53 , 3.72 , 1.33 , 117.2 , 110.4 , 2.80 , -0.03 
17,엘리아스,23S, 2.64 , 22 , 0 , 0 , 21 , 7 , 6 , 0 , 0 , 131.1 , 58 , 55 , 548 , 140 , 22 , 1 , 12 , 33 , 1 , 6 , 93 , 0 , 0 , 3.77 , 4.08 , 1.32 , 111.0 , 104.0 , 2.64 , 1.25 
18,문동주,23한, 2.51 , 23 , 0 , 0 , 23 , 8 , 8 , 0 , 0 , 118.2 , 52 , 49 , 503 , 113 , 20 , 2 , 6 , 42 , 0 , 4 , 95 , 1 , 5 , 3.72 , 3.66 , 1.31 , 111.7 , 113.2 , 2.51 , -0.08 
19,엄상백,23K, 2.45 , 20 , 0 , 0 , 19 , 7 , 6 , 0 , 0 , 111.2 , 46 , 45 , 454 , 100 , 16 , 4 , 6 , 29 , 0 , 2 , 89 , 0 , 1 , 3.63 , 3.38 , 1.16 , 116.4 , 123.6 , 2.45 , 0.86 
20,벤자민,23K, 2.39 , 29 , 0 , 0 , 29 , 15 , 6 , 0 , 0 , 160.0 , 79 , 63 , 684 , 149 , 23 , 1 , 12 , 45 , 1 , 3 , 157 , 0 , 11 , 3.54 , 3.34 , 1.21 , 119.2 , 125.5 , 2.39 , 0.37 
