순,이름,팀/포지션,정렬용,출장,이닝,땅볼,뜬공,GO/FO,InP%,타구내야%,타구외야%,BABIP,내야타율,외야타율,내야뜬공N,내야뜬공%,내야안타N,내야안타%,실책출루,포스O출루,번트안타,번트아웃,번트타율,번트시도,번트%
240,석상호,23롯, 0.50 , 5 , 5.1 , 3 , 6 , 0.50 , 59.1 , 38.5 , 61.5 , .308 , .000 , .500 , 2 , 33.3 , 0 , 0.0 , 1 , 1 , 0 , 0 ,  , 0 ,  
,송승기,23L, 0.50 , 1 , 1.0 , 1 , 2 , 0.50 , 80.0 , 50.0 , 50.0 , .250 , .000 , .500 , 1 , 50.0 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
,오석주,23L, 0.50 , 9 , 10.0 , 6 , 12 , 0.50 , 68.2 , 36.7 , 63.3 , .357 , .091 , .579 , 4 , 33.3 , 1 , 8.3 , 0 , 0 , 0 , 0 ,  , 1 , 0.0 
,스미스,23한, 0.50 , 1 , 2.2 , 2 , 4 , 0.50 , 75.0 , 44.4 , 55.6 , .333 , .000 , .600 , 2 , 50.0 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
,배재준,23L, 0.50 , 1 , 1.0 , 1 , 2 , 0.50 , 83.3 , 40.0 , 60.0 , .400 , .000 , .667 , 1 , 50.0 , 0 , 0.0 , 0 , 1 , 0 , 0 ,  , 0 ,  
,이원재,23두, 0.50 , 1 , 1.0 , 1 , 2 , 0.50 , 66.7 , 33.3 , 66.7 , .500 , .000 , .750 , 1 , 50.0 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
,김동규,23L키, 0.50 , 4 , 4.1 , 3 , 6 , 0.50 , 51.6 , 33.3 , 66.7 , .333 , .000 , .600 , 2 , 33.3 , 0 , 0.0 , 1 , 1 , 0 , 0 ,  , 1 , 0.0 
,최하늘,23삼, 0.50 , 3 , 6.1 , 5 , 10 , 0.50 , 72.5 , 20.7 , 79.3 , .444 , .167 , .565 , 0 , 0.0 , 1 , 7.1 , 0 , 1 , 0 , 0 ,  , 0 ,  
248,이재학,23N, 0.49 , 15 , 67.1 , 49 , 101 , 0.49 , 70.7 , 39.2 , 60.8 , .244 , .063 , .403 , 27 , 26.7 , 5 , 9.1 , 4 , 6 , 2 , 1 , .667 , 11 , 18.2 
249,박영현,23K, 0.48 , 68 , 75.1 , 43 , 89 , 0.48 , 64.0 , 43.6 , 56.4 , .309 , .071 , .518 , 36 , 40.5 , 6 , 9.5 , 2 , 4 , 1 , 2 , .333 , 4 , 25.0 
250,박승주,23키, 0.48 , 18 , 18.0 , 13 , 27 , 0.48 , 65.9 , 39.0 , 61.0 , .293 , .044 , .500 , 9 , 33.3 , 1 , 5.3 , 3 , 3 , 0 , 0 ,  , 0 ,  
251,주현상,23한, 0.48 , 55 , 59.2 , 40 , 84 , 0.48 , 70.2 , 43.4 , 56.6 , .209 , .015 , .378 , 28 , 33.3 , 1 , 2.9 , 1 , 6 , 0 , 1 , .000 , 4 , 0.0 
