순,이름,팀/포지션,정렬용,출장,이닝,땅볼,뜬공,GO/FO,InP%,타구내야%,타구외야%,BABIP,내야타율,외야타율,내야뜬공N,내야뜬공%,내야안타N,내야안타%,실책출루,포스O출루,번트안타,번트아웃,번트타율,번트시도,번트%
24,이상규,23L, 1.67 , 8 , 7.2 , 10 , 6 , 1.67 , 67.7 , 60.9 , 39.1 , .304 , .143 , .556 , 2 , 33.3 , 2 , 28.6 , 1 , 1 , 0 , 1 , .000 , 1 , 0.0 
,김태오,23K, 1.67 , 5 , 7.1 , 10 , 6 , 1.67 , 80.0 , 46.2 , 53.9 , .357 , .000 , .714 , 2 , 33.3 , 0 , 0.0 , 1 , 0 , 0 , 0 ,  , 0 ,  
26,메디나,23K, 1.63 , 12 , 58.0 , 78 , 48 , 1.63 , 71.4 , 50.0 , 50.0 , .312 , .042 , .632 , 13 , 27.1 , 4 , 6.3 , 2 , 5 , 1 , 2 , .333 , 5 , 20.0 
27,뷰캐넌,23삼, 1.62 , 30 , 188.0 , 253 , 156 , 1.62 , 75.0 , 55.2 , 44.9 , .291 , .053 , .602 , 52 , 33.3 , 17 , 9.8 , 13 , 28 , 3 , 5 , .375 , 24 , 12.5 
28,류진욱,23N, 1.60 , 70 , 67.0 , 77 , 48 , 1.60 , 63.1 , 61.5 , 38.6 , .238 , .069 , .531 , 18 , 37.5 , 7 , 17.1 , 5 , 8 , 1 , 1 , .500 , 4 , 25.0 
29,윤명준,23롯, 1.60 , 21 , 19.1 , 24 , 15 , 1.60 , 72.5 , 44.3 , 55.7 , .403 , .097 , .718 , 4 , 26.7 , 3 , 9.7 , 0 , 1 , 0 , 1 , .000 , 2 , 0.0 
30,이선우,23K, 1.59 , 22 , 37.1 , 51 , 32 , 1.59 , 78.1 , 47.7 , 52.3 , .331 , .048 , .647 , 8 , 25.0 , 3 , 6.4 , 2 , 7 , 0 , 1 , .000 , 3 , 0.0 
31,요키시,23키, 1.59 , 12 , 65.2 , 81 , 51 , 1.59 , 75.9 , 52.3 , 47.7 , .369 , .098 , .696 , 20 , 39.2 , 11 , 13.4 , 6 , 16 , 1 , 3 , .250 , 13 , 7.7 
32,양현,23키, 1.58 , 54 , 57.0 , 82 , 52 , 1.58 , 84.7 , 51.6 , 48.4 , .359 , .098 , .686 , 19 , 36.5 , 11 , 13.3 , 6 , 10 , 2 , 1 , .667 , 6 , 33.3 
33,윤중현,23K, 1.56 , 31 , 28.0 , 39 , 25 , 1.56 , 81.7 , 48.4 , 51.6 , .294 , .022 , .583 , 5 , 20.0 , 1 , 3.5 , 2 , 1 , 0 , 0 ,  , 1 , 0.0 
34,이우찬,23L, 1.56 , 38 , 38.1 , 42 , 27 , 1.56 , 67.5 , 53.9 , 46.2 , .324 , .089 , .625 , 9 , 33.3 , 5 , 14.3 , 2 , 1 , 2 , 3 , .400 , 7 , 28.6 
,손주영,23L, 1.56 , 3 , 8.2 , 14 , 9 , 1.56 , 76.1 , 62.9 , 37.1 , .343 , .091 , .769 , 6 , 66.7 , 2 , 16.7 , 3 , 4 , 1 , 1 , .500 , 2 , 50.0 
,강효종,23L, 1.56 , 7 , 21.2 , 28 , 18 , 1.56 , 69.9 , 42.9 , 57.1 , .338 , .033 , .600 , 2 , 11.1 , 1 , 4.0 , 2 , 7 , 0 , 0 ,  , 2 , 0.0 
37,김영규,23N, 1.54 , 63 , 61.2 , 77 , 50 , 1.54 , 70.0 , 55.8 , 44.2 , .252 , .073 , .500 , 12 , 24.0 , 7 , 15.6 , 0 , 4 , 2 , 4 , .333 , 14 , 14.3 
38,임정호,23N, 1.51 , 65 , 50.0 , 56 , 37 , 1.51 , 66.7 , 52.1 , 47.9 , .340 , .107 , .623 , 11 , 29.7 , 8 , 15.7 , 6 , 7 , 2 , 3 , .400 , 8 , 25.0 
39,고영표,23K, 1.51 , 28 , 174.2 , 228 , 151 , 1.51 , 79.6 , 53.3 , 46.7 , .314 , .074 , .609 , 49 , 32.5 , 22 , 12.2 , 6 , 19 , 1 , 2 , .333 , 14 , 7.1 
40,백승우,23두, 1.50 , 6 , 4.0 , 6 , 4 , 1.50 , 72.2 , 53.9 , 46.2 , .231 , .000 , .500 , 1 , 25.0 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
,한재승,23N, 1.50 , 11 , 9.2 , 12 , 8 , 1.50 , 65.9 , 55.2 , 44.8 , .259 , .063 , .615 , 3 , 37.5 , 1 , 11.1 , 2 , 0 , 0 , 0 ,  , 0 ,  
,홍성민,23키, 1.50 , 2 , 2.0 , 3 , 2 , 1.50 , 83.3 , 40.0 , 60.0 , .444 , .000 , .833 , 1 , 50.0 , 0 , 0.0 , 0 , 1 , 0 , 0 ,  , 1 , 0.0 
,송영진,23S, 1.50 , 17 , 47.1 , 57 , 38 , 1.50 , 65.9 , 51.8 , 48.2 , .303 , .082 , .588 , 10 , 26.3 , 6 , 13.0 , 5 , 9 , 0 , 0 ,  , 2 , 0.0 
44,장원준,23두, 1.49 , 11 , 41.0 , 52 , 35 , 1.49 , 77.1 , 51.8 , 48.2 , .358 , .083 , .702 , 15 , 42.9 , 6 , 11.3 , 2 , 8 , 2 , 0 , 1.000 , 4 , 50.0 
45,김시훈,23N, 1.48 , 61 , 52.2 , 59 , 40 , 1.48 , 64.1 , 45.5 , 54.5 , .351 , .028 , .647 , 10 , 25.0 , 2 , 3.5 , 3 , 6 , 0 , 1 , .000 , 2 , 0.0 
46,김대유,23K, 1.47 , 41 , 24.2 , 28 , 19 , 1.47 , 67.3 , 49.3 , 50.7 , .333 , .056 , .649 , 6 , 31.6 , 2 , 7.7 , 1 , 3 , 1 , 0 , 1.000 , 2 , 50.0 
47,박세진,23K, 1.46 , 16 , 11.2 , 16 , 11 , 1.46 , 63.6 , 54.8 , 45.2 , .342 , .130 , .632 , 4 , 36.4 , 3 , 20.0 , 3 , 5 , 0 , 1 , .000 , 2 , 0.0 
48,최영환,23롯, 1.44 , 8 , 10.0 , 13 , 9 , 1.44 , 70.4 , 51.4 , 48.7 , .395 , .053 , .778 , 5 , 55.6 , 1 , 6.7 , 3 , 5 , 0 , 2 , .000 , 4 , 0.0 
49,브랜든,23두, 1.44 , 18 , 104.2 , 115 , 80 , 1.44 , 64.9 , 57.1 , 42.9 , .278 , .070 , .585 , 31 , 38.8 , 11 , 13.8 , 3 , 7 , 0 , 1 , .000 , 7 , 0.0 
50,문승원,23S, 1.41 , 50 , 105.0 , 134 , 95 , 1.41 , 77.0 , 48.5 , 51.5 , .353 , .090 , .646 , 28 , 29.5 , 16 , 11.6 , 8 , 13 , 2 , 1 , .667 , 7 , 28.6 
51,강건,23K, 1.40 , 4 , 6.2 , 7 , 5 , 1.40 , 57.1 , 43.8 , 56.3 , .250 , .000 , .444 , 0 , 0.0 , 0 , 0.0 , 1 , 0 , 0 , 0 ,  , 0 ,  
52,이재희,23삼, 1.38 , 2 , 8.0 , 11 , 8 , 1.38 , 69.7 , 52.2 , 47.8 , .136 , .000 , .364 , 1 , 12.5 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
53,박상원,23한, 1.37 , 55 , 61.2 , 67 , 49 , 1.37 , 66.1 , 51.4 , 48.6 , .337 , .087 , .632 , 17 , 34.7 , 8 , 12.7 , 5 , 11 , 0 , 1 , .000 , 7 , 0.0 
54,소형준,23K, 1.36 , 3 , 11.0 , 15 , 11 , 1.36 , 81.4 , 39.6 , 60.4 , .447 , .105 , .690 , 2 , 18.2 , 2 , 9.1 , 2 , 4 , 0 , 0 ,  , 1 , 0.0 
55,수아레즈,23삼, 1.34 , 19 , 108.0 , 123 , 92 , 1.34 , 73.3 , 49.4 , 50.6 , .362 , .065 , .678 , 36 , 39.1 , 11 , 8.5 , 10 , 19 , 2 , 2 , .500 , 8 , 25.0 
56,백승현,23L, 1.33 , 42 , 40.0 , 48 , 36 , 1.33 , 69.1 , 58.9 , 41.1 , .236 , .030 , .565 , 16 , 44.4 , 2 , 7.1 , 3 , 7 , 0 , 3 , .000 , 3 , 0.0 
57,박세웅,23롯, 1.33 , 27 , 154.0 , 177 , 133 , 1.33 , 69.9 , 52.3 , 47.7 , .304 , .071 , .590 , 44 , 33.1 , 17 , 11.7 , 9 , 18 , 2 , 2 , .500 , 15 , 13.3 
58,정성종,23롯, 1.29 , 12 , 22.0 , 27 , 21 , 1.29 , 70.4 , 53.6 , 46.4 , .294 , .054 , .594 , 8 , 38.1 , 2 , 9.5 , 0 , 1 , 0 , 0 ,  , 1 , 0.0 
59,최민준,23S, 1.28 , 53 , 60.0 , 69 , 54 , 1.28 , 76.3 , 45.0 , 55.1 , .352 , .056 , .642 , 15 , 27.8 , 5 , 6.7 , 2 , 6 , 0 , 2 , .000 , 4 , 0.0 
60,구창모,23N, 1.27 , 11 , 51.2 , 52 , 41 , 1.27 , 64.9 , 55.0 , 45.0 , .264 , .056 , .576 , 16 , 39.0 , 4 , 10.5 , 5 , 5 , 1 , 0 , 1.000 , 3 , 33.3 
61,산체스,23한, 1.27 , 24 , 126.0 , 147 , 116 , 1.27 , 74.4 , 51.6 , 48.4 , .316 , .078 , .622 , 43 , 37.1 , 16 , 11.8 , 7 , 11 , 2 , 5 , .286 , 17 , 11.8 
62,송윤준,23한, 1.25 , 4 , 4.1 , 5 , 4 , 1.25 , 73.7 , 46.2 , 53.9 , .286 , .000 , .571 , 1 , 25.0 , 0 , 0.0 , 0 , 0 , 0 , 1 , .000 , 1 , 0.0 
,최충연,23삼, 1.25 , 7 , 9.1 , 10 , 8 , 1.25 , 59.6 , 46.4 , 53.6 , .280 , .000 , .667 , 3 , 37.5 , 0 , 0.0 , 1 , 4 , 0 , 0 ,  , 0 ,  
,박윤철,23한, 1.25 , 3 , 3.1 , 5 , 4 , 1.25 , 70.0 , 50.0 , 50.0 , .250 , .000 , .714 , 2 , 50.0 , 0 , 0.0 , 0 , 1 , 0 , 0 ,  , 0 ,  
,김재영,23한, 1.25 , 6 , 8.0 , 10 , 8 , 1.25 , 77.5 , 38.7 , 61.3 , .379 , .000 , .684 , 2 , 25.0 , 0 , 0.0 , 0 , 1 , 0 , 0 ,  , 1 , 0.0 
66,후라도,23키, 1.24 , 30 , 183.2 , 216 , 174 , 1.24 , 73.7 , 52.7 , 47.3 , .283 , .058 , .561 , 59 , 33.9 , 17 , 10.4 , 15 , 26 , 4 , 5 , .444 , 21 , 19.1 
67,김강률,23두, 1.24 , 32 , 25.2 , 31 , 25 , 1.24 , 68.7 , 47.4 , 52.6 , .273 , .054 , .512 , 5 , 20.0 , 2 , 8.7 , 2 , 5 , 0 , 1 , .000 , 1 , 0.0 
68,이용준,23N, 1.24 , 24 , 67.0 , 78 , 63 , 1.24 , 67.8 , 50.3 , 49.8 , .274 , .059 , .540 , 17 , 27.0 , 6 , 10.0 , 7 , 10 , 1 , 1 , .500 , 9 , 11.1 
69,문동주,23한, 1.24 , 23 , 118.2 , 136 , 110 , 1.24 , 71.6 , 51.0 , 49.0 , .302 , .060 , .580 , 36 , 32.7 , 11 , 9.7 , 2 , 12 , 1 , 0 , 1.000 , 8 , 12.5 
70,장시환,23한, 1.23 , 39 , 34.2 , 37 , 30 , 1.23 , 66.0 , 44.4 , 55.6 , .310 , .068 , .527 , 4 , 13.3 , 3 , 9.4 , 1 , 5 , 0 , 1 , .000 , 4 , 0.0 
71,김유신,23K, 1.23 , 27 , 30.1 , 38 , 31 , 1.23 , 75.2 , 50.5 , 49.5 , .308 , .077 , .588 , 10 , 32.3 , 4 , 11.8 , 1 , 1 , 1 , 0 , 1.000 , 2 , 50.0 
72,진해수,23L, 1.21 , 19 , 14.2 , 17 , 14 , 1.21 , 69.4 , 44.9 , 55.1 , .333 , .091 , .593 , 3 , 21.4 , 2 , 11.1 , 1 , 6 , 1 , 1 , .500 , 2 , 50.0 
73,고우석,23L, 1.20 , 44 , 44.0 , 36 , 30 , 1.20 , 54.2 , 43.7 , 56.3 , .356 , .067 , .603 , 7 , 23.3 , 3 , 7.9 , 1 , 4 , 0 , 2 , .000 , 5 , 0.0 
