순,이름,팀/포지션,정렬용,출장,이닝,선발RAA,구원RAA,종합RAA,대체RUN선발,대체RUN구원,대체RUN종합,선발RAR,구원RAR,종합RAR,선발WAA,구원WAA,종합WAA,선발WAR,구원WAR,종합WAR,fWAR,RA9-WAR
23,류진욱,23N, 2.62 , 70 , 67.0 ,  , 16.53 , 16.53 , 0.00 , 8.57 , 11.98 ,  , 30.45 , 30.45 , 0.00 , 1.72 , 1.72 , 0.00 , 2.62 , 2.62 , 2.62 , 2.62 
24,주현상,23한, 2.58 , 55 , 59.2 ,  , 19.17 , 19.17 , 0.00 , 7.56 , 9.25 ,  , 27.99 , 27.99 , 0.00 , 1.79 , 1.79 , 0.00 , 2.58 , 2.58 , 2.58 , 2.58 
25,문동주,23한, 2.51 , 23 , 118.2 , 9.99 ,  , 9.99 , 14.94 , 0.00 , 18.67 , 28.66 ,  , 28.66 , 0.93 ,  , 0.93 , 2.51 ,  , 2.51 , 2.51 , 2.51 
26,엄상백,23K, 2.45 , 20 , 111.2 , 9.59 , 0.69 , 10.28 , 13.81 , 0.16 , 17.42 , 26.85 , 0.70 , 27.55 , 0.90 , 0.05 , 0.96 , 2.37 , 0.07 , 2.45 , 2.45 , 2.45 
27,벤자민,23K, 2.39 , 29 , 160.0 , 4.07 ,  , 4.07 , 20.62 , 0.00 , 25.78 , 29.85 ,  , 29.85 , 0.25 ,  , 0.25 , 2.39 ,  , 2.39 , 2.39 , 2.39 
28,임찬규,23L, 2.37 , 30 , 144.2 , 7.05 , -1.03 , 6.02 , 17.43 , 1.06 , 23.40 , 28.84 , 0.36 , 29.20 , 0.59 , -0.15 , 0.44 , 2.41 , -0.04 , 2.37 , 2.37 , 2.37 
29,노경은,23S, 2.35 , 76 , 83.0 ,  , 10.41 , 10.41 , 0.00 , 10.70 , 18.58 ,  , 33.04 , 33.04 , 0.00 , 1.24 , 1.24 , 0.00 , 2.35 , 2.35 , 2.35 , 2.35 
30,맥카티,23S, 2.31 , 24 , 130.0 , 6.85 ,  , 6.85 , 16.56 , 0.00 , 20.70 , 27.56 ,  , 27.56 , 0.58 ,  , 0.58 , 2.31 ,  , 2.31 , 2.31 , 2.31 
31,백정현,23삼, 2.22 , 18 , 100.2 , 9.23 ,  , 9.23 , 12.59 , 0.00 , 15.74 , 24.97 ,  , 24.97 , 0.88 ,  , 0.88 , 2.22 ,  , 2.22 , 2.22 , 2.22 
32,임기영,23K, 2.19 , 64 , 82.0 ,  , 12.68 , 12.68 , 0.00 , 10.52 , 13.44 ,  , 26.41 , 26.41 , 0.00 , 1.10 , 1.10 , 0.00 , 2.19 , 2.19 , 2.19 , 2.19 
