순,이름,팀/포지션,정렬용,출장,이닝,선발RAA,구원RAA,종합RAA,대체RUN선발,대체RUN구원,대체RUN종합,선발RAR,구원RAR,종합RAR,선발WAA,구원WAA,종합WAA,선발WAR,구원WAR,종합WAR,fWAR,RA9-WAR
110,이민우,23한, 0.26 , 17 , 13.2 ,  , 1.17 , 1.17 , 0.00 , 1.77 , 2.18 ,  , 3.33 , 3.33 , 0.00 , 0.08 , 0.08 , 0.00 , 0.26 , 0.26 , 0.26 , 0.26 
111,문승원,23S, 0.24 , 50 , 105.0 , -13.32 , 2.36 , -10.96 , 8.95 , 5.40 , 19.05 , -2.13 , 10.60 , 8.48 , -1.32 , 0.16 , -1.16 , -0.47 , 0.71 , 0.24 , 0.24 , 0.24 
112,석상호,23롯, 0.24 , 5 , 5.1 ,  , 3.01 , 3.01 , 0.00 , 0.66 , 0.47 ,  , 2.20 , 2.20 , 0.00 , 0.17 , 0.17 , 0.00 , 0.24 , 0.24 , 0.24 , 0.24 
113,강건,23K, 0.24 , 4 , 6.2 ,  , 2.19 , 2.19 , 0.00 , 0.83 , 0.75 ,  , 2.35 , 2.35 , 0.00 , 0.15 , 0.15 , 0.00 , 0.24 , 0.24 , 0.24 , 0.24 
114,정우람,23한, 0.24 , 52 , 40.1 ,  , -1.81 , -1.81 , 0.00 , 5.27 , 6.38 ,  , 4.63 , 4.63 , 0.00 , -0.30 , -0.30 , 0.00 , 0.24 , 0.24 , 0.24 , 0.24 
115,이용준,23N, 0.23 , 24 , 67.0 , -4.73 , -1.13 , -5.86 , 6.67 , 2.28 , 10.55 , 3.61 , 1.33 , 4.94 , -0.52 , -0.14 , -0.66 , 0.14 , 0.09 , 0.23 , 0.23 , 0.23 
116,김강률,23두, 0.23 , 32 , 25.2 ,  , -0.35 , -0.35 , 0.00 , 3.35 , 4.15 ,  , 3.80 , 3.80 , 0.00 , -0.11 , -0.11 , 0.00 , 0.23 , 0.23 , 0.23 , 0.23 
117,박정수,23두, 0.23 , 25 , 36.2 ,  , -2.27 , -2.27 , 0.00 , 4.81 , 3.95 ,  , 2.46 , 2.46 , 0.00 , -0.26 , -0.26 , 0.00 , 0.23 , 0.23 , 0.23 , 0.23 
118,이상규,23L, 0.23 , 8 , 7.2 ,  , 2.13 , 2.13 , 0.00 , 0.98 , 0.82 ,  , 2.25 , 2.25 , 0.00 , 0.13 , 0.13 , 0.00 , 0.23 , 0.23 , 0.23 , 0.23 
119,문용익,23삼, 0.23 , 14 , 13.0 ,  , 1.34 , 1.34 , 0.00 , 1.68 , 1.41 ,  , 2.31 , 2.31 , 0.00 , 0.05 , 0.05 , 0.00 , 0.23 , 0.23 , 0.23 , 0.23 
120,백승우,23두, 0.21 , 6 , 4.0 ,  , 2.04 , 2.04 , 0.00 , 0.51 , 0.49 ,  , 2.06 , 2.06 , 0.00 , 0.15 , 0.15 , 0.00 , 0.21 , 0.21 , 0.21 , 0.21 
121,박준표,23K, 0.18 , 33 , 28.0 ,  , -1.39 , -1.39 , 0.00 , 3.66 , 3.68 ,  , 2.57 , 2.57 , 0.00 , -0.20 , -0.20 , 0.00 , 0.18 , 0.18 , 0.18 , 0.18 
122,윤정현,23키, 0.16 , 5 , 6.0 ,  , 1.63 , 1.63 , 0.00 , 0.76 , 0.56 ,  , 1.51 , 1.51 , 0.00 , 0.08 , 0.08 , 0.00 , 0.16 , 0.16 , 0.16 , 0.16 
123,이명종,23키, 0.16 , 45 , 57.0 , -2.22 , -2.40 , -4.61 , 1.08 , 6.46 , 9.18 , -0.86 , 5.51 , 4.64 , -0.22 , -0.38 , -0.60 , -0.11 , 0.27 , 0.16 , 0.16 , 0.16 
124,이진하,23롯, 0.16 , 9 , 8.0 ,  , 1.25 , 1.25 , 0.00 , 1.03 , 0.76 ,  , 1.50 , 1.50 , 0.00 , 0.05 , 0.05 , 0.00 , 0.16 , 0.16 , 0.16 , 0.16 
125,김승현,23K, 0.16 , 10 , 12.2 ,  , 0.44 , 0.44 , 0.00 , 1.64 , 1.14 ,  , 1.38 , 1.38 , 0.00 , -0.01 , -0.01 , 0.00 , 0.16 , 0.16 , 0.16 , 0.16 
126,이병헌,23두, 0.16 , 36 , 27.0 ,  , -1.45 , -1.45 , 0.00 , 3.53 , 3.68 ,  , 2.47 , 2.47 , 0.00 , -0.20 , -0.20 , 0.00 , 0.16 , 0.16 , 0.16 , 0.16 
127,전용주,23K, 0.15 , 15 , 10.1 ,  , 0.55 , 0.55 , 0.00 , 1.34 , 1.20 ,  , 1.59 , 1.59 , 0.00 , 0.01 , 0.01 , 0.00 , 0.15 , 0.15 , 0.15 , 0.15 
128,백승건,23S, 0.14 , 25 , 38.0 , -1.38 , -1.32 , -2.70 , 0.91 , 4.10 , 6.21 , -0.24 , 3.76 , 3.52 , -0.14 , -0.23 , -0.37 , -0.05 , 0.19 , 0.14 , 0.14 , 0.14 
129,이재희,23삼, 0.14 , 2 , 8.0 , -1.24 , 1.79 , 0.55 , 0.57 , 0.45 , 1.14 , -0.53 , 1.80 , 1.27 , -0.12 , 0.15 , 0.03 , -0.07 , 0.20 , 0.14 , 0.14 , 0.14 
130,전사민,23N, 0.14 , 9 , 17.0 ,  , -0.37 , -0.37 , 0.00 , 2.22 , 2.95 ,  , 2.55 , 2.55 , 0.00 , -0.09 , -0.09 , 0.00 , 0.14 , 0.14 , 0.14 , 0.14 
131,문성현,23키, 0.13 , 32 , 28.1 ,  , -1.29 , -1.29 , 0.00 , 3.70 , 5.60 ,  , 4.04 , 4.04 , 0.00 , -0.24 , -0.24 , 0.00 , 0.13 , 0.13 , 0.13 , 0.13 
132,김태현,23N, 0.13 , 16 , 20.1 ,  , -1.36 , -1.36 , 0.00 , 2.67 , 1.87 ,  , 1.11 , 1.11 , 0.00 , -0.14 , -0.14 , 0.00 , 0.13 , 0.13 , 0.13 , 0.13 
133,진해수,23L, 0.13 , 19 , 14.2 ,  , -0.22 , -0.22 , 0.00 , 1.91 , 2.07 ,  , 1.88 , 1.88 , 0.00 , -0.06 , -0.06 , 0.00 , 0.13 , 0.13 , 0.13 , 0.13 
134,이선우,23K, 0.13 , 22 , 37.1 , -8.49 , 7.34 , -1.15 , 2.27 , 2.82 , 4.95 , -5.66 , 6.51 , 0.86 , -0.76 , 0.40 , -0.37 , -0.56 , 0.69 , 0.13 , 0.13 , 0.13 
135,김창훈,23롯, 0.12 , 3 , 4.1 ,  , 1.22 , 1.22 , 0.00 , 0.55 , 0.41 ,  , 1.16 , 1.16 , 0.00 , 0.07 , 0.07 , 0.00 , 0.12 , 0.12 , 0.12 , 0.12 
136,이승현,23삼, 0.12 , 48 , 43.1 ,  , -2.51 , -2.51 , 0.00 , 5.67 , 9.03 ,  , 5.83 , 5.83 , 0.00 , -0.46 , -0.46 , 0.00 , 0.12 , 0.12 , 0.12 , 0.12 
137,한재승,23N, 0.10 , 11 , 9.2 ,  , 0.07 , 0.07 , 0.00 , 1.26 , 1.07 ,  , 1.11 , 1.11 , 0.00 , -0.02 , -0.02 , 0.00 , 0.10 , 0.10 , 0.10 , 0.10 
138,최지광,23삼, 0.10 , 22 , 17.1 ,  , -0.89 , -0.89 , 0.00 , 2.27 , 2.44 ,  , 1.67 , 1.67 , 0.00 , -0.13 , -0.13 , 0.00 , 0.10 , 0.10 , 0.10 , 0.10 
139,송은범,23L, 0.10 , 4 , 3.2 ,  , 0.86 , 0.86 , 0.00 , 0.47 , 0.41 ,  , 1.01 , 1.01 , 0.00 , 0.05 , 0.05 , 0.00 , 0.10 , 0.10 , 0.10 , 0.10 
140,이상영,23L, 0.10 , 6 , 11.0 , -2.47 , 2.91 , 0.44 , 0.76 , 0.70 , 1.52 , -1.52 , 2.47 , 0.95 , -0.24 , 0.19 , -0.05 , -0.16 , 0.26 , 0.10 , 0.10 , 0.10 
141,김유신,23K, 0.10 , 27 , 30.1 ,  , -2.82 , -2.82 , 0.00 , 3.98 , 3.78 ,  , 1.64 , 1.64 , 0.00 , -0.31 , -0.31 , 0.00 , 0.10 , 0.10 , 0.10 , 0.10 
142,김대유,23K, 0.10 , 41 , 24.2 ,  , -1.74 , -1.74 , 0.00 , 3.22 , 3.62 ,  , 2.06 , 2.06 , 0.00 , -0.23 , -0.23 , 0.00 , 0.10 , 0.10 , 0.10 , 0.10 
143,박승주,23키, 0.09 , 18 , 18.0 ,  , -1.07 , -1.07 , 0.00 , 2.36 , 2.50 ,  , 1.60 , 1.60 , 0.00 , -0.15 , -0.15 , 0.00 , 0.09 , 0.09 , 0.09 , 0.09 
144,이민석,23롯, 0.09 , 1 , 1.1 ,  , 0.62 , 0.62 , 0.00 , 0.17 , 0.25 ,  , 0.99 , 0.99 , 0.00 , 0.08 , 0.08 , 0.00 , 0.09 , 0.09 , 0.09 , 0.09 
145,최지강,23두, 0.09 , 25 , 22.0 ,  , -1.60 , -1.60 , 0.00 , 2.88 , 3.02 ,  , 1.68 , 1.68 , 0.00 , -0.20 , -0.20 , 0.00 , 0.09 , 0.09 , 0.09 , 0.09 
146,윤호솔,23L, 0.08 , 4 , 3.2 ,  , 0.78 , 0.78 , 0.00 , 0.47 , 0.34 ,  , 0.79 , 0.79 , 0.00 , 0.04 , 0.04 , 0.00 , 0.08 , 0.08 , 0.08 , 0.08 
147,박신지,23두, 0.08 , 15 , 26.0 , -1.01 , -1.34 , -2.34 , 0.28 , 3.15 , 3.11 , -0.66 , 1.82 , 1.17 , -0.10 , -0.17 , -0.26 , -0.07 , 0.15 , 0.08 , 0.08 , 0.08 
148,홍원표,23삼, 0.08 , 3 , 3.2 ,  , 0.77 , 0.77 , 0.00 , 0.47 , 0.32 ,  , 0.74 , 0.74 , 0.00 , 0.03 , 0.03 , 0.00 , 0.08 , 0.08 , 0.08 , 0.08 
149,김정운,23K, 0.08 , 5 , 7.0 ,  , 0.06 , 0.06 , 0.00 , 0.91 , 0.60 ,  , 0.63 , 0.63 , 0.00 , -0.02 , -0.02 , 0.00 , 0.08 , 0.08 , 0.08 , 0.08 
150,이승호,23키, 0.08 , 4 , 5.0 , -1.67 , 1.24 , -0.43 , 0.39 , 0.29 , 0.97 , -1.18 , 2.09 , 0.90 , -0.15 , 0.16 , 0.01 , -0.12 , 0.19 , 0.08 , 0.08 , 0.08 
151,임정호,23N, 0.08 , 65 , 50.0 ,  , -4.01 , -4.01 , 0.00 , 6.55 , 8.87 ,  , 4.52 , 4.52 , 0.00 , -0.59 , -0.59 , 0.00 , 0.08 , 0.08 , 0.08 , 0.08 
152,김강현,23롯, 0.05 , 2 , 3.0 ,  , 0.34 , 0.34 , 0.00 , 0.39 , 0.28 ,  , 0.48 , 0.48 , 0.00 , 0.01 , 0.01 , 0.00 , 0.05 , 0.05 , 0.05 , 0.05 
153,서동민,23S, 0.05 , 2 , 1.0 ,  , 0.64 , 0.64 , 0.00 , 0.13 , 0.09 ,  , 0.48 , 0.48 , 0.00 , 0.04 , 0.04 , 0.00 , 0.05 , 0.05 , 0.05 , 0.05 
154,김시훈,23N, 0.05 , 61 , 52.2 ,  , -4.36 , -4.36 , 0.00 , 6.90 , 9.71 ,  , 4.81 , 4.81 , 0.00 , -0.66 , -0.66 , 0.00 , 0.05 , 0.05 , 0.05 , 0.05 
155,박영완,23롯, 0.05 , 1 , 1.0 ,  , 0.54 , 0.54 , 0.00 , 0.12 , 0.10 ,  , 0.43 , 0.43 , 0.00 , 0.03 , 0.03 , 0.00 , 0.05 , 0.05 , 0.05 , 0.05 
156,하준수,23N, 0.04 , 1 , 1.0 ,  , 0.64 , 0.64 , 0.00 , 0.12 , 0.08 ,  , 0.40 , 0.40 , 0.00 , 0.03 , 0.03 , 0.00 , 0.04 , 0.04 , 0.04 , 0.04 
157,하준호,23K, 0.04 , 12 , 13.0 ,  , -1.30 , -1.30 , 0.00 , 1.71 , 1.55 ,  , 0.61 , 0.61 , 0.00 , -0.13 , -0.13 , 0.00 , 0.04 , 0.04 , 0.04 , 0.04 
158,송승기,23L, 0.04 , 1 , 1.0 ,  , 0.54 , 0.54 , 0.00 , 0.12 , 0.08 ,  , 0.35 , 0.35 , 0.00 , 0.03 , 0.03 , 0.00 , 0.04 , 0.04 , 0.04 , 0.04 
159,김태욱,23롯, 0.04 , 1 , 1.0 ,  , 0.52 , 0.52 , 0.00 , 0.12 , 0.08 ,  , 0.34 , 0.34 , 0.00 , 0.02 , 0.02 , 0.00 , 0.04 , 0.04 , 0.04 , 0.04 
160,유승철,23K, 0.03 , 1 , 1.0 ,  , 0.43 , 0.43 , 0.00 , 0.13 , 0.08 ,  , 0.30 , 0.30 , 0.00 , 0.02 , 0.02 , 0.00 , 0.03 , 0.03 , 0.03 , 0.03 
161,류원석,23한, 0.03 , 1 , 2.0 ,  , 0.09 , 0.09 , 0.00 , 0.26 , 0.16 ,  , 0.21 , 0.21 , 0.00 , -0.00 , -0.00 , 0.00 , 0.03 , 0.03 , 0.03 , 0.03 
162,심창민,23N, 0.02 , 5 , 3.1 ,  , -0.15 , -0.15 , 0.00 , 0.44 , 0.45 ,  , 0.33 , 0.33 , 0.00 , -0.02 , -0.02 , 0.00 , 0.02 , 0.02 , 0.02 , 0.02 
163,이우석,23N, 0.02 , 1 , 0.2 ,  , 0.28 , 0.28 , 0.00 , 0.08 , 0.05 ,  , 0.19 , 0.19 , 0.00 , 0.01 , 0.01 , 0.00 , 0.02 , 0.02 , 0.02 , 0.02 
164,조현우,23K, 0.02 , 5 , 3.0 ,  , -0.19 , -0.19 , 0.00 , 0.39 , 0.27 ,  , 0.16 , 0.16 , 0.00 , -0.02 , -0.02 , 0.00 , 0.02 , 0.02 , 0.02 , 0.02 
165,박세진,23K, 0.02 , 16 , 11.2 ,  , -1.40 , -1.40 , 0.00 , 1.53 , 1.38 ,  , 0.37 , 0.37 , 0.00 , -0.14 , -0.14 , 0.00 , 0.02 , 0.02 , 0.02 , 0.02 
166,오석주,23L, 0.01 , 9 , 10.0 ,  , -1.69 , -1.69 , 0.00 , 1.32 , 0.95 ,  , -0.02 , -0.02 , 0.00 , -0.13 , -0.13 , 0.00 , 0.01 , 0.01 , 0.01 , 0.01 
167,김민규,23두, 0.00 , 6 , 8.1 , -0.77 , -0.24 , -1.01 , 0.37 , 0.74 , 1.06 , -0.31 , 0.44 , 0.13 , -0.08 , -0.03 , -0.11 , -0.04 , 0.04 , 0.00 , 0.00 , 0.00 
168,손주영,23L, 0.00 , 3 , 8.2 , 0.36 , -2.99 , -2.63 , 0.86 , 0.32 , 1.29 , 1.43 , -1.46 , -0.02 , 0.03 , -0.15 , -0.11 , 0.12 , -0.12 , 0.00 , 0.00 , 0.00 
169,김주한,23S, 0.00 , 1 , 0.0 ,  ,  , 0.00 , 0.00 , 0.00 , 0.00 ,  ,  , 0.00 , 0.00 ,  , 0.00 , 0.00 ,  , 0.00 , 0.00 , 0.00 
170,고봉재,23두, -0.01 , 10 , 11.1 ,  , -2.07 , -2.07 , 0.00 , 1.50 , 1.10 ,  , -0.12 , -0.12 , 0.00 , -0.16 , -0.16 , 0.00 , -0.01 , -0.01 , -0.01 , -0.01 
171,김영현,23K, -0.01 , 31 , 33.0 ,  , -4.66 , -4.66 , 0.00 , 4.35 , 4.06 ,  , 0.58 , 0.58 , 0.00 , -0.45 , -0.45 , 0.00 , -0.01 , -0.01 , -0.01 , -0.01 
172,홍성민,23키, -0.01 , 2 , 2.0 ,  , -0.63 , -0.63 , 0.00 , 0.27 , 0.17 ,  , -0.16 , -0.16 , 0.00 , -0.04 , -0.04 , 0.00 , -0.01 , -0.01 , -0.01 , -0.01 
173,한두솔,23S, -0.01 , 1 , 1.0 ,  , -0.43 , -0.43 , 0.00 , 0.13 , 0.09 ,  , -0.14 , -0.14 , 0.00 , -0.03 , -0.03 , 0.00 , -0.01 , -0.01 , -0.01 , -0.01 
174,박권후,23삼, -0.01 , 4 , 2.2 ,  , -0.71 , -0.71 , 0.00 , 0.35 , 0.25 ,  , -0.15 , -0.15 , 0.00 , -0.05 , -0.05 , 0.00 , -0.01 , -0.01 , -0.01 , -0.01 
175,성동현,23L, -0.01 , 1 , 1.0 ,  , -0.50 , -0.50 , 0.00 , 0.14 , 0.09 ,  , -0.17 , -0.17 , 0.00 , -0.03 , -0.03 , 0.00 , -0.01 , -0.01 , -0.01 , -0.01 
176,이기순,23S, -0.02 , 2 , 3.0 ,  , -1.04 , -1.04 , 0.00 , 0.41 , 0.26 ,  , -0.27 , -0.27 , 0.00 , -0.06 , -0.06 , 0.00 , -0.02 , -0.02 , -0.02 , -0.02 
177,채지선,23LN, -0.02 , 3 , 3.1 ,  , -1.10 , -1.10 , 0.00 , 0.45 , 0.29 ,  , -0.28 , -0.28 , 0.00 , -0.07 , -0.07 , 0.00 , -0.02 , -0.02 , -0.02 , -0.02 
178,오원석,23S, -0.03 , 28 , 144.2 , -19.95 , 0.97 , -18.98 , 19.14 , 0.68 , 24.95 , 3.98 , 2.20 , 6.17 , -2.07 , 0.11 , -1.96 , -0.21 , 0.19 , -0.03 , -0.03 , -0.03 
179,양지율,23키, -0.04 , 1 , 0.2 ,  , -0.66 , -0.66 , 0.00 , 0.09 , 0.08 ,  , -0.37 , -0.37 , 0.00 , -0.05 , -0.05 , 0.00 , -0.04 , -0.04 , -0.04 , -0.04 
180,김준형,23키, -0.04 , 8 , 7.2 ,  , -2.18 , -2.18 , 0.00 , 1.02 , 0.69 ,  , -0.48 , -0.48 , 0.00 , -0.14 , -0.14 , 0.00 , -0.04 , -0.04 , -0.04 , -0.04 
181,이로운,23S, -0.04 , 50 , 57.2 ,  , -8.17 , -8.17 , 0.00 , 7.61 , 7.37 ,  , 1.04 , 1.04 , 0.00 , -0.81 , -0.81 , 0.00 , -0.04 , -0.04 , -0.04 , -0.04 
182,장재영,23키, -0.04 , 23 , 71.2 , -9.88 , 0.76 , -9.12 , 8.80 , 0.90 , 11.77 , 1.12 , 1.27 , 2.40 , -1.03 , 0.03 , -1.00 , -0.17 , 0.13 , -0.04 , -0.04 , -0.04 
183,김영준,23L, -0.05 , 1 , 0.1 ,  , -0.84 , -0.84 , 0.00 , 0.05 , 0.04 ,  , -0.51 , -0.51 , 0.00 , -0.05 , -0.05 , 0.00 , -0.05 , -0.05 , -0.05 , -0.05 
184,임지민,23N, -0.05 , 2 , 1.1 ,  , -1.36 , -1.36 , 0.00 , 0.18 , 0.11 ,  , -0.57 , -0.57 , 0.00 , -0.07 , -0.07 , 0.00 , -0.05 , -0.05 , -0.05 , -0.05 
185,송윤준,23한, -0.05 , 4 , 4.1 ,  , -1.40 , -1.40 , 0.00 , 0.58 , 0.51 ,  , -0.48 , -0.48 , 0.00 , -0.11 , -0.11 , 0.00 , -0.05 , -0.05 , -0.05 , -0.05 
186,스미스,23한, -0.05 , 1 , 2.2 , -0.91 ,  , -0.91 , 0.37 , 0.00 , 0.46 , -0.45 ,  , -0.45 , -0.09 ,  , -0.09 , -0.05 ,  , -0.05 , -0.05 , -0.05 
187,정성종,23롯, -0.05 , 12 , 22.0 , -3.64 , 0.57 , -3.07 , 1.28 , 1.69 , 3.06 , -2.04 , 1.86 , -0.18 , -0.35 , 0.00 , -0.35 , -0.23 , 0.18 , -0.05 , -0.05 , -0.05 
188,배재준,23L, -0.06 , 1 , 1.0 ,  , -1.60 , -1.60 , 0.00 , 0.15 , 0.09 ,  , -0.72 , -0.72 , 0.00 , -0.08 , -0.08 , 0.00 , -0.06 , -0.06 , -0.06 , -0.06 
189,서상준,23S, -0.06 , 2 , 2.0 ,  , -1.73 , -1.73 , 0.00 , 0.28 , 0.18 ,  , -0.71 , -0.71 , 0.00 , -0.09 , -0.09 , 0.00 , -0.06 , -0.06 , -0.06 , -0.06 
190,윤석원,23키, -0.07 , 21 , 24.0 ,  , -4.59 , -4.59 , 0.00 , 3.18 , 2.72 ,  , -0.42 , -0.42 , 0.00 , -0.39 , -0.39 , 0.00 , -0.07 , -0.07 , -0.07 , -0.07 
191,우강훈,23롯, -0.07 , 3 , 6.0 , -3.05 , 2.01 , -1.04 , 0.48 , 0.36 , 0.84 , -2.45 , 1.31 , -1.13 , -0.26 , 0.11 , -0.15 , -0.22 , 0.15 , -0.07 , -0.07 , -0.07 
192,신헌민,23S, -0.07 , 11 , 12.0 ,  , -3.42 , -3.42 , 0.00 , 1.60 , 1.14 ,  , -0.81 , -0.81 , 0.00 , -0.23 , -0.23 , 0.00 , -0.07 , -0.07 , -0.07 , -0.07 
193,김건국,23K, -0.07 , 6 , 16.0 , -2.48 , -0.41 , -2.90 , 2.03 , 0.13 , 2.62 , 0.05 , -0.12 , -0.07 , -0.26 , -0.02 , -0.28 , -0.06 , -0.01 , -0.07 , -0.07 , -0.07 
194,김민수,23K, -0.07 , 14 , 13.0 ,  , -2.63 , -2.63 , 0.00 , 1.72 , 1.67 ,  , -0.38 , -0.38 , 0.00 , -0.25 , -0.25 , 0.00 , -0.07 , -0.07 , -0.07 , -0.07 
195,슐서,23K, -0.08 , 9 , 49.2 , -7.21 ,  , -7.21 , 6.87 , 0.00 , 8.59 , 1.37 ,  , 1.37 , -0.74 ,  , -0.74 , -0.08 ,  , -0.08 , -0.08 , -0.08 
196,장세진,23롯, -0.08 , 2 , 1.1 ,  , -1.33 , -1.33 , 0.00 , 0.18 , 0.17 ,  , -0.82 , -0.82 , 0.00 , -0.10 , -0.10 , 0.00 , -0.08 , -0.08 , -0.08 , -0.08 
197,최충연,23삼, -0.08 , 7 , 9.1 ,  , -2.95 , -2.95 , 0.00 , 1.26 , 0.97 ,  , -0.86 , -0.86 , 0.00 , -0.21 , -0.21 , 0.00 , -0.08 , -0.08 , -0.08 , -0.08 
198,박진,23롯, -0.08 , 4 , 5.0 ,  , -2.46 , -2.46 , 0.00 , 0.68 , 0.49 ,  , -0.91 , -0.91 , 0.00 , -0.15 , -0.15 , 0.00 , -0.08 , -0.08 , -0.08 , -0.08 
199,조성훈,23S, -0.09 , 2 , 7.0 , -1.80 ,  , -1.80 , 0.98 , 0.00 , 1.22 , -0.58 ,  , -0.58 , -0.18 ,  , -0.18 , -0.09 ,  , -0.09 , -0.09 , -0.09 
200,김태오,23K, -0.09 , 5 , 7.1 ,  , -2.49 , -2.49 , 0.00 , 0.99 , 0.84 ,  , -0.85 , -0.85 , 0.00 , -0.19 , -0.19 , 0.00 , -0.09 , -0.09 , -0.09 , -0.09 
201,김정우,23두, -0.09 , 7 , 6.2 ,  , -3.01 , -3.01 , 0.00 , 0.90 , 0.60 ,  , -1.01 , -1.01 , 0.00 , -0.18 , -0.18 , 0.00 , -0.09 , -0.09 , -0.09 , -0.09 
202,김호준,23두, -0.09 , 3 , 3.0 ,  , -2.52 , -2.52 , 0.00 , 0.42 , 0.26 ,  , -1.02 , -1.02 , 0.00 , -0.13 , -0.13 , 0.00 , -0.09 , -0.09 , -0.09 , -0.09 
203,박명근,23L, -0.09 , 57 , 51.1 , -0.56 , -4.61 , -5.17 , 0.41 , 6.34 , 10.24 , -0.05 , 4.07 , 4.02 , -0.06 , -0.72 , -0.78 , -0.02 , -0.07 , -0.09 , -0.09 , -0.09 
204,김서준,23삼, -0.09 , 8 , 7.2 , -4.38 , 2.61 , -1.77 , 0.17 , 0.84 , 0.85 , -4.17 , 2.20 , -1.97 , -0.34 , 0.14 , -0.20 , -0.33 , 0.23 , -0.09 , -0.09 , -0.09 
205,진승현,23롯, -0.10 , 24 , 27.2 ,  , -4.53 , -4.53 , 0.00 , 3.66 , 3.83 ,  , 0.03 , 0.03 , 0.00 , -0.46 , -0.46 , 0.00 , -0.10 , -0.10 , -0.10 , -0.10 
206,오상원,23키, -0.10 , 11 , 15.0 , -2.20 , -1.14 , -3.35 , 0.25 , 1.75 , 1.49 , -1.89 , 0.56 , -1.32 , -0.19 , -0.10 , -0.30 , -0.17 , 0.08 , -0.10 , -0.10 , -0.10 
207,윤산흠,23한, -0.10 , 5 , 3.0 ,  , -0.58 , -0.58 , 0.00 , 0.39 , 1.08 ,  , -0.19 , -0.19 , 0.00 , -0.14 , -0.14 , 0.00 , -0.10 , -0.10 , -0.10 , -0.10 
208,류희운,23한, -0.10 , 3 , 4.0 ,  , -2.88 , -2.88 , 0.00 , 0.56 , 0.37 ,  , -1.16 , -1.16 , 0.00 , -0.16 , -0.16 , 0.00 , -0.10 , -0.10 , -0.10 , -0.10 
209,제환유,23두, -0.11 , 1 , 2.0 ,  , -3.03 , -3.03 , 0.00 , 0.32 , 0.21 ,  , -1.35 , -1.35 , 0.00 , -0.13 , -0.13 , 0.00 , -0.11 , -0.11 , -0.11 , -0.11 
210,나원탁,23롯, -0.11 , 1 , 0.2 ,  , -2.71 , -2.71 , 0.00 , 0.10 , 0.07 ,  , -1.32 , -1.32 , 0.00 , -0.12 , -0.12 , 0.00 , -0.11 , -0.11 , -0.11 , -0.11 
211,이채호,23K, -0.11 , 25 , 24.2 ,  , -5.28 , -5.28 , 0.00 , 3.27 , 2.82 ,  , -0.83 , -0.83 , 0.00 , -0.44 , -0.44 , 0.00 , -0.11 , -0.11 , -0.11 , -0.11 
212,장민재,23한, -0.12 , 25 , 69.0 , -13.08 , 2.36 , -10.71 , 8.00 , 1.54 , 12.34 , -3.08 , 5.21 , 2.14 , -1.30 , 0.26 , -1.04 , -0.54 , 0.42 , -0.12 , -0.12 , -0.12 
213,박세웅,23삼, -0.12 , 2 , 0.2 ,  , -1.61 , -1.61 , 0.00 , 0.09 , 0.09 ,  , -1.19 , -1.19 , 0.00 , -0.12 , -0.12 , 0.00 , -0.12 , -0.12 , -0.12 , -0.12 
214,김주온,23S, -0.12 , 1 , 0.1 ,  , -2.82 , -2.82 , 0.00 , 0.05 , 0.03 ,  , -1.38 , -1.38 , 0.00 , -0.12 , -0.12 , 0.00 , -0.12 , -0.12 , -0.12 , -0.12 
215,와이드너,23N삼, -0.12 , 21 , 115.0 ,  ,  , 0.00 , 14.73 , 0.26 , 18.77 ,  ,  , 0.00 , -0.12 ,  , -0.12 , -0.12 ,  , -0.12 , -0.12 , -0.12 
216,김시현,23삼, -0.12 , 2 , 3.0 ,  , -3.31 , -3.31 , 0.00 , 0.44 , 0.28 ,  , -1.41 , -1.41 , 0.00 , -0.16 , -0.16 , 0.00 , -0.12 , -0.12 , -0.12 , -0.12 
217,이준호,23N, -0.13 , 17 , 31.2 , -6.98 , 1.39 , -5.59 , 0.98 , 3.32 , 4.10 , -5.75 , 3.83 , -1.92 , -0.57 , 0.02 , -0.55 , -0.49 , 0.36 , -0.13 , -0.13 , -0.13 
218,장지수,23한, -0.14 , 1 , 2.0 ,  , -3.91 , -3.91 , 0.00 , 0.34 , 0.22 ,  , -1.82 , -1.82 , 0.00 , -0.17 , -0.17 , 0.00 , -0.14 , -0.14 , -0.14 , -0.14 
219,이승진,23두, -0.15 , 1 , 0.2 ,  , -3.71 , -3.71 , 0.00 , 0.11 , 0.07 ,  , -1.87 , -1.87 , 0.00 , -0.16 , -0.16 , 0.00 , -0.15 , -0.15 , -0.15 , -0.15 
220,김유성,23두, -0.15 , 7 , 6.1 ,  , -3.74 , -3.74 , 0.00 , 0.86 , 0.63 ,  , -1.57 , -1.57 , 0.00 , -0.23 , -0.23 , 0.00 , -0.15 , -0.15 , -0.15 , -0.15 
221,최이준,23롯, -0.15 , 28 , 29.0 ,  , -6.09 , -6.09 , 0.00 , 3.84 , 3.56 ,  , -0.95 , -0.95 , 0.00 , -0.54 , -0.54 , 0.00 , -0.15 , -0.15 , -0.15 , -0.15 
222,장원준,23두, -0.17 , 11 , 41.0 , -6.67 , -0.32 , -6.99 , 5.43 , 0.18 , 6.95 , 0.13 , -0.07 , 0.06 , -0.69 , -0.03 , -0.71 , -0.16 , -0.01 , -0.17 , -0.17 , -0.17 
