순,이름,팀/포지션,정렬용,출장,이닝,타자,투구,P/PA,S루킹,S헛스윙,S파울,S타격,투구비율S%,투구비율B%,배트적극성전체%,배트적극성초구%,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙삼진,루킹삼진,LSO%,배팅찬스N,배팅찬스스윙,배팅찬스W%
186,김기중,23한, 4.04 , 37 , 56.1 , 253 , 1022 , 4.04 , 30.8 , 14.6 , 27.1 , 27.4 , 60.3 , 39.7 , 41.7 , 28.9 , 21.1 , 10.6 , 74.2 , 37.2 , 27 , 19 , 41.3 , 237 , 13 , 5.5 
187,류진욱,23N, 4.04 , 70 , 67.0 , 268 , 1083 , 4.04 , 29.9 , 13.8 , 29.8 , 26.5 , 60.2 , 39.8 , 42.2 , 27.6 , 19.7 , 9.9 , 68.4 , 38.8 , 50 , 12 , 19.4 , 350 , 24 , 6.9 
188,장필준,23삼, 4.04 , 17 , 19.1 , 96 , 388 , 4.04 , 23.5 , 10.2 , 35.0 , 31.4 , 58.3 , 41.8 , 44.6 , 22.9 , 13.3 , 7.3 , 80.9 , 32.7 , 9 , 2 , 18.2 , 160 , 14 , 8.8 
189,박승주,23키, 4.04 , 18 , 18.0 , 91 , 368 , 4.04 , 25.7 , 14.4 , 32.4 , 27.5 , 60.3 , 39.7 , 44.8 , 25.3 , 19.4 , 10.4 , 79.2 , 29.4 , 10 , 5 , 33.3 , 139 , 14 , 10.1 
190,구승민,23롯, 4.05 , 67 , 63.2 , 289 , 1169 , 4.05 , 28.4 , 16.2 , 29.2 , 26.2 , 61.8 , 38.2 , 44.2 , 31.8 , 22.6 , 11.9 , 70.8 , 36.7 , 46 , 20 , 30.3 , 338 , 29 , 8.6 
,김도규,23롯, 4.05 , 36 , 29.2 , 132 , 534 , 4.05 , 27.1 , 12.9 , 30.9 , 29.0 , 59.4 , 40.6 , 43.3 , 25.8 , 17.8 , 9.3 , 72.2 , 41.2 , 16 , 10 , 38.5 , 164 , 16 , 9.8 
,김대현,23L, 4.05 , 5 , 3.1 , 22 , 89 , 4.05 , 19.7 , 11.5 , 42.6 , 26.2 , 68.5 , 31.5 , 55.1 , 27.3 , 14.3 , 9.6 , 88.0 , 21.9 , 1 , 2 , 66.7 , 21 , 4 , 19.1 
193,노건우,23삼, 4.05 , 16 , 12.1 , 65 , 263 , 4.05 , 29.3 , 13.2 , 29.3 , 28.1 , 63.5 , 36.5 , 44.9 , 21.5 , 18.6 , 10.2 , 77.4 , 24.3 , 6 , 6 , 50.0 , 83 , 6 , 7.2 
194,김규연,23한, 4.05 , 23 , 19.2 , 85 , 344 , 4.05 , 24.4 , 19.9 , 29.4 , 26.4 , 58.4 , 41.6 , 44.2 , 32.9 , 26.3 , 13.8 , 69.7 , 37.1 , 15 , 5 , 25.0 , 119 , 8 , 6.7 
195,한현희,23롯, 4.05 , 38 , 104.0 , 476 , 1927 , 4.05 , 29.1 , 12.0 , 30.8 , 28.1 , 64.0 , 36.0 , 45.4 , 25.8 , 16.9 , 9.4 , 81.6 , 33.6 , 54 , 20 , 27.0 , 462 , 34 , 7.4 
196,브랜든,23두, 4.05 , 18 , 104.2 , 427 , 1729 , 4.05 , 24.9 , 18.8 , 30.2 , 26.1 , 63.2 , 36.8 , 47.4 , 34.0 , 25.0 , 14.2 , 70.9 , 38.0 , 83 , 17 , 17.0 , 548 , 43 , 7.9 
