순,이름,팀/포지션,정렬용,타석,<2&3B_N,<2&3B_%,O&2B_N,O&2B_%,O12_N,O12_%,O23_N,O23_%,O34_N,O34_%,O+_N,O+_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,H+_N,H+_%,ADV_N,ADV_%,ADV_G
122,천재환,23NCF, 179 , 179 , 7 , 58.3 , 1 , 20.0 , 0 , 0.0 , 0 , 0.0 , 2 , 33.3 , 2 , 5.4 , 4 , 30.8 , 4 , 50.0 , 1 , 33.3 , 9 , 37.5 , 11 , 18.0 , -8 
123,장진혁,23한CF, 178 , 178 , 2 , 66.7 , 5 , 71.4 , 0 , 0.0 , 3 , 23.1 , 1 , 50.0 , 4 , 8.9 , 2 , 20.0 , 5 , 62.5 , 0 ,  , 7 , 38.9 , 11 , 17.5 , -6 
,이용규,23키LF, 178 , 178 , 7 , 87.5 , 1 , 33.3 , 3 , 15.8 , 4 , 40.0 , 3 , 75.0 , 10 , 30.3 , 2 , 40.0 , 1 , 50.0 , 0 ,  , 3 , 42.9 , 13 , 32.5 , 3 
125,김규성,23K2B, 177 , 177 , 7 , 63.6 , 2 , 40.0 , 0 , 0.0 , 1 , 6.7 , 0 , 0.0 , 1 , 2.4 , 2 , 33.3 , 3 , 60.0 , 0 , 0.0 , 5 , 41.7 , 6 , 11.3 , -9 
,안중열,23NC, 177 , 177 , 10 , 76.9 , 1 , 33.3 , 3 , 15.0 , 1 , 12.5 , 2 , 40.0 , 6 , 18.2 , 0 , 0.0 , 2 , 100.0 , 1 , 33.3 , 3 , 27.3 , 9 , 20.5 , -2 
127,이정훈,23롯DH, 171 , 171 , 8 , 66.7 , 2 , 66.7 , 2 , 12.5 , 6 , 46.2 , 8 , 66.7 , 16 , 39.0 , 9 , 56.3 , 3 , 75.0 , 1 , 100.0 , 13 , 61.9 , 29 , 46.8 , 10 
128,박찬혁,23키LF, 167 , 167 , 3 , 42.9 , 1 , 16.7 , 1 , 3.6 , 4 , 23.5 , 1 , 20.0 , 6 , 12.0 , 1 , 20.0 , 2 , 100.0 , 0 , 0.0 , 3 , 37.5 , 9 , 15.5 , -4 
129,김강민,23SCF, 166 , 166 , 6 , 75.0 , 0 , 0.0 , 3 , 15.0 , 1 , 9.1 , 4 , 66.7 , 8 , 21.6 , 1 , 25.0 , 1 , 50.0 , 0 , 0.0 , 2 , 28.6 , 10 , 22.7 , -1 
130,이성규,23삼CF, 162 , 162 , 10 , 83.3 , 0 , 0.0 , 0 , 0.0 , 1 , 16.7 , 2 , 66.7 , 3 , 9.7 , 2 , 40.0 , 2 , 50.0 , 1 , 25.0 , 5 , 38.5 , 8 , 18.2 , -4 
131,박상언,23한C, 161 , 161 , 6 , 37.5 , 2 , 33.3 , 2 , 7.4 , 0 , 0.0 , 2 , 22.2 , 4 , 8.3 , 2 , 25.0 , 5 , 100.0 , 1 , 100.0 , 8 , 57.1 , 12 , 19.4 , -5 
132,장승현,23두C, 158 , 158 , 7 , 70.0 , 4 , 57.1 , 2 , 10.0 , 2 , 20.0 , 2 , 40.0 , 6 , 17.1 , 2 , 22.2 , 3 , 75.0 , 0 ,  , 5 , 38.5 , 11 , 22.9 , -3 
133,전의산,23S1B, 153 , 153 , 2 , 25.0 , 3 , 60.0 , 4 , 17.4 , 4 , 28.6 , 1 , 14.3 , 9 , 20.5 , 4 , 50.0 , 3 , 100.0 , 1 , 50.0 , 8 , 61.5 , 17 , 29.8 , 2 
134,최인호,23한LF, 148 , 148 , 5 , 83.3 , 1 , 25.0 , 2 , 11.1 , 1 , 14.3 , 3 , 75.0 , 6 , 20.7 , 3 , 33.3 , 1 , 25.0 , 0 ,  , 4 , 30.8 , 10 , 23.8 , -3 
135,강진성,23두S1B, 145 , 145 , 5 , 71.4 , 5 , 83.3 , 1 , 6.7 , 2 , 16.7 , 1 , 33.3 , 4 , 13.3 , 3 , 37.5 , 2 , 40.0 , 1 , 33.3 , 6 , 37.5 , 10 , 21.7 , -3 
136,박준영,23두3B, 138 , 138 , 2 , 33.3 , 1 , 25.0 , 1 , 5.9 , 0 , 0.0 , 0 , 0.0 , 1 , 3.5 , 1 , 33.3 , 0 , 0.0 , 0 , 0.0 , 1 , 11.1 , 2 , 5.3 , -8 
,이원석,23한CF, 138 , 138 , 0 , 0.0 , 1 , 25.0 , 1 , 5.9 , 4 , 30.8 , 0 , 0.0 , 5 , 14.7 , 0 , 0.0 , 3 , 75.0 , 0 ,  , 3 , 33.3 , 8 , 18.6 , -4 
