순,이름,팀/포지션,정렬용,타석,<2&3B_N,<2&3B_%,O&2B_N,O&2B_%,O12_N,O12_%,O23_N,O23_%,O34_N,O34_%,O+_N,O+_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,H+_N,H+_%,ADV_N,ADV_%,ADV_G
200,김기연,23LC, 40 , 40 , 1 , 50.0 , 0 ,  , 0 , 0.0 , 1 , 50.0 , 0 , 0.0 , 1 , 12.5 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 50.0 , 2 , 20.0 , -1 
201,하주석,23한SS, 38 , 38 , 1 , 100.0 , 0 , 0.0 , 0 , 0.0 , 1 , 25.0 , 0 ,  , 1 , 11.1 , 1 , 33.3 , 0 , 0.0 , 0 , 0.0 , 1 , 20.0 , 2 , 14.3 , -2 
202,김민혁,23두1B, 36 , 36 , 2 , 66.7 , 0 ,  , 0 , 0.0 , 1 , 33.3 , 2 , 66.7 , 3 , 20.0 , 0 , 0.0 , 1 , 100.0 , 0 , 0.0 , 1 , 25.0 , 4 , 21.1 , -1 
,예진원,23키LF, 36 , 36 , 2 , 100.0 , 0 ,  , 0 , 0.0 , 1 , 50.0 , 0 ,  , 1 , 16.7 , 0 , 0.0 , 2 , 66.7 , 1 , 100.0 , 3 , 50.0 , 4 , 33.3 , -1 
,주효상,23KC, 36 , 36 , 2 , 50.0 , 0 , 0.0 , 0 , 0.0 , 1 , 50.0 , 0 , 0.0 , 1 , 11.1 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 50.0 , 2 , 18.2 , -2 
205,최항,23S1B, 35 , 35 , 3 , 50.0 , 0 , 0.0 , 1 , 20.0 , 0 , 0.0 , 1 , 25.0 , 2 , 16.7 , 1 , 33.3 , 0 ,  , 0 ,  , 1 , 33.3 , 3 , 20.0 , -2 
206,이병헌,23삼C, 33 , 33 , 3 , 75.0 , 0 ,  , 0 , 0.0 , 1 , 25.0 , 2 , 66.7 , 3 , 30.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 3 , 27.3 , 0 
,공민규,23삼3B, 33 , 33 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 1 , 100.0 , 1 , 25.0 , 1 , 14.3 , 0 
,이정범,23SDH, 33 , 33 , 2 , 100.0 , 0 ,  , 2 , 40.0 , 0 , 0.0 , 2 , 100.0 , 4 , 50.0 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 100.0 , 5 , 55.6 , 2 
209,이시원,23KRF, 32 , 32 , 1 , 50.0 , 1 , 100.0 , 1 , 12.5 , 3 , 42.9 , 0 , 0.0 , 4 , 25.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 4 , 25.0 , 1 
210,오선우,23K1B, 31 , 31 , 0 ,  , 1 , 100.0 , 1 , 50.0 , 0 ,  , 0 ,  , 1 , 50.0 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 100.0 , 2 , 66.7 , 1 
211,김범석,23L1B, 29 , 29 , 2 , 100.0 , 1 , 100.0 , 0 , 0.0 , 0 ,  , 1 , 100.0 , 1 , 50.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 1 , 33.3 , 1 
,조민성,23삼1B, 29 , 29 , 1 , 25.0 , 1 , 100.0 , 1 , 25.0 , 0 , 0.0 , 0 , 0.0 , 1 , 12.5 , 1 , 100.0 , 2 , 100.0 , 0 ,  , 3 , 100.0 , 4 , 36.4 , 1 
213,강민성,23K3B, 27 , 27 , 1 , 100.0 , 1 , 100.0 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 33.3 , 1 , 33.3 , 0 , 0.0 , 0 ,  , 1 , 25.0 , 2 , 28.6 , 0 
,박대온,23NC, 27 , 27 , 2 , 100.0 , 0 , 0.0 , 0 , 0.0 , 1 , 50.0 , 2 , 100.0 , 3 , 33.3 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 3 , 30.0 , 0 
,안승한,23두C, 27 , 27 , 1 , 33.3 , 1 , 50.0 , 0 ,  , 1 , 33.3 , 0 , 0.0 , 1 , 20.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 12.5 , -2 
,신윤후,23롯LF, 27 , 27 , 1 , 100.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 1 , 20.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 20.0 , 1 
217,김석환,23K1B, 26 , 26 , 3 , 75.0 , 0 ,  , 0 , 0.0 , 1 , 50.0 , 2 , 66.7 , 3 , 30.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 3 , 25.0 , 0 
218,송민섭,23KRF, 25 , 25 , 0 , 0.0 , 0 ,  , 1 , 16.7 , 0 , 0.0 , 0 , 0.0 , 1 , 9.1 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 9.1 , -2 
219,류현인,23K3B, 24 , 24 , 0 , 0.0 , 1 , 100.0 , 0 , 0.0 , 2 , 50.0 , 0 , 0.0 , 2 , 22.2 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 33.3 , 3 , 25.0 , -1 
220,안익훈,23LRF, 23 , 23 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 50.0 , 1 , 33.3 , 0 
221,김재상,23삼, 22 , 22 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 
,송찬의,23L1B, 22 , 22 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
,김태훈,23삼LF, 22 , 22 , 1 , 50.0 , 1 , 100.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , -3 
224,최보성,23N3B, 21 , 21 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , -1 
,박지훈,23두1B, 21 , 21 , 0 , 0.0 , 0 , 0.0 , 1 , 25.0 , 0 , 0.0 , 0 , 0.0 , 1 , 14.3 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 11.1 , -2 
,김병휘,23키2B, 21 , 21 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 50.0 , 1 , 16.7 , -1 
227,서동욱,23롯RF, 20 , 20 , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 50.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 1 , 25.0 , 1 
,최경모,23S3B, 20 , 20 , 1 , 50.0 , 1 , 50.0 , 0 , 0.0 , 1 , 33.3 , 0 , 0.0 , 1 , 12.5 , 1 , 50.0 , 0 ,  , 0 ,  , 1 , 50.0 , 2 , 20.0 , -1 
229,신준우,23키SS, 19 , 19 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , -2 
230,박한결,23NLF, 18 , 18 , 1 , 100.0 , 1 , 50.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , -2 
,배영빈,23롯SS, 18 , 18 , 1 , 100.0 , 2 , 100.0 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 50.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 20.0 , 0 
,전민재,23두3B, 18 , 18 , 1 , 33.3 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 0 ,  , 1 , 100.0 , 1 , 16.7 , 0 
233,이병규,23키1B, 17 , 17 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , -2 
,박영빈,23NDH, 17 , 17 , 2 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,이흥련,23SC, 17 , 17 , 1 , 100.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
236,박유연,23두C, 16 , 16 , 1 , 100.0 , 0 ,  , 0 , 0.0 , 2 , 100.0 , 0 ,  , 2 , 33.3 , 0 ,  , 0 ,  , 1 , 100.0 , 1 , 100.0 , 3 , 42.9 , 1 
,이성곤,23한DH, 16 , 16 , 1 , 33.3 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , -1 
238,장두성,23롯CF, 15 , 15 , 1 , 50.0 , 1 , 100.0 , 0 , 0.0 , 1 , 33.3 , 0 , 0.0 , 1 , 14.3 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 12.5 , -1 
,신성현,23두1B, 15 , 15 , 0 , 0.0 , 1 , 100.0 , 1 , 33.3 , 0 , 0.0 , 0 , 0.0 , 1 , 16.7 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 100.0 , 2 , 28.6 , 0 
,강준서,23삼LF, 15 , 15 , 0 ,  , 0 ,  , 1 , 33.3 , 0 ,  , 0 ,  , 1 , 33.3 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 33.3 , 1 
,최승민,23LCF, 15 , 15 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 100.0 , 1 , 100.0 , 0 ,  , 2 , 100.0 , 2 , 28.6 , 0 
,김수윤,23N3B, 15 , 15 , 1 , 100.0 , 1 , 100.0 , 0 , 0.0 , 1 , 100.0 , 1 , 100.0 , 2 , 50.0 , 0 , 0.0 , 1 , 50.0 , 0 ,  , 1 , 33.3 , 3 , 42.9 , 2 
,박준태,23키RF, 15 , 15 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 100.0 , 1 , 11.1 , -2 
244,이태훈,23삼1B, 14 , 14 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , -1 
,박주찬,23N3B, 14 , 14 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
246,김건희,23키1B, 13 , 13 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 
,김상민,23삼LF, 13 , 13 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , -1 
248,홍종표,23K2B, 12 , 12 , 1 , 100.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
,박정우,23KRF, 12 , 12 , 3 , 100.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , -1 
,손민석,23K2B, 12 , 12 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
,김건,23한DH, 12 , 12 , 0 , 0.0 , 1 , 100.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , -1 
252,장운호,23한RF, 11 , 11 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 
253,국해성,23롯DH, 10 , 10 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
,서예일,23두2B, 10 , 10 , 1 , 100.0 , 0 ,  , 0 , 0.0 , 0 ,  , 1 , 100.0 , 1 , 50.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 50.0 , 1 
,지시완,23롯C, 10 , 10 , 3 , 75.0 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 50.0 , 2 , 66.7 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 2 , 66.7 , 1 
,김재현,23키C, 10 , 10 , 1 , 100.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , -1 
257,김동혁,23롯RF, 9 , 9 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,김병희,23K3B, 9 , 9 , 0 ,  , 0 ,  , 1 , 50.0 , 0 ,  , 0 ,  , 1 , 50.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 50.0 , 1 
259,오장한,23NRF, 8 , 8 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 100.0 , 0 , 0.0 , 1 , 25.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 25.0 , 1 
,송준석,23삼RF, 8 , 8 , 1 , 100.0 , 0 ,  , 0 ,  , 1 , 100.0 , 1 , 100.0 , 2 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 2 , 100.0 , 2 
,김도환,23삼C, 8 , 8 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,유상빈,23한DH, 8 , 8 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
263,김선우,23KC, 7 , 7 , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 100.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 1 , 50.0 , 1 
,김주성,23LSS, 7 , 7 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,허관회,23한C, 7 , 7 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
266,박대온,23NC, 6 , 6 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 1 , 100.0 , 1 , 100.0 , 1 , 50.0 , 1 
267,조현진,23NSS, 5 , 5 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , -1 
,문상준,23K2B, 5 , 5 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
,이승원,23키SS, 5 , 5 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
270,이해승,23삼3B, 4 , 4 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,류효승,23SDH, 4 , 4 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
,박민석,23KSS, 4 , 4 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,윤수녕,23롯RF, 4 , 4 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 
,고명준,23S1B, 4 , 4 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
,김헌곤,23삼, 4 , 4 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
276,이천웅,23L, 3 , 3 , 1 , 100.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 1 , 100.0 , 0 , 0.0 , 0 ,  , 1 , 50.0 , 1 , 50.0 , 0 
,송재선,23키RF, 3 , 3 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,송대현,23LSS, 3 , 3 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,김건웅,23S1B, 3 , 3 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,장지승,23한, 3 , 3 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,오태양,23NCF, 3 , 3 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
282,김병준,23KCF, 2 , 2 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
,이민준,23한SS, 2 , 2 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,이재용,23한C, 2 , 2 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,김정민,23SRF, 2 , 2 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
,권민석,23두SS, 2 , 2 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 , 0 
,이상혁,23한CF, 2 , 2 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
288,박형준,23롯, 1 , 1 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,문상인,23KC, 1 , 1 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,김민수,23삼C, 1 , 1 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,윤도현,23K3B, 1 , 1 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,이상민,23삼P, 1 , 1 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
,전사민,23NP, 1 , 1 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 0 
