순,이름,팀/포지션,정렬용,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루상황_좌,도루상황_2,도루상황_3,도루상황_4,도실상황_좌,도실상황_2,도실상황_3,도실상황_4,도루%상황_좌,도루%상황_2,도루%상황_3,도루%상황_4,무관심도루,견제아웃,폭투진루,포일진루,견제실책
45,최정원,23N2B, 0.35 , 56 , 0.35 , 4 , 1 , 80.0 , 30 , 16.7 , 0 , 4 , 0 , 0 , 0 , 1 , 0 , 0 ,  , 80.0 ,  ,  , 0 , 0 , 2 , 0 , 0 
46,최승민,23LCF, 0.34 , 15 , 0.34 , 8 , 3 , 72.7 , 30 , 36.7 , 2 , 8 , 0 , 0 , 0 , 3 , 0 , 0 , 100.0 , 72.7 ,  ,  , 0 , 1 , 1 , 0 , 1 
47,김호재,23삼3B, 0.34 , 127 , 0.34 , 2 , 0 , 100.0 , 41 , 4.9 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 1 , 3 , 0 , 0 
48,홍현빈,23KCF, 0.32 , 86 , 0.32 , 2 , 0 , 100.0 , 37 , 5.4 , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 0 , 1 , 0 , 0 
49,이학주,23롯SS, 0.30 , 122 , 0.30 , 4 , 1 , 80.0 , 61 , 8.2 , 0 , 4 , 0 , 0 , 0 , 1 , 0 , 0 ,  , 80.0 ,  ,  , 0 , 0 , 2 , 1 , 1 
50,구자욱,23삼RF, 0.30 , 515 , 0.30 , 12 , 4 , 75.0 , 211 , 7.6 , 5 , 11 , 0 , 1 , 1 , 3 , 1 , 0 , 83.3 , 78.6 , 0.0 , 100.0 , 0 , 2 , 8 , 2 , 1 
51,최원준,23K1B, 0.30 , 274 , 0.30 , 13 , 5 , 72.2 , 117 , 15.4 , 2 , 11 , 2 , 0 , 1 , 5 , 0 , 0 , 66.7 , 68.8 , 100.0 ,  , 0 , 1 , 3 , 1 , 1 
52,노진혁,23롯SS, 0.29 , 390 , 0.29 , 7 , 2 , 77.8 , 145 , 6.2 , 0 , 6 , 1 , 0 , 1 , 1 , 0 , 1 , 0.0 , 85.7 , 100.0 , 0.0 , 1 , 0 , 7 , 0 , 0 
53,문현빈,23한CF, 0.25 , 481 , 0.25 , 5 , 1 , 83.3 , 173 , 3.5 , 2 , 4 , 1 , 0 , 0 , 1 , 0 , 0 , 100.0 , 80.0 , 100.0 ,  , 0 , 3 , 8 , 1 , 3 
54,김규성,23K2B, 0.25 , 177 , 0.25 , 6 , 2 , 75.0 , 78 , 10.3 , 2 , 5 , 0 , 1 , 0 , 1 , 1 , 0 , 100.0 , 83.3 , 0.0 , 100.0 , 0 , 1 , 2 , 1 , 1 
55,정훈,23롯1B, 0.24 , 233 , 0.24 , 2 , 0 , 100.0 , 79 , 2.5 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 0 , 4 , 0 , 0 
,오선진,23한SS, 0.24 , 199 , 0.24 , 2 , 0 , 100.0 , 73 , 2.7 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 1 , 1 , 0 
57,허경민,23두3B, 0.21 , 475 , 0.21 , 9 , 3 , 75.0 , 158 , 7.6 , 4 , 7 , 2 , 0 , 0 , 3 , 0 , 0 , 100.0 , 70.0 , 100.0 ,  , 0 , 0 , 8 , 0 , 1 
58,김동혁,23롯RF, 0.19 , 9 , 0.19 , 1 , 0 , 100.0 , 5 , 20.0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 0 , 0 , 0 
59,신윤후,23롯LF, 0.19 , 27 , 0.19 , 1 , 0 , 100.0 , 15 , 6.7 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 1 , 0 , 0 
60,배영빈,23롯SS, 0.19 , 18 , 0.19 , 1 , 0 , 100.0 , 13 , 7.7 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 0 , 0 , 0 
,송찬의,23L1B, 0.19 , 22 , 0.19 , 1 , 0 , 100.0 , 9 , 11.1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 0 , 0 , 0 , 0 
62,박지훈,23두1B, 0.19 , 21 , 0.19 , 1 , 0 , 100.0 , 12 , 8.3 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 0 , 3 , 1 , 0 
63,안승한,23두C, 0.18 , 27 , 0.18 , 1 , 0 , 100.0 , 10 , 10.0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 0 , 0 , 0 , 0 
,이명기,23한DH, 0.18 , 42 , 0.18 , 1 , 0 , 100.0 , 12 , 8.3 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 0 , 0 , 0 
,유로결,23한RF, 0.18 , 53 , 0.18 , 1 , 0 , 100.0 , 17 , 5.9 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 1 , 0 , 1 
66,김기연,23LC, 0.18 , 40 , 0.18 , 1 , 0 , 100.0 , 14 , 7.1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 0 , 0 , 0 
67,박주홍,23키1B, 0.17 , 57 , 0.17 , 1 , 0 , 100.0 , 15 , 6.7 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 0 , 0 , 0 
68,김민혁,23KRF, 0.17 , 448 , 0.17 , 11 , 4 , 73.3 , 183 , 8.2 , 5 , 10 , 1 , 0 , 1 , 1 , 2 , 1 , 83.3 , 90.9 , 33.3 , 0.0 , 0 , 0 , 8 , 1 , 4 
69,오그레디,23한LF, 0.17 , 86 , 0.17 , 1 , 0 , 100.0 , 17 , 5.9 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 1 , 0 , 0 
70,송민섭,23KCF, 0.17 , 25 , 0.17 , 3 , 1 , 75.0 , 23 , 17.4 , 1 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 100.0 , 75.0 ,  ,  , 0 , 0 , 1 , 0 , 2 
71,윤정빈,23삼1B, 0.16 , 43 , 0.16 , 1 , 0 , 100.0 , 18 , 5.6 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 0 , 0 , 1 , 0 
72,김영웅,23삼3B, 0.15 , 103 , 0.15 , 1 , 0 , 100.0 , 37 , 2.7 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 1 , 0 , 0 
73,김호령,23KCF, 0.15 , 107 , 0.15 , 1 , 0 , 100.0 , 44 , 2.3 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 4 , 1 , 1 
74,안상현,23S2B, 0.14 , 66 , 0.14 , 3 , 1 , 75.0 , 36 , 11.1 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 ,  , 75.0 ,  ,  , 0 , 0 , 5 , 1 , 0 
75,이유찬,23두2B, 0.13 , 239 , 0.13 , 12 , 5 , 70.6 , 104 , 16.4 , 3 , 11 , 1 , 0 , 1 , 4 , 0 , 1 , 75.0 , 73.3 , 100.0 , 0.0 , 0 , 1 , 2 , 0 , 3 
76,고승민,23롯1B, 0.13 , 307 , 0.13 , 8 , 3 , 72.7 , 117 , 9.4 , 3 , 7 , 0 , 1 , 1 , 3 , 0 , 0 , 75.0 , 70.0 ,  , 100.0 , 0 , 0 , 3 , 1 , 1 
77,김성현,23S2B, 0.12 , 354 , 0.12 , 4 , 1 , 80.0 , 126 , 4.0 , 2 , 4 , 0 , 0 , 0 , 1 , 0 , 0 , 100.0 , 80.0 ,  ,  , 0 , 0 , 3 , 1 , 0 
78,장승현,23두C, 0.11 , 158 , 0.11 , 1 , 0 , 100.0 , 40 , 2.5 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 1 , 0 , 0 
79,정보근,23롯C, 0.11 , 101 , 0.11 , 1 , 0 , 100.0 , 45 , 2.2 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 1 , 0 , 1 , 0 
80,김준태,23KC, 0.10 , 136 , 0.10 , 1 , 0 , 100.0 , 51 , 2.0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 2 , 0 , 1 
81,최인호,23한LF, 0.08 , 148 , 0.08 , 1 , 0 , 100.0 , 60 , 1.7 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 1 , 5 , 0 , 1 
82,소크라테스,23KCF, 0.08 , 608 , 0.08 , 15 , 6 , 71.4 , 218 , 9.6 , 2 , 15 , 0 , 0 , 0 , 5 , 1 , 0 , 100.0 , 75.0 , 0.0 ,  , 0 , 1 , 9 , 1 , 4 
83,권희동,23NLF, 0.08 , 373 , 0.08 , 2 , 0 , 100.0 , 147 , 1.4 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 5 , 2 , 0 
84,오윤석,23K1B, 0.05 , 223 , 0.05 , 3 , 1 , 75.0 , 83 , 4.8 , 0 , 2 , 0 , 1 , 1 , 1 , 0 , 0 , 0.0 , 66.7 ,  , 100.0 , 0 , 1 , 2 , 0 , 0 
85,러셀,23키SS, 0.03 , 239 , 0.03 , 1 , 0 , 100.0 , 88 , 1.1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 0 , 3 , 0 , 0 
86,박병호,23K1B, 0.02 , 493 , 0.02 , 2 , 0 , 100.0 , 179 , 1.1 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 5 , 3 , 0 
87,안권수,23롯LF, 0.02 , 309 , 0.02 , 16 , 7 , 69.6 , 134 , 17.2 , 5 , 16 , 0 , 0 , 1 , 7 , 0 , 0 , 83.3 , 69.6 ,  ,  , 0 , 2 , 4 , 0 , 0 
88,신민재,23L2B, 0.00 , 331 , 0.00 , 37 , 17 , 68.5 , 169 , 32.0 , 2 , 35 , 2 , 0 , 4 , 13 , 4 , 0 , 33.3 , 72.9 , 33.3 ,  , 0 , 1 , 7 , 1 , 6 
89,임지열,23키1B, 0.00 , 246 , 0.00 , 1 , 0 , 100.0 , 86 , 1.2 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 6 , 0 , 0 
90,이해승,23삼3B, 0.00 , 4 , 0.00 , 0 , 0 ,  , 5 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김병준,23KCF, 0.00 , 2 , 0.00 , 0 , 0 ,  , 2 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 1 , 0 , 0 
,박형준,23롯, 0.00 , 1 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,채현우,23S, 0.00 , 0 , 0.00 , 0 , 0 ,  , 1 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김시훈,23NP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,서진용,23SP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김재윤,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,이선우,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,임준섭,23SP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,최동환,23LP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,강재민,23한P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,하영민,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,후라도,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김동규,23LP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,원종현,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,하준호,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,정철원,23두P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,정해영,23KP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,박상원,23한P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김원중,23롯P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김대현,23LP, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,김선기,23키P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
,정우람,23한P, 0.00 , 0 , 0.00 , 0 , 0 ,  , 0 ,  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  , 0 , 0 , 0 , 0 , 0 
